"from_id","to_id","total_duration_v16_v1","total_duration_v16_v2","total_duration_v16_v3","total_duration_v16_v4","total_duration_v21_v1","total_duration_v21_v2","total_duration_v21_v3","total_duration_v21_v4","total_duration_v26_v1","total_duration_v26_v2","total_duration_v26_v3","total_duration_v26_v4","total_distance_v16_v1","total_distance_v16_v2","total_distance_v16_v3","total_distance_v16_v4","total_distance_v21_v1","total_distance_v21_v2","total_distance_v21_v3","total_distance_v21_v4","total_distance_v26_v1","total_distance_v26_v2","total_distance_v26_v3","total_distance_v26_v4"
"10","10",64,61.3,40.7,38,52.5,48.4,40.5,39.1,44.1,40,40,39.2,8504,8102,7627,7307,8178,8008,7521,7430,7764,7342,7342,7273
"100","100",95.2,93.7,52.3,51.1,77.4,74.2,52,51.1,63,53.8,53.4,52.1,12032,11813,10006,9992,12822,11179,9944,9943,11063,9874,9874,9931
"1000","1000",50.5,44.4,28.7,27.2,44.1,37,28.5,27.7,32,29.5,29.5,27.5,6035,5481,5214,5187,6468,5326,5236,5235,5229,5285,5285,5184
"10000","10000",27.5,27.5,17.8,16.2,21.9,21.9,18.9,17.9,19.8,19.3,18.7,18.2,3903,3903,3374,3046,3644,3644,2959,2959,3560,3394,3382,3380
"10001","10001",19.6,19.5,14,13.5,19.1,16.9,14.2,13.8,14.7,14.2,14.2,13.6,3230,3230,2675,2675,3171,3038,2725,2725,2729,2666,2666,2603
"10002","10002",33.1,30.1,23.9,23.6,28.8,25.2,23,22.6,24.7,23.2,23.2,22.8,4784,4739,4501,4454,4624,4466,4245,4207,4405,4230,4230,4228
"10003","10003",64.8,46,33,28.7,55,42.8,33.4,28.9,35.6,33.2,33.2,29,6511,6984,5970,5578,6583,7262,5868,5573,5909,5731,5731,5568
"10004","10004",64.3,53.6,35.3,34.4,51.9,43.4,35.7,34.8,42,36,36,35.2,8237,7938,6785,6473,7851,7247,6556,6581,6969,6618,6618,6618
"10005","10005",58.4,58.4,41.3,38.6,48.2,48.1,40.9,38.3,46.3,45.2,43.3,40.2,7527,8805,7527,7527,8650,8689,7476,7476,8251,8180,7872,7569
"10006","10006",26.4,23,18.8,18.4,27.2,23.7,18.6,18.1,22.8,19.9,19.9,18.7,3501,3501,3482,3482,3433,3497,3426,3424,3830,3592,3592,3586
"10007","10007",60.9,59.6,45.4,41.6,47.7,46.7,42.7,41,48.9,44.4,44.1,42.3,8581,8581,8084,8026,8265,8078,7909,7864,8199,8413,8413,8044
"10008","10008",33.8,24.9,23.6,20.8,31.9,24.3,23.1,21.2,24.4,22.7,22.7,21.1,4843,4678,4557,4053,4528,4575,4359,4066,4327,4292,4292,4041
"10009","10009",73.3,63.5,47.4,44.2,64.3,55.5,46.9,44.2,55.6,48.2,46.9,44.5,9312,9322,8977,8548,9726,8653,8603,8529,9199,8657,8652,8561
"1001","1001",84.5,81.3,56,53.4,73.7,70,57.9,53.3,66.2,61.2,57.9,52.7,11595,11571,10388,10348,10584,10424,9983,10094,10637,10580,10125,9981
"10010","10010",41.2,33.5,27.6,26.2,38.3,30.4,27.8,26.3,29.6,28,28,26.4,6907,5347,5024,5006,5716,5628,4991,4959,5131,5110,5110,4965
"10011","10011",25.5,24,18.7,18.4,27,23.8,19.7,19.2,20.5,19.8,19.8,19.1,3731,3797,3664,3622,4196,4037,3746,3741,3820,3746,3746,3738
"10012","10012",52.1,41.4,32.4,31.2,42.5,35.7,31.6,30.9,33.8,31.9,31.9,31,6057,6055,5922,5922,5991,5870,5859,5847,6011,5866,5866,5871
"10013","10013",32.7,32,29.2,27.5,32.9,32.1,29,27.3,30.9,28.3,28.3,26.6,5836,5725,5430,5381,5690,5666,5358,5263,5551,5273,5273,5134
"10014","10014",14.2,14.2,7.6,7.6,14.8,14.8,7.5,7.5,10.5,8.1,8.1,8.1,1831,1831,1386,1386,1811,1811,1430,1430,1335,1335,1335,1335
"10015","10015",25.6,24.5,16.2,15.3,18.5,17.9,14.8,14.4,21.8,18.8,15.3,14.3,3534,3534,2894,2894,3166,2906,2683,2683,3105,3065,2709,2714
"10016","10016",47.4,46.5,28.5,27.9,36.6,36.5,29.1,28.1,32,29.5,29.5,28.3,5734,5656,5308,5307,5334,5334,5276,5276,5313,5307,5307,5317
"10017","10017",45.2,44.6,29.3,28.4,39.1,38.7,30.4,28.9,35.5,31,29.6,28.1,6746,6233,5587,5531,5987,5987,5552,5494,6102,5794,5399,5280
