"city","year","lts","found_routes","access_15min_vol"
"amsterdam",16,3,20000,332009212
"amsterdam",16,4,20000,387400404
"amsterdam",21,3,20000,342432602
"amsterdam",21,4,20000,398466187
"amsterdam",26,3,19917,350386926
"amsterdam",26,4,19917,403993300
"amsterdam",16,1,19624,948166630
"amsterdam",16,2,19724,1061663446
"amsterdam",19,1,19876,1135666837
"amsterdam",19,2,19950,1326372517
"amsterdam",21,1,19943,1232909597
"amsterdam",21,2,19997,1441208032
"amsterdam",24,1,19947,1298226032
"amsterdam",24,2,19966,1908602919
"amsterdam",26,1,19859,1563568949
"amsterdam",26,2,19862,1915982037
