"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Austin",2016,1,919684,8368.67,1.58,0,14.35,67.17,1.32,15.13,16.34,5823913.422,94988,1.63,50.91,2.57,20.85,25.67,52987,28820,0,13182,16.2,"20260227_063001",14692,28462149
"Austin",2016,2,919684,8544.22,1.58,0,18.61,62.96,6.84,14.63,15.54,5823913.422,94988,1.63,50.91,2.57,20.85,25.67,52987,28820,0,13182,16.2,"20260227_063001",15233,29605702
"Austin",2016,3,919684,9960.67,1.52,0,14.99,35.52,5.44,52.8,6.22,5823913.422,94988,1.63,50.91,2.57,20.85,25.67,52987,28820,0,13182,16.2,"20260227_063001",19579,64143036
"Austin",2016,4,919684,8976.36,1.35,0,6.88,14.68,2.68,26.09,56.53,5823913.422,94988,1.63,50.91,2.57,20.85,25.67,52987,28820,0,13182,16.2,"20260227_063001",19998,138972896
"Austin",2021,1,919684,8830.16,1.58,5.51,23.63,74.6,5.76,10.37,9.23,7842976.377,315026,4.02,60.19,7.2,16.24,16.38,110378,172605,22946,9097,16.2,"20260227_063001",15718,32274196
"Austin",2021,2,919684,9667.41,1.56,13.15,34.61,61.57,23.99,8.12,6.29,7842976.377,315026,4.02,60.19,7.2,16.24,16.38,110378,172605,22946,9097,16.2,"20260227_063001",17879,45260850
"Austin",2021,3,919684,9723.42,1.45,-2.38,41.89,35.82,20.46,40.09,3.6,7842976.377,315026,4.02,60.19,7.2,16.24,16.38,110378,172605,22946,9097,16.2,"20260227_063001",19872,82227287
"Austin",2021,4,919684,8938.12,1.33,-0.43,31.73,17.85,11.97,29.21,40.95,7842976.377,315026,4.02,60.19,7.2,16.24,16.38,110378,172605,22946,9097,16.2,"20260227_063001",19944,133261286
"Austin",2026,1,919684,9675.61,1.56,15.62,28.17,91.32,1.65,3.15,3.86,8415457.364,461244,5.48,72.77,3.84,10.03,13.35,206119,184586,39551,30988,16.2,"20260227_063001",18036,48674790
"Austin",2026,2,919684,9812.26,1.53,14.84,28.99,79.53,13.98,3.4,3.07,8415457.364,461244,5.48,72.77,3.84,10.03,13.35,206119,184586,39551,30988,16.2,"20260227_063001",18758,57486676
"Austin",2026,3,919684,9724.64,1.45,-2.37,37.8,52.91,16.19,28.74,2.14,8415457.364,461244,5.48,72.77,3.84,10.03,13.35,206119,184586,39551,30988,16.2,"20260227_063001",19864,84397530
"Austin",2026,4,919684,8921.06,1.33,-0.62,37.05,25.89,8.2,18.13,47.76,8415457.364,461244,5.48,72.77,3.84,10.03,13.35,206119,184586,39551,30988,16.2,"20260227_063001",19951,133958123
