"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Austin",2016,1,919684,4123.96,1.8,0,38.52,0.51,9.44,7.15,1.25,0,1.05,56.84,1.57,18.13,23.38,5823913.422,94988,1.63,50.91,2.57,20.85,25.67,52987,28820,0,13182,3.85,"20260303_023637",19562,342319970
"Austin",2016,2,919684,4148.27,1.8,0,37.48,0.57,12.06,6.89,4.19,0,0.98,54.11,5.77,17.49,22.55,5823913.422,94988,1.63,50.91,2.57,20.85,25.67,52987,28820,0,13182,3.85,"20260303_023637",19619,351877359
"Austin",2019,1,919684,4072.82,1.76,-1.24,37.07,1.17,16.02,8.04,6.73,0.03,1.23,60.77,6.54,16.22,16.45,6885480.351,265124,3.85,55.95,7.69,17.64,18.73,77634,171743,3277,12470,3.85,"20260303_023637",19591,339991452
"Austin",2019,2,919684,4191.99,1.78,1.05,32.55,1.5,23.75,7.73,14.91,0.01,1.09,52.95,20.12,13.91,13,6885480.351,265124,3.85,55.95,7.69,17.64,18.73,77634,171743,3277,12470,3.85,"20260303_023637",19745,399874478
"Austin",2021,1,919684,4113.1,1.76,-0.26,35.95,1.43,17.65,9.68,6.17,0.88,0.93,65.84,6.41,14.07,13.67,7842976.377,315026,4.02,60.19,7.2,16.24,16.38,110378,172605,22946,9097,3.85,"20260303_023637",19490,362331398
"Austin",2021,2,919684,4188.62,1.78,0.97,31.48,1.74,25.11,9.2,13.99,1.13,0.8,56.68,20.22,12.4,10.7,7842976.377,315026,4.02,60.19,7.2,16.24,16.38,110378,172605,22946,9097,3.85,"20260303_023637",19604,457918999
"Austin",2024,1,919684,4111.57,1.74,-0.3,32.64,1.88,23.58,15.41,4.57,1.56,2.04,77.07,3.41,9.7,9.83,8175386.677,449189,5.49,66.46,4.77,13.44,15.33,199551,187645,30858,31135,3.85,"20260303_023637",19568,445331681
"Austin",2024,2,919684,4133.57,1.75,-0.35,30.13,1.98,24.15,14.31,6.12,1.72,2,69.53,12.72,9.3,8.44,8175386.677,449189,5.49,66.46,4.77,13.44,15.33,199551,187645,30858,31135,3.85,"20260303_023637",19648,504370633
"Austin",2026,1,919684,4142.62,1.75,0.45,30.19,2.16,20.21,13.37,2.9,1.95,1.99,86.55,2.08,5.35,6.02,8415457.364,461244,5.48,72.77,3.84,10.03,13.35,206119,184586,39551,30988,3.85,"20260303_023637",19608,497590123
"Austin",2026,2,919684,4129.36,1.74,-0.46,28.21,2.3,22.61,13.1,5.46,2.16,1.88,77.89,11.48,5.37,5.26,8415457.364,461244,5.48,72.77,3.84,10.03,13.35,206119,184586,39551,30988,3.85,"20260303_023637",19669,546112337
