"city","year","lts","found_routes","access_15min_vol"
"austin",16,3,19579,64143036
"austin",16,4,19998,138972896
"austin",21,3,19872,82227287
"austin",21,4,19944,133261286
"austin",26,3,19864,84397530
"austin",26,4,19951,133958123
"austin",16,1,19655,9478012
"austin",16,2,19672,9790590
"austin",19,1,19757,13772285
"austin",19,2,19801,15145547
"austin",21,1,19607,14320795
"austin",21,2,19646,15647748
"austin",24,1,19696,17484955
"austin",24,2,19732,18558755
"austin",26,1,19706,18752956
"austin",26,2,19741,19778648
"austin",18,1,19721,13683203
"austin",20,1,19743,14649019
"austin",22,1,19555,14963028
