"from_id","to_id","total_duration_v16_v1","total_duration_v16_v2","total_duration_v16_v3","total_duration_v16_v4","total_duration_v19_v1","total_duration_v19_v2","total_duration_v21_v1","total_duration_v21_v2","total_duration_v21_v3","total_duration_v21_v4","total_duration_v24_v1","total_duration_v24_v2","total_duration_v26_v1","total_duration_v26_v2","total_duration_v26_v3","total_duration_v26_v4","total_distance_v16_v1","total_distance_v16_v2","total_distance_v16_v3","total_distance_v16_v4","total_distance_v19_v1","total_distance_v19_v2","total_distance_v21_v1","total_distance_v21_v2","total_distance_v21_v3","total_distance_v21_v4","total_distance_v24_v1","total_distance_v24_v2","total_distance_v26_v1","total_distance_v26_v2","total_distance_v26_v3","total_distance_v26_v4"
"1","1",15,15,20.7,17.7,15,15,9.9,8.2,19.1,17.9,8.2,8.2,8.2,8.2,18.9,18.2,1263,1263,3474,3401,1268,1268,1273,1273,3260,3252,1276,1276,1276,1276,3271,3246
"10","10",30.6,30.6,44,35.8,33.1,33.1,28.9,24.2,42.2,37,24.3,23.4,24.2,22.5,41.4,38.2,3704,3704,7602,6883,3946,3946,4294,3880,7554,6932,3876,3891,3850,3715,7169,6982
"100","100",44.2,44.2,71.1,64.6,NA,NA,NA,NA,70.9,66.2,NA,NA,69.1,66.7,73.8,68.6,8032,8032,12890,12538,NA,NA,NA,NA,12537,12548,NA,NA,9927,9974,12591,12933
"1000","1000",20.9,20.9,37.5,32,22.8,22.8,19.5,16.4,37.7,32.4,19,17,18,16.7,41.4,35.9,3083,3101,6710,6146,3111,3111,2794,2767,6096,5940,2831,2753,2778,2750,6088,5876
"10000","10000",20.6,20.6,38,29.9,23.9,23.9,23.8,16.7,36,31.3,14,13,12.8,11.9,37.4,34.3,2981,2981,6059,5771,2200,2200,2189,2347,5922,5712,1807,2279,1893,2307,5959,5799
"10001","10001",23.5,23.5,35.5,28.2,23.8,23.8,21.6,18.2,34.2,29.6,13.9,13.9,14.5,14.5,37.7,34.9,2434,2434,5614,5475,2325,2325,2265,2415,5757,5617,2253,2252,2073,2073,6289,5786
"10002","10002",20.7,20.7,57.5,50.1,23.1,23.1,22,21.3,59.3,52.2,21.6,21,21.3,21.1,58.3,54.5,3004,3004,10286,9704,3897,3897,3172,3169,10601,9771,3085,3084,3255,3255,10385,10111
"10003","10003",26.2,26.2,35.5,30.8,22.6,22.2,21.1,20.6,33.6,29.2,20.7,20.2,21.2,20.6,32.3,30.1,4437,4437,6171,5971,3730,3730,3737,3629,5909,5587,3860,3860,3749,3676,5845,5672
"10004","10004",48.5,48.5,38.9,36.1,46.3,46.3,67.8,65.3,43,37.6,54.7,52.8,46.7,44.8,46.1,40.4,6724,6724,7070,6900,6356,6355,8431,8873,7442,7173,5470,5398,7013,6934,7535,7331
"10005","10005",10.9,10.9,48.5,42.2,9.1,9.1,9.5,9.5,47.9,44.6,15.1,15.1,12,12,49.9,47.6,2052,2052,8174,7768,1356,1356,1605,1605,8844,8198,2640,2640,2038,2038,8433,8355
"10006","10006",17.7,17.7,15.2,11.7,18,18,17.5,15.5,14.3,12.7,17.9,17.9,20.4,20.4,14.6,12.6,3030,3030,2701,2309,3096,3096,2887,2882,2194,2249,3111,2909,3365,3146,2243,2284
