"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Barcelona","2016",1,3250798,6601.68,1.43,0,21.34,86,0.18,6.78,6.97,3938472.214,193754,4.92,57.18,0.92,17.96,23.94,149961,20811,606,22375,NA,"20260226_041959",19924,39023801
"Barcelona","2016",2,3250798,6599.36,1.42,0,21.36,85.55,0.65,6.77,6.95,3938472.214,193754,4.92,57.18,0.92,17.96,23.94,149961,20811,606,22375,NA,"20260226_041959",19931,39254025
"Barcelona","2016",3,3250798,6300.91,1.36,0,18.96,66.32,0.49,28.65,4.47,3938472.214,193754,4.92,57.18,0.92,17.96,23.94,149961,20811,606,22375,NA,"20260226_041959",20000,60663978
"Barcelona","2016",4,3250798,5928.78,1.28,0,15.79,46.36,0.5,22.65,30.42,3938472.214,193754,4.92,57.18,0.92,17.96,23.94,149961,20811,606,22375,NA,"20260226_041959",20000,87015578
"Barcelona","2021",1,3250798,6402.66,1.39,-3.01,42.29,89.86,3.5,1.43,5.15,4380414.434,358733,8.19,62.27,8.5,6.33,22.9,248436,1537,89727,19033,NA,"20260226_041959",19672,43957798
"Barcelona","2021",2,3250798,6258.52,1.36,-5.16,37.03,73.11,21.44,1.29,4.09,4380414.434,358733,8.19,62.27,8.5,6.33,22.9,248436,1537,89727,19033,NA,"20260226_041959",19731,57260748
"Barcelona","2021",3,3250798,6152.01,1.33,-2.36,34.27,64.98,22.38,8.71,3.86,4380414.434,358733,8.19,62.27,8.5,6.33,22.9,248436,1537,89727,19033,NA,"20260226_041959",19748,62430075
"Barcelona","2021",4,3250798,5865.15,1.28,-1.07,29.28,49.74,18.35,6.56,25.27,4380414.434,358733,8.19,62.27,8.5,6.33,22.9,248436,1537,89727,19033,NA,"20260226_041959",19759,84071778
"Barcelona","2026",1,3250798,6240.37,1.35,-5.47,48,93.31,1.12,1.78,3.74,4788150.273,387486,8.09,70.13,4.08,6.61,19.17,297494,3319,63565,23109,NA,"20260226_041959",19683,47918066
"Barcelona","2026",2,3250798,6167.76,1.33,-6.54,49.24,87.16,7.45,1.67,3.68,4788150.273,387486,8.09,70.13,4.08,6.61,19.17,297494,3319,63565,23109,NA,"20260226_041959",19697,52113345
"Barcelona","2026",3,3250798,6086.05,1.31,-3.41,43.18,74.35,7.9,14.28,3.42,4788150.273,387486,8.09,70.13,4.08,6.61,19.17,297494,3319,63565,23109,NA,"20260226_041959",19708,60318407
"Barcelona","2026",4,3250798,5960.13,1.29,0.53,29,55.78,6.96,15.74,21.48,4788150.273,387486,8.09,70.13,4.08,6.61,19.17,297494,3319,63565,23109,NA,"20260226_041959",19740,75698048
