"city","year","lts","found_routes","access_15min_vol"
"barcelona",16,3,20000,60663978
"barcelona",16,4,20000,87015578
"barcelona",21,3,19748,62430075
"barcelona",21,4,19759,84071778
"barcelona",26,3,19708,60318407
"barcelona",26,4,19740,75698048
"barcelona",16,1,19939,681147221
"barcelona",16,2,19939,684327631
"barcelona",19,1,19915,582068579
"barcelona",19,2,19917,599722828
"barcelona",21,1,19796,773396928
"barcelona",21,2,19802,946766642
"barcelona",24,1,19647,815332175
"barcelona",24,2,19648,872583404
"barcelona",26,1,19705,846544663
"barcelona",26,2,19706,947583129
