"from_id","to_id","euclidean_distance","route_ci_strong_m","route_ci_medium_m","route_ci_weak_m","route_ci_foot_m","route_pct_lts1","route_pct_lts2","route_pct_lts3","route_pct_lts4","route_interruptions_count","total_duration_v16_v1","total_duration_v16_v2","total_duration_v19_v1","total_duration_v19_v2","total_duration_v21_v1","total_duration_v21_v2","total_duration_v24_v1","total_duration_v24_v2","total_duration_v26_v1","total_duration_v26_v2","total_distance_v16_v1","total_distance_v16_v2","total_distance_v19_v1","total_distance_v19_v2","total_distance_v21_v1","total_distance_v21_v2","total_distance_v24_v1","total_distance_v24_v2","total_distance_v26_v1","total_distance_v26_v2"
"1","1",2422.71245837433,0,0,0,0,64.83,0,35.17,0,0,28.8,28.8,NA,NA,NA,NA,NA,NA,NA,NA,3242,3242,NA,NA,NA,NA,NA,NA,NA,NA
"10","10",2232.90285028372,272.001,0,0,0,33.49,0,54.46,12.05,1,38.3,38.3,NA,NA,NA,NA,NA,NA,NA,NA,2965,2965,NA,NA,NA,NA,NA,NA,NA,NA
"100","100",1633.94316837535,1599.789,0,0,0,82.4,0,17.6,0,0,18.5,18.5,NA,NA,NA,NA,NA,NA,NA,NA,2448,2448,NA,NA,NA,NA,NA,NA,NA,NA
"1000","1000",1449.60139689802,0,0,0,0,19.09,0,28.65,52.26,0,28.9,28.9,NA,NA,NA,NA,NA,NA,NA,NA,1955,1955,NA,NA,NA,NA,NA,NA,NA,NA
"10000","10000",1261.13474478153,0,0,0,0,39.7,0,27.8,32.5,0,26.8,26.8,NA,NA,NA,NA,NA,NA,NA,NA,2184,2184,NA,NA,NA,NA,NA,NA,NA,NA
"10001","10001",2333.31211509629,0,0,0,0,13.19,0,21.05,65.75,0,44.8,44.8,NA,NA,NA,NA,NA,NA,NA,NA,2849,2849,NA,NA,NA,NA,NA,NA,NA,NA
"10002","10002",2526.67536188042,0,0,0,0,63.87,0,17.98,18.14,0,29.4,29.4,NA,NA,NA,NA,NA,NA,NA,NA,3263,3263,NA,NA,NA,NA,NA,NA,NA,NA
"10003","10003",2320.48652765427,0,0,0,0,55.64,0,12.05,32.32,0,40.7,40.7,NA,NA,NA,NA,NA,NA,NA,NA,4457,4457,NA,NA,NA,NA,NA,NA,NA,NA
"10004","10004",1797.41190650022,0,0,0,0,38.18,0,61.82,0,0,31.5,31.5,NA,NA,NA,NA,NA,NA,NA,NA,2737,2737,NA,NA,NA,NA,NA,NA,NA,NA
"10005","10005",2790.55378716479,0,0,0,0,35.63,0,0,64.37,0,47.3,47.3,NA,NA,NA,NA,NA,NA,NA,NA,4076,4076,NA,NA,NA,NA,NA,NA,NA,NA
"10006","10006",1281.60912616726,194.737,0,0,0,5.64,0,86.28,8.08,0,27.5,27.5,NA,NA,NA,NA,NA,NA,NA,NA,1664,1664,NA,NA,NA,NA,NA,NA,NA,NA
"10007","10007",1204.19917125686,0,0,0,0,0,0,55.75,44.25,0,22.3,22.3,22.3,22.3,NA,NA,NA,NA,NA,NA,1537,1537,1537,1537,NA,NA,NA,NA,NA,NA
"10008","10008",2433.22810510737,342.313,0,0,0,8.19,0,28.09,63.72,0,44.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3091,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10009","10009",2056.85488451354,879.769,0,0,0,57.95,0,42.05,0,0,33.1,33.1,NA,NA,NA,NA,NA,NA,NA,NA,3337,3337,NA,NA,NA,NA,NA,NA,NA,NA
"1001","1001",2225.19230047291,0,0,0,0,0,0,93.69,6.31,0,44.6,44.6,NA,NA,NA,NA,NA,NA,NA,NA,2722,2722,NA,NA,NA,NA,NA,NA,NA,NA
"10010","10010",2076.59446616314,0,0,0,0,0,0,50.4,49.6,0,40.7,40.7,NA,NA,NA,NA,NA,NA,NA,NA,2849,2849,NA,NA,NA,NA,NA,NA,NA,NA
"10011","10011",829.457487777235,0,0,0,0,44.71,0,55.29,0,0,7.3,7.3,NA,NA,NA,NA,NA,NA,NA,NA,1431,1431,NA,NA,NA,NA,NA,NA,NA,NA
"10012","10012",7952.29679450056,1789.466,0,0,0,75.41,0,15.03,9.56,2,116,116,NA,NA,NA,NA,NA,NA,NA,NA,13144,13144,NA,NA,NA,NA,NA,NA,NA,NA
"10013","10013",1442.35867135347,0,0,0,0,0,0,76.28,23.72,0,21.1,21.1,NA,NA,NA,NA,NA,NA,NA,NA,1675,1675,NA,NA,NA,NA,NA,NA,NA,NA
"10014","10014",1476.68815477349,0,0,0,0,35.89,0,44.7,19.41,0,30.3,30.3,NA,NA,NA,NA,NA,NA,NA,NA,3118,3118,NA,NA,NA,NA,NA,NA,NA,NA
"10015","10015",1972.12538524603,0,0,0,0,44.52,0,36.92,18.56,0,30.2,30.2,NA,NA,NA,NA,NA,NA,NA,NA,2881,2881,NA,NA,NA,NA,NA,NA,NA,NA
"10016","10016",2031.71670886612,93.194,0,0,0,38.4,14.05,20.85,26.7,0,33.7,29.8,NA,NA,NA,NA,NA,NA,NA,NA,2868,2868,NA,NA,NA,NA,NA,NA,NA,NA
"10017","10017",1526.58492996351,267.727,0,0,0,59.22,0,35.96,4.82,0,20.9,20.9,20.9,20.9,20.9,20.9,NA,NA,NA,NA,2203,2203,2203,2203,2203,2203,NA,NA,NA,NA
"10018","10018",726.401827955274,541.984,0,0,0,100,0,0,0,0,8.4,8.4,NA,NA,NA,NA,NA,NA,NA,NA,996,996,NA,NA,NA,NA,NA,NA,NA,NA
"10019","10019",1532.72811231376,198.092,0,0,0,60.42,0,21.97,17.62,1,24.7,24.7,NA,NA,NA,NA,NA,NA,NA,NA,2873,2873,NA,NA,NA,NA,NA,NA,NA,NA
"1002","1002",715.488928799735,0,0,0,0,20.46,0,21.66,57.87,0,17.4,17.4,NA,NA,NA,NA,NA,NA,NA,NA,1352,1352,NA,NA,NA,NA,NA,NA,NA,NA
"10020","10020",964.017100239778,0,0,0,0,94.63,0,0,5.37,0,9.7,9.7,NA,NA,NA,NA,NA,NA,NA,NA,1499,1499,NA,NA,NA,NA,NA,NA,NA,NA
"10021","10021",4098.95927445726,86.515,0,0,0,42.62,0,3.86,53.52,0,73.7,73.7,NA,NA,NA,NA,NA,NA,NA,NA,6364,6364,NA,NA,NA,NA,NA,NA,NA,NA
"10022","10022",1994.04333627525,0,0,0,0,49.3,0,24.03,26.67,0,27.4,27.4,NA,NA,NA,NA,NA,NA,NA,NA,2658,2658,NA,NA,NA,NA,NA,NA,NA,NA
