"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Beijing",2016,1,9293301,3323.16,1.78,0,32.74,0.23,13.31,12.2,1.02,0.08,0.01,42.96,0.42,33.86,22.55,4793730.643,113760,2.37,33.16,0.34,36.12,30.39,107124,5325,789,521,2.5,"20260303_112629",19947,16052000
"Beijing",2016,2,9293301,3324.87,1.78,0,32.64,0.24,13.23,12.14,0.99,0.08,0.01,42.88,0.74,33.74,22.42,4793730.643,113760,2.37,33.16,0.34,36.12,30.39,107124,5325,789,521,2.5,"20260303_112629",19948,16236169
"Beijing",2019,1,9293301,3289.48,1.75,-1.01,31.23,0.34,17.39,13.92,1.89,1.5,0.09,43.96,0.82,34.06,21.03,5389841.312,153466,2.85,37.21,0.76,34.76,27.27,127019,13322,12058,1068,2.5,"20260303_112629",19951,17671216
"Beijing",2019,2,9293301,3290.73,1.75,-1.03,31.1,0.34,17.31,13.85,1.87,1.5,0.09,43.83,1.2,33.86,20.99,5389841.312,153466,2.85,37.21,0.76,34.76,27.27,127019,13322,12058,1068,2.5,"20260303_112629",19952,17877152
"Beijing",2021,1,9293301,3294.63,1.75,-0.86,31.06,0.4,17.57,14.11,1.87,1.46,0.12,44.58,0.89,33.63,20.81,5603955.755,162430,2.9,37.85,0.84,33.74,27.57,133834,13531,12970,2095,2.5,"20260303_112629",19963,17931198
"Beijing",2021,2,9293301,3299.1,1.75,-0.78,30.87,0.4,17.48,14.05,1.85,1.46,0.12,44.4,1.52,33.35,20.64,5603955.755,162430,2.9,37.85,0.84,33.74,27.57,133834,13531,12970,2095,2.5,"20260303_112629",19965,18174248
"Beijing",2024,1,9293301,3354.54,1.77,0.94,27.38,1.02,35.45,19.88,12.03,3.42,0.13,40,1.91,31.75,26.29,6039380.575,311116,5.15,40.04,1.29,30.4,28.27,175426,99039,34177,2473,2.5,"20260303_112629",19969,22406867
"Beijing",2024,2,9293301,3351.26,1.77,0.79,27.24,1.02,34.98,19.64,11.88,3.33,0.13,39.89,2.46,31.49,26.1,6039380.575,311116,5.15,40.04,1.29,30.4,28.27,175426,99039,34177,2473,2.5,"20260303_112629",19969,22842447
"Beijing",2026,1,9293301,3348.54,1.76,0.76,26.57,1.16,38.54,19.16,15.39,3.88,0.11,39.71,2.64,31.29,26.33,6321113.247,353246,5.59,41.24,1.72,29.12,27.92,174378,139859,36512,2497,2.5,"20260303_112629",19874,23447457
"Beijing",2026,2,9293301,3345.56,1.76,0.62,26.36,1.16,38.03,18.87,15.26,3.8,0.11,39.41,3.54,31,26.01,6321113.247,353246,5.59,41.24,1.72,29.12,27.92,174378,139859,36512,2497,2.5,"20260303_112629",19875,24068585
