"from_id","to_id","dist_2018","dist_2020","dist_2022","change_pct"
"1","1",3231,3276,3475,0.0755184153512844
"2","2",6195,6195,3429,-0.446489104116223
"3","3",4589,4903,4907,0.0692961429505339
"4","4",3593,3593,3663,0.0194823267464514
"5","5",6054,6054,6066,0.00198216055500496
"6","6",1704,1704,1721,0.00997652582159624
"7","7",2798,2608,2531,-0.0954253037884203
"8","8",1949,1970,1970,0.0107747562852745
"9","9",6440,6440,6442,0.00031055900621118
"10","10",2964,2962,2918,-0.0155195681511471
"11","11",1533,1533,1544,0.00717547292889759
"12","12",2023,2060,2067,0.0217498764211567
"13","13",10731,10737,10112,-0.0576833473115273
"14","14",5438,5433,5061,-0.0693269584406032
"15","15",1214,1214,1220,0.00494233937397035
"16","16",1935,2034,1906,-0.0149870801033592
"17","17",4759,4759,4754,-0.00105064089094348
"18","18",3351,3732,3751,0.119367353028947
"19","19",4786,4570,4579,-0.0432511491851233
"20","20",2959,2575,2587,-0.125718148022981
"21","21",4744,5624,5618,0.184232715008432
"22","22",3157,3166,3275,0.037377256889452
"23","23",3903,3903,3906,0.000768639508070715
"24","24",1873,1873,1873,0
"25","25",2509,1702,1642,-0.345555998405739
"26","26",2632,2636,2622,-0.00379939209726444
"27","27",2451,2229,2222,-0.0934312525499796
"28","28",6467,6460,6474,0.00108241843203959
"29","29",3230,3071,2638,-0.18328173374613
"30","30",2431,2420,2421,-0.00411353352529823
"31","31",1264,1264,1282,0.0142405063291139
"32","32",2973,2973,2972,-0.000336360578540195
"33","33",2876,2876,2866,-0.00347705146036161
"34","34",3363,3369,3367,0.00118941421349985
"35","35",1431,1423,1410,-0.0146750524109015
"36","36",2228,2228,2229,0.000448833034111311
"37","37",7997,7805,7323,-0.0842816056021008
"38","38",5398,5331,5336,-0.0114857354575769
"39","39",1659,1645,1654,-0.00301386377335744
"40","40",3149,3164,3264,0.0365195300095268
"41","41",4972,4972,4804,-0.0337892196299276
"42","42",6836,6863,6856,0.00292568753657109
"43","43",2285,2284,2316,0.0135667396061269
