"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","run_timestamp","found_routes","access_15min_vol"
"Berlin","2016",1,3250007,7450.46,1.44,0,13.13,85.69,3.17,4.15,6.94,4439368.5,426205,9.6,60.72,5.41,10.9,22.96,219940,131077,23365,51824,"20260226_005420",19927,111789636
"Berlin","2016",2,3250007,7360.7,1.42,0,16.42,77.12,12.96,3.61,6.27,4439368.5,426205,9.6,60.72,5.41,10.9,22.96,219940,131077,23365,51824,"20260226_005420",19927,137894083
"Berlin","2016",3,3250007,7056.01,1.37,0,27.82,56.82,14.74,24.32,4.08,4439368.5,426205,9.6,60.72,5.41,10.9,22.96,219940,131077,23365,51824,"20260226_005420",19927,195491159
"Berlin","2016",4,3250007,6360.2,1.24,0,47.23,27.96,9.27,19.16,43.56,4439368.5,426205,9.6,60.72,5.41,10.9,22.96,219940,131077,23365,51824,"20260226_005420",19927,300705906
"Berlin","2021",1,3250007,7390.07,1.42,-0.81,15.93,85.32,2.44,2.99,9.23,4771191.499,485076,10.17,65.01,4.03,8.22,22.74,223772,168031,34072,59201,"20260226_005420",19978,119891389
"Berlin","2021",2,3250007,7326.86,1.41,-0.46,18.58,79.83,8.92,2.57,8.65,4771191.499,485076,10.17,65.01,4.03,8.22,22.74,223772,168031,34072,59201,"20260226_005420",19979,144375301
"Berlin","2021",3,3250007,7139.54,1.38,1.18,28.17,67.47,9.7,15.15,7.66,4771191.499,485076,10.17,65.01,4.03,8.22,22.74,223772,168031,34072,59201,"20260226_005420",19980,169324016
"Berlin","2021",4,3250007,6468.48,1.26,1.7,56.39,33.95,5.2,9.83,50.99,4771191.499,485076,10.17,65.01,4.03,8.22,22.74,223772,168031,34072,59201,"20260226_005420",19985,283931816
"Berlin","2026",1,3250007,7384.36,1.42,-0.89,46.12,96.04,0.31,0.7,2.93,4705167.893,525655,11.17,74.81,2.17,5.87,17.15,267354,173268,31181,53853,"20260226_005420",18535,66275272
"Berlin","2026",2,3250007,7320.71,1.41,-0.54,46.97,94.25,2.03,0.76,2.95,4705167.893,525655,11.17,74.81,2.17,5.87,17.15,267354,173268,31181,53853,"20260226_005420",18975,73854191
"Berlin","2026",3,3250007,7365.16,1.41,4.38,55.08,81.02,3.78,12.37,2.82,4705167.893,525655,11.17,74.81,2.17,5.87,17.15,267354,173268,31181,53853,"20260226_005420",19307,80658062
"Berlin","2026",4,3250007,6890.77,1.34,8.34,72.17,45.42,1.65,5.72,47.2,4705167.893,525655,11.17,74.81,2.17,5.87,17.15,267354,173268,31181,53853,"20260226_005420",19997,141491370
