"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Berlin",2016,1,3250007,3096.39,1.47,0,17.92,2.31,51.9,26.56,18.49,4.25,2.6,48.38,6,14.76,30.85,4439368.5,431343,9.72,60.72,5.41,10.9,22.96,219940,131077,28503,51824,5.39,"20260303_113152",19834,91195490
"Berlin",2016,2,3250007,3065.49,1.45,0,17.28,2.38,49.29,24.94,17.63,4.05,2.68,47.46,9.95,13.69,28.89,4439368.5,431343,9.72,60.72,5.41,10.9,22.96,219940,131077,28503,51824,5.39,"20260303_113152",19834,98083747
"Berlin",2019,1,3250007,3060.3,1.45,-1.17,17.87,2.25,57.57,28.46,21.14,5.55,2.41,43.47,4.19,9.82,42.51,4577771.303,467234,10.21,62.24,4.35,8.75,24.66,226840,151205,39810,49379,5.39,"20260303_113152",20000,90833907
"Berlin",2019,2,3250007,3035.4,1.44,-0.98,17.36,2.34,55.04,26.94,20.57,5.13,2.41,43.08,7.2,9.47,40.24,4577771.303,467234,10.21,62.24,4.35,8.75,24.66,226840,151205,39810,49379,5.39,"20260303_113152",20000,96174964
"Berlin",2021,1,3250007,3036.8,1.44,-1.92,17.65,2.28,59.43,26.6,22.85,6.09,3.9,44.71,4.87,9.02,41.4,4771191.499,497539,10.43,65.01,4.03,8.22,22.74,223772,168031,46536,59201,5.39,"20260303_113152",20000,92565692
"Berlin",2021,2,3250007,3021.7,1.43,-1.43,17.3,2.35,57.42,25.74,22.4,5.53,3.75,44.85,6.72,8.82,39.62,4771191.499,497539,10.43,65.01,4.03,8.22,22.74,223772,168031,46536,59201,5.39,"20260303_113152",20000,96924295
"Berlin",2024,1,3250007,3139.88,1.48,1.4,21.02,1.97,69.59,32.46,27.02,6.87,3.24,54.37,2.08,7.74,35.81,4497393.303,516905,11.49,73.4,2.37,6.54,17.69,247720,172249,54808,42128,5.39,"20260303_113152",19844,60053672
"Berlin",2024,2,3250007,3139.71,1.48,2.42,20.97,1.98,69.48,32.39,27,6.85,3.24,54.32,2.22,7.74,35.72,4497393.303,516905,11.49,73.4,2.37,6.54,17.69,247720,172249,54808,42128,5.39,"20260303_113152",19884,60388808
"Berlin",2026,1,3250007,3157.63,1.49,1.98,21.86,1.97,71.53,34.59,26.16,6.51,4.27,61.55,1.6,5.82,31.03,4705167.893,557263,11.84,74.81,2.17,5.87,17.15,267354,173268,62788,53853,5.39,"20260303_113152",19769,55069861
"Berlin",2026,2,3250007,3155.41,1.49,2.93,21.78,1.97,71.56,34.31,26.49,6.52,4.24,60.99,2.14,5.93,30.94,4705167.893,557263,11.84,74.81,2.17,5.87,17.15,267354,173268,62788,53853,5.39,"20260303_113152",19769,55529793
