"from_id","to_id","dist_2016","dist_2019","dist_2021","dist_2024","dist_2026","change_pct"
"1","1",4361,4342,4333,4518,4562,0.0460903462508599
"2","2",1201,1062,1062,1177,1073,-0.106577851790175
"3","3",5194,5194,5217,5243,5194,0
"4","4",5457,5436,5310,5891,5908,0.0826461425691772
"5","5",1961,2093,2118,1977,2352,0.199388067312596
"6","6",1405,1355,1460,1632,1635,0.163701067615658
"7","7",1019,1026,1071,1038,1041,0.0215897939156035
"9","9",3372,3373,3297,3540,3604,0.0688018979833926
"10","10",2527,2513,2310,2581,2578,0.0201820340324495
"11","11",7968,8085,7896,7514,8341,0.0468122489959839
"12","12",5069,4904,5693,5612,5710,0.12645492207536
"13","13",4493,4188,4246,4425,4418,-0.0166926329846428
"14","14",1660,1753,1610,1716,1576,-0.0506024096385542
"15","15",1971,1365,1365,1691,1400,-0.289700659563673
"16","16",4343,4290,4290,4460,4434,0.0209532581165093
"17","17",2424,2138,2595,2107,1873,-0.227310231023102
"18","18",4373,4017,4011,4341,4637,0.0603704550651726
"19","19",2915,3138,2668,2935,2916,0.000343053173241852
"20","20",4460,4082,4086,4129,4135,-0.0728699551569507
"21","21",1838,1924,2010,1802,1895,0.0310119695321001
"2868","2868",1838,1924,2010,1802,1895,0.0310119695321001
"22","22",3652,3829,3725,4043,3958,0.083789704271632
"23","23",2086,2085,2156,1977,2437,0.168264621284756
"24","24",3720,3799,3806,3441,3396,-0.0870967741935484
"25","25",2300,2306,2306,2606,3164,0.375652173913043
"26","26",1298,1298,1300,923,1004,-0.226502311248074
"27","27",1721,1505,1386,1723,1738,0.00987797791981406
"28","28",3762,3347,3261,3286,3166,-0.158426368952685
"29","29",1957,993,985,946,947,-0.516096065406234
"4088","4088",1957,993,985,946,947,-0.516096065406234
"30","30",3552,3395,3422,4215,3706,0.0433558558558559
"31","31",2936,3022,3022,3483,3483,0.186307901907357
"32","32",3881,3883,3883,3433,3433,-0.115434166451945
"34","34",5293,4684,4695,4570,4588,-0.133194785565842
"35","35",3159,3133,3124,3038,3032,-0.0402025957581513
"36","36",5596,5526,5520,5124,5110,-0.0868477483917084
"37","37",1871,1603,1529,1681,1663,-0.111170497060396
"38","38",4109,4183,3978,3699,3695,-0.100754441469944
"39","39",6285,6001,6007,7338,7130,0.134447096260939
"40","40",2791,2707,2470,2498,2545,-0.0881404514510928
"41","41",3422,3540,3460,3206,3492,0.0204558737580362
"42","42",1592,1820,1634,1302,1405,-0.117462311557789
"43","43",894,894,895,906,959,0.0727069351230425
"44","44",2101,2596,2108,2205,2567,0.221799143265112
"45","45",4916,5003,4977,5558,5603,0.139747762408462
"46","46",2633,2787,2806,2668,2461,-0.0653247246486897
"47","47",2748,2759,2594,2408,2471,-0.10080058224163
"48","48",1749,1749,1750,1786,1901,0.086906803887936
"49","49",2532,2505,2520,2502,2563,0.0122432859399684
"50","50",2270,2255,2069,2123,2139,-0.0577092511013216
"51","51",4387,4286,4315,4320,4384,-0.000683838614087075
"52","52",1213,1212,1149,1307,1235,0.0181368507831822
