"city","year","lts","found_routes","access_15min_vol"
"berlin",16,3,19927,195491159
"berlin",16,4,19927,300705906
"berlin",21,3,19980,169324016
"berlin",21,4,19985,283931816
"berlin",26,3,19307,80658062
"berlin",26,4,19997,141491370
"berlin",16,1,19834,91195490
"berlin",16,2,19834,98083747
"berlin",19,1,20000,90833907
"berlin",19,2,20000,96174964
"berlin",21,1,20000,92565692
"berlin",21,2,20000,96924295
"berlin",24,1,19844,60053672
"berlin",24,2,19884,60388808
"berlin",26,1,19769,55069861
"berlin",26,2,19769,55529793
