"from_id","to_id","dist_2016","dist_2018","dist_2020","dist_2022","dist_2024","dist_2026","change_pct"
"1","1",3786,3174,2631,2460,2460,2456,-0.351294241944004
"2","2",1972,1706,1707,1707,2088,2141,0.0856997971602434
"3","3",1791,1831,1835,1835,1835,1837,0.0256839754327191
"5","5",3411,3073,3143,2493,2483,2397,-0.297273526824978
"6","6",740,1048,1048,1048,751,1240,0.675675675675676
"7","7",2552,2610,2697,2641,2627,2687,0.0528996865203762
"9606","9606",2552,2610,2697,2641,2627,2687,0.0528996865203762
"16839","16839",2552,2610,2697,2641,2627,2687,0.0528996865203762
"8","8",9143,8364,8231,8513,8513,10253,0.121404353056983
"9","9",9146,8084,8310,8602,8431,8431,-0.0781762519134048
"10","10",2854,5061,3219,3124,2618,2833,-0.00735809390329362
"5194","5194",2854,5061,3219,3124,2618,2833,-0.00735809390329362
"11","11",4071,4120,4144,4121,4277,3875,-0.0481454188160157
"12","12",7831,5012,5011,4508,4556,6450,-0.176350402247478
"13","13",5590,4965,4951,4907,4862,4804,-0.140608228980322
"14","14",2733,2733,2923,2994,2926,3530,0.291620929381632
"652","652",2733,2733,2923,2994,2926,3530,0.291620929381632
"1610","1610",2733,2733,2923,2994,2926,3530,0.291620929381632
"9305","9305",2733,2733,2923,2994,2926,3530,0.291620929381632
"19830","19830",2733,2733,2923,2994,2926,3530,0.291620929381632
"15","15",4954,4944,5311,5131,4876,5141,0.03774727492935
"16","16",1033,1023,1043,1043,1021,1025,-0.00774443368828654
"15532","15532",1033,1023,1043,1043,1021,1025,-0.00774443368828654
"17286","17286",1033,1023,1043,1043,1021,1025,-0.00774443368828654
"18104","18104",1033,1023,1043,1043,1021,1025,-0.00774443368828654
"17","17",1363,1356,1744,1485,1486,1485,0.0895084372707263
"11670","11670",1363,1356,1744,1485,1486,1485,0.0895084372707263
"18","18",2415,2422,2424,2412,2424,2270,-0.0600414078674948
"19","19",3342,3025,3071,3123,3155,3361,0.0056852184320766
"20","20",1629,1708,1704,1641,1637,1622,-0.00429711479435236
"3211","3211",1629,1708,1704,1641,1637,1622,-0.00429711479435236
"9398","9398",1629,1708,1704,1641,1637,1622,-0.00429711479435236
"13267","13267",1629,1708,1704,1641,1637,1622,-0.00429711479435236
"21","21",8173,8125,8107,8041,7713,7928,-0.0299767527223786
"22","22",3439,3217,3201,3200,3232,2952,-0.141610933410875
"23","23",7409,7131,7390,8083,8079,7045,-0.0491294371710082
"25","25",4111,4398,4107,4019,3024,2905,-0.29335927998054
"8398","8398",4111,4398,4107,4019,3024,2905,-0.29335927998054
"26","26",3780,3128,4128,3581,3581,3141,-0.169047619047619
"27","27",7966,6764,6893,6422,6571,6000,-0.246798895305046
"2482","2482",7966,6764,6893,6422,6571,6000,-0.246798895305046
"28","28",2054,2657,2658,2609,1989,1989,-0.0316455696202532
"29","29",3419,2531,2414,2605,2605,2467,-0.278443989470605
"30","30",1684,1699,1486,1518,1524,1444,-0.142517814726841
"31","31",2810,2256,2256,2055,1663,1492,-0.469039145907473
"32","32",2474,2461,2483,1398,1363,1368,-0.447049312853678
"9248","9248",2474,2461,2483,1398,1363,1368,-0.447049312853678
"33","33",3963,3963,3329,2732,2593,2594,-0.345445369669442
"34","34",2629,2629,2629,2637,3846,2896,0.101559528337771
"35","35",1698,1653,1664,1664,1657,1657,-0.0241460541813899
"36","36",2318,2096,2129,2133,2133,2391,0.0314926660914582
"37","37",6264,5877,5500,5539,5539,5539,-0.115740740740741
"38","38",1479,1488,1470,1470,1535,1320,-0.107505070993915
"8216","8216",1479,1488,1470,1470,1535,1320,-0.107505070993915
"39","39",3375,3322,3130,4232,4422,4229,0.253037037037037
"41","41",9696,9668,9205,9482,9252,9257,-0.045276402640264
"42","42",3692,2672,2672,2646,2496,2480,-0.328277356446371
