"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","run_timestamp","found_routes","access_15min_vol"
"Bogota","2016",1,7052831,8307.65,1.5,0,15.8,68.47,0.35,14.23,16.9,8661990.64,213120,2.46,45.34,0.97,23.08,30.61,128450,2060,837,81773,"20260225_234106",14498,1618730
"Bogota","2016",2,7052831,8423.63,1.5,0,16.14,68.23,1.28,14,16.44,8661990.64,213120,2.46,45.34,0.97,23.08,30.61,128450,2060,837,81773,"20260225_234106",14692,1655805
"Bogota","2016",3,7052831,9868,1.45,0,12.77,40.82,0.79,49.92,8.44,8661990.64,213120,2.46,45.34,0.97,23.08,30.61,128450,2060,837,81773,"20260225_234106",18746,3753991
"Bogota","2016",4,7052831,9236.4,1.28,0,8.55,16.31,0.37,23.67,59.62,8661990.64,213120,2.46,45.34,0.97,23.08,30.61,128450,2060,837,81773,"20260225_234106",19985,6882452
"Bogota","2021",1,7052831,8836.58,1.45,6.37,27.47,81.16,9.15,2.25,7.44,9188380.147,253189,2.76,54.03,15.06,9.38,21.53,229708,9167,3493,10821,"20260225_234106",16478,2006921
"Bogota","2021",2,7052831,9848.37,1.41,16.91,21.27,53.58,41.01,1.5,3.9,9188380.147,253189,2.76,54.03,15.06,9.38,21.53,229708,9167,3493,10821,"20260225_234106",19217,3836274
"Bogota","2021",3,7052831,9818.97,1.38,-0.5,20.33,47.82,39.18,9.56,3.44,9188380.147,253189,2.76,54.03,15.06,9.38,21.53,229708,9167,3493,10821,"20260225_234106",19507,4454291
"Bogota","2021",4,7052831,9133.39,1.26,-1.12,8.17,20.51,17.51,5.54,56.43,9188380.147,253189,2.76,54.03,15.06,9.38,21.53,229708,9167,3493,10821,"20260225_234106",19987,6873625
"Bogota","2026",1,7052831,9629.35,1.43,15.91,39.89,89.07,5.56,0.97,4.39,9698307.297,323036,3.33,60.47,17,6.67,15.85,271104,30649,10067,11216,"20260225_234106",18544,2491754
"Bogota","2026",2,7052831,9695.96,1.36,15.1,34.24,63.18,33.22,0.76,2.83,9698307.297,323036,3.33,60.47,17,6.67,15.85,271104,30649,10067,11216,"20260225_234106",19591,4321191
"Bogota","2026",3,7052831,9636.15,1.35,-2.35,33.27,58.49,32.79,6.04,2.67,9698307.297,323036,3.33,60.47,17,6.67,15.85,271104,30649,10067,11216,"20260225_234106",19714,4736792
"Bogota","2026",4,7052831,9165.2,1.26,-0.77,15.22,27.14,19.3,3.34,50.22,9698307.297,323036,3.33,60.47,17,6.67,15.85,271104,30649,10067,11216,"20260225_234106",19973,6675762
