"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Bogota",2016,1,7052831,3824.34,1.7,0,34.44,0.33,11.26,9.22,0.07,0.02,1.94,62.27,0.59,15.63,21.5,8661990.64,213120,2.46,45.34,0.97,23.08,30.61,128450,2060,837,81773,5.43,"20260302_135502",19787,16208807
"Bogota",2016,2,7052831,3838.97,1.7,0,34.11,0.34,11.35,9.24,0.13,0.02,1.96,61.84,1.57,15.48,21.1,8661990.64,213120,2.46,45.34,0.97,23.08,30.61,128450,2060,837,81773,5.43,"20260302_135502",19800,16522636
"Bogota",2019,1,7052831,3736.91,1.63,-2.29,32.07,0.56,16.05,14.9,0.16,0.04,0.95,68.97,10.83,3.98,16.22,8819877.63,225346,2.55,49.17,14.42,8.25,28.15,199492,6880,2264,16710,5.43,"20260302_135502",19850,18480331
"Bogota",2019,2,7052831,3765.82,1.64,-1.91,25.72,0.5,14.22,13.1,0.21,0.03,0.88,52.84,32.82,3.36,10.98,8819877.63,225346,2.55,49.17,14.42,8.25,28.15,199492,6880,2264,16710,5.43,"20260302_135502",19931,40090407
"Bogota",2021,1,7052831,3707.18,1.61,-3.06,30.09,0.83,19.57,18.56,0.12,0.17,0.71,76.43,10.27,3.57,9.73,9188380.147,253189,2.76,54.03,15.06,9.38,21.53,229708,9167,3493,10821,5.43,"20260302_135502",19915,23578061
"Bogota",2021,2,7052831,3701.27,1.59,-3.59,23.97,0.69,17.16,16.31,0.1,0.15,0.61,57.13,33.65,2.91,6.31,9188380.147,253189,2.76,54.03,15.06,9.38,21.53,229708,9167,3493,10821,5.43,"20260302_135502",19966,43925899
"Bogota",2024,1,7052831,3695.66,1.59,-3.36,28.02,1.27,24.69,23.4,0.34,0.1,0.85,83.27,8.54,1.72,6.47,9572725.25,305801,3.19,59.91,17.34,6.73,16.02,260547,24167,9979,11108,5.43,"20260302_135502",19925,26817982
"Bogota",2024,2,7052831,3619.58,1.56,-5.71,22.66,1.16,21.76,19.58,1.06,0.47,0.66,60.03,34.37,1.37,4.23,9572725.25,305801,3.19,59.91,17.34,6.73,16.02,260547,24167,9979,11108,5.43,"20260302_135502",19963,48900285
"Bogota",2026,1,7052831,3706.79,1.6,-3.07,27.55,1.33,27.95,26.4,0.68,0.1,0.77,84.31,7.85,1.64,6.2,9698307.297,323036,3.33,60.47,17,6.67,15.85,271104,30649,10067,11216,5.43,"20260302_135502",19935,29658139
"Bogota",2026,2,7052831,3613.83,1.56,-5.86,22.64,1.29,24.14,21.6,1.43,0.47,0.64,61.88,32.33,1.3,4.49,9698307.297,323036,3.33,60.47,17,6.67,15.85,271104,30649,10067,11216,5.43,"20260302_135502",19965,50137075
