"from_id","to_id","dist_2016","dist_2019","dist_2021","dist_2024","dist_2026","change_pct"
"1","1",4404,5254,4595,4575,4584,0.0408719346049046
"2","2",2770,2465,2613,2025,2025,-0.268953068592058
"3","3",3838,3069,3034,3033,3033,-0.209744658676394
"4","4",2567,2664,2631,2851,2849,0.109855862874951
"5","5",2423,3177,2695,2593,2609,0.0767643417251341
"6","6",2120,1843,1727,1113,1173,-0.446698113207547
"7","7",5238,5007,4998,5222,5466,0.0435280641466208
"8","8",5422,4620,4728,5397,5432,0.00184433788270011
"9","9",1635,1515,1489,1504,1508,-0.0776758409785933
"10","10",2088,1856,1856,1970,1970,-0.0565134099616858
"11","11",2779,2659,2546,2519,2447,-0.119467434328895
"12","12",2505,2169,2152,2124,2232,-0.108982035928144
"13","13",1943,2090,1976,1871,1442,-0.2578486875965
"14","14",3957,3958,4270,4394,4394,0.110437199898913
"15","15",2838,3006,2404,3525,3529,0.243481324876674
"16","16",3391,3705,3601,3587,3623,0.0684163963432616
"17","17",6309,5626,4922,4875,5024,-0.203677286416231
"18","18",1634,2036,1690,1830,1768,0.0820073439412485
"19","19",2570,2668,2341,2340,2341,-0.0891050583657588
"20","20",1653,1894,1793,1698,1704,0.0308529945553539
"21","21",4092,4415,4320,4660,4656,0.13782991202346
"22","22",4714,4575,4570,4591,4595,-0.0252439541790412
"23","23",9136,9094,9267,8572,8568,-0.0621716287215412
"24","24",4488,5645,3562,3750,4154,-0.0744206773618538
"25","25",4593,5491,4015,3997,4139,-0.0988460701066841
"26","26",2068,2066,1958,1951,1953,-0.0556092843326886
"27","27",5228,5086,6640,5178,5234,0.00114766641162969
"28","28",3593,3769,3652,2571,2623,-0.269969384915113
"29","29",8310,6993,6998,7033,7029,-0.154151624548736
"30","30",1688,1772,2041,2262,2261,0.339454976303318
"31","31",7243,7593,7420,7665,7666,0.0584012149661742
"32","32",4382,4472,4280,3374,3391,-0.226152441807394
"33","33",1423,1426,1416,1317,1330,-0.0653548840477864
"34","34",1613,1609,1517,1811,1815,0.125232486050837
"35","35",3220,3250,3215,2866,3135,-0.0263975155279503
"36","36",1975,2033,2019,2104,2005,0.0151898734177215
"37","37",1192,1425,1868,1981,1980,0.661073825503356
"38","38",17570,16087,15886,15575,16908,-0.037677859988617
"39","39",2278,2518,3290,3403,3403,0.493854258121159
"40","40",3285,2146,1886,1966,3153,-0.0401826484018265
"41","41",6439,5465,5704,5281,5280,-0.179996893927629
