"from_id","to_id","dist_2016","dist_2021","dist_2026","diff_1621","diff_2126","diff_1626","change_pct"
"1","1",11529,11162,10199,-367,-963,-1330,-0.115361262902247
"2","2",5227,5200,5080,-27,-120,-147,-0.0281232064281615
"3","3",7666,6886,6902,-780,16,-764,-0.0996608400730498
"4","4",11237,9998,10307,-1239,309,-930,-0.0827623031058112
"5","5",10325,11011,10367,686,-644,42,0.00406779661016949
"6","6",11900,11861,10878,-39,-983,-1022,-0.0858823529411765
"8","8",6235,5910,6064,-325,154,-171,-0.0274258219727346
"9","9",3896,4039,4102,143,63,206,0.0528747433264887
"10","10",7068,7340,6234,272,-1106,-834,-0.117996604414261
"11","11",13790,13150,12711,-640,-439,-1079,-0.0782451051486584
"12","12",5861,5333,5287,-528,-46,-574,-0.0979355058863675
"13","13",4807,4827,5410,20,583,603,0.125442063657167
"14","14",9845,9252,9887,-593,635,42,0.004266124936516
"15","15",11846,11840,12620,-6,780,774,0.0653385108897518
"16","16",9626,9464,8825,-162,-639,-801,-0.0832121338042801
"17","17",10273,10790,10734,517,-56,461,0.0448749148252701
"18","18",700,1023,1042,323,19,342,0.488571428571429
"19","19",7226,7041,6871,-185,-170,-355,-0.0491281483531691
"21","21",5417,4547,4629,-870,82,-788,-0.145467971201772
"22","22",9436,9593,8906,157,-687,-530,-0.056167867740568
"23","23",5442,2937,3387,-2505,450,-2055,-0.377618522601985
"24","24",12374,11630,11201,-744,-429,-1173,-0.0947955390334572
"25","25",5802,4421,4439,-1381,18,-1363,-0.234918993450534
"26","26",13209,11830,10974,-1379,-856,-2235,-0.16920281626164
"27","27",8207,8033,7973,-174,-60,-234,-0.0285122456439625
"28","28",8197,7565,7247,-632,-318,-950,-0.115896059533976
"29","29",8875,7682,8011,-1193,329,-864,-0.0973521126760563
"34","34",6324,5162,4707,-1162,-455,-1617,-0.255692599620493
"36","36",11154,8432,8041,-2722,-391,-3113,-0.279092702169625
"39","39",4544,4372,3905,-172,-467,-639,-0.140625
"40","40",8539,8368,7631,-171,-737,-908,-0.106335636491392
"41","41",2155,1758,1860,-397,102,-295,-0.136890951276102
"42","42",7047,7433,6668,386,-765,-379,-0.0537817510997588
"45","45",3649,2814,2792,-835,-22,-857,-0.234858865442587
"46","46",6076,6444,6533,368,89,457,0.0752139565503621
"47","47",14410,12449,11629,-1961,-820,-2781,-0.192990978487162
"48","48",6753,5336,9205,-1417,3869,2452,0.363097882422627
"49","49",5966,5950,6112,-16,162,146,0.0244720080455917
"51","51",3987,4619,4795,632,176,808,0.202658640581891
"52","52",3849,3562,4122,-287,560,273,0.0709275136399065
"54","54",446,335,332,-111,-3,-114,-0.255605381165919
"56","56",11963,11481,10469,-482,-1012,-1494,-0.124885062275349
"57","57",6297,6053,5657,-244,-396,-640,-0.101635699539463
"58","58",10664,9837,9437,-827,-400,-1227,-0.115060015003751
"59","59",13945,13695,11814,-250,-1881,-2131,-0.152814628899247
"60","60",13163,13058,11616,-105,-1442,-1547,-0.117526399756894
"62","62",6461,6315,6319,-146,4,-142,-0.021978021978022
"63","63",3508,2819,2717,-689,-102,-791,-0.225484606613455
"64","64",5634,7127,6004,1493,-1123,370,0.0656727014554491
"65","65",9856,8148,8006,-1708,-142,-1850,-0.187702922077922
"66","66",5102,4775,4794,-327,19,-308,-0.0603684829478636
"67","67",7123,7424,6789,301,-635,-334,-0.046890355187421
"68","68",5136,4989,5017,-147,28,-119,-0.0231697819314642
"69","69",8509,8838,8889,329,51,380,0.0446585967798801
"70","70",15319,13774,13824,-1545,50,-1495,-0.0975912265813695
"71","71",4873,5270,5339,397,69,466,0.0956289759901498
"74","74",9038,9669,8755,631,-914,-283,-0.031312237220624
"75","75",7035,7216,6228,181,-988,-807,-0.114712153518124
"76","76",5928,5969,5936,41,-33,8,0.00134952766531714
"79","79",14624,13078,13620,-1546,542,-1004,-0.0686542669584245
"80","80",1304,1594,1465,290,-129,161,0.123466257668712
"81","81",6493,7745,6734,1252,-1011,241,0.0371168951178192
"82","82",8709,8326,8009,-383,-317,-700,-0.0803766218854059
"83","83",10179,10040,10268,-139,228,89,0.00874349150211219
"84","84",2036,1720,1699,-316,-21,-337,-0.165520628683694
"85","85",6601,5807,5835,-794,28,-766,-0.116043023784275
"86","86",13900,13156,12776,-744,-380,-1124,-0.080863309352518
"89","89",2607,2659,2757,52,98,150,0.0575373993095512
"90","90",10162,8108,8290,-2054,182,-1872,-0.18421570556977
"91","91",9599,9256,9798,-343,542,199,0.0207313261798104
"93","93",14086,13967,14041,-119,74,-45,-0.00319466136589522
"94","94",10210,8071,8664,-2139,593,-1546,-0.151420176297747
"95","95",4376,4465,4551,89,86,175,0.0399908592321755
"98","98",14214,13789,13788,-425,-1,-426,-0.0299704516673702
"99","99",7480,7379,7975,-101,596,495,0.0661764705882353
"100","100",9950,9937,10224,-13,287,274,0.0275376884422111
"103","103",9835,8346,8398,-1489,52,-1437,-0.146110828673106
"104","104",4723,4722,4829,-1,107,106,0.0224433622697438
"105","105",10376,9470,9472,-906,2,-904,-0.087124132613724
"106","106",10745,10345,9573,-400,-772,-1172,-0.109073987901349
"108","108",8169,7595,7358,-574,-237,-811,-0.0992777573754438
"109","109",6192,4968,5092,-1224,124,-1100,-0.17764857881137
"111","111",14828,14067,13557,-761,-510,-1271,-0.085716212570812
"112","112",10605,8805,9609,-1800,804,-996,-0.0939179632248939
"113","113",6654,6203,6107,-451,-96,-547,-0.0822061917643523
"114","114",9761,9595,9718,-166,123,-43,-0.00440528634361234
"115","115",3683,3743,3730,60,-13,47,0.0127613358674993
"116","116",7356,6277,6393,-1079,116,-963,-0.130913539967374
"117","117",6989,6400,6878,-589,478,-111,-0.0158821004435542
"118","118",5970,4756,4585,-1214,-171,-1385,-0.231993299832496
"119","119",13294,13666,13362,372,-304,68,0.0051150895140665
"120","120",8294,8276,8522,-18,246,228,0.0274897516276827
"121","121",13027,11145,10639,-1882,-506,-2388,-0.183311583633991
"122","122",1279,1181,1236,-98,55,-43,-0.0336200156372166
"123","123",4968,4722,4474,-246,-248,-494,-0.0994363929146538
"124","124",7824,7651,7589,-173,-62,-235,-0.0300357873210634
"126","126",13668,12096,12162,-1572,66,-1506,-0.110184372256365
"127","127",8367,8531,6691,164,-1840,-1676,-0.200310744591849
"128","128",3934,2768,2815,-1166,47,-1119,-0.284443314692425
"131","131",4531,4953,4426,422,-527,-105,-0.0231736923416464
"133","133",10208,10208,9667,0,-541,-541,-0.0529976489028213
"134","134",6621,6606,6105,-15,-501,-516,-0.0779338468509289
"135","135",12434,13580,11030,1146,-2550,-1404,-0.112916197522921
"137","137",6509,5792,6085,-717,293,-424,-0.0651405745890306
"138","138",7660,8982,7610,1322,-1372,-50,-0.00652741514360313
"139","139",10943,9104,9013,-1839,-91,-1930,-0.176368454719912
"140","140",10394,9667,9293,-727,-374,-1101,-0.105926496055417
"141","141",8774,8127,7480,-647,-647,-1294,-0.147481194438113
"142","142",11777,8738,8987,-3039,249,-2790,-0.236902436953384
"143","143",12990,13016,12204,26,-812,-786,-0.0605080831408776
"144","144",9853,10320,9258,467,-1062,-595,-0.0603876991779154
"145","145",10339,9308,9801,-1031,493,-538,-0.0520359802688848
"147","147",8071,7388,6990,-683,-398,-1081,-0.133936315202577
"148","148",8449,8470,8684,21,214,235,0.0278139424783998
"150","150",1811,1753,1749,-58,-4,-62,-0.0342352291551629
"151","151",12806,10977,11178,-1829,201,-1628,-0.127127908792753
"152","152",3233,2907,3089,-326,182,-144,-0.0445406742963192
"153","153",10982,10735,11794,-247,1059,812,0.0739391731924968
"154","154",12007,12296,11928,289,-368,-79,-0.00657949529441159
"156","156",9027,7282,7671,-1745,389,-1356,-0.150216018610834
"157","157",6355,7828,8076,1473,248,1721,0.27081038552321
"158","158",13500,12756,12688,-744,-68,-812,-0.0601481481481481
"159","159",7884,5516,5510,-2368,-6,-2374,-0.301116184677829
"160","160",5449,5294,5365,-155,71,-84,-0.0154156726004772
"161","161",8445,8366,7353,-79,-1013,-1092,-0.129307282415631
"162","162",9310,9550,9935,240,385,625,0.0671321160042965
