"city","year","lts","found_routes","access_15min_vol"
"bogota",16,3,18746,3753991
"bogota",16,4,19985,6882452
"bogota",21,3,19507,4454291
"bogota",21,4,19987,6873625
"bogota",26,3,19714,4736792
"bogota",26,4,19973,6675762
"bogota",16,1,19901,7959943
"bogota",16,2,19905,8067060
"bogota",19,1,19913,8876920
"bogota",19,2,19935,14250370
"bogota",21,1,19951,10091533
"bogota",21,2,19973,15576922
"bogota",24,1,19950,11329412
"bogota",24,2,19965,16758394
"bogota",26,1,19954,11446408
"bogota",26,2,19968,16698501
