"from_id","to_id","euclidean_distance","route_ci_strong_m","route_ci_medium_m","route_ci_weak_m","route_ci_foot_m","route_pct_lts1","route_pct_lts2","route_pct_lts3","route_pct_lts4","route_interruptions_count","total_duration_v16_v1","total_duration_v16_v2","total_duration_v19_v1","total_duration_v19_v2","total_duration_v21_v1","total_duration_v21_v2","total_duration_v24_v1","total_duration_v24_v2","total_duration_v26_v1","total_duration_v26_v2","total_distance_v16_v1","total_distance_v16_v2","total_distance_v19_v1","total_distance_v19_v2","total_distance_v21_v1","total_distance_v21_v2","total_distance_v24_v1","total_distance_v24_v2","total_distance_v26_v1","total_distance_v26_v2"
"1","1",2481.65947653644,195.19,0,0,0,74.09,0,22.78,3.13,0,22.7,22.7,NA,NA,NA,NA,NA,NA,NA,NA,3151,3151,NA,NA,NA,NA,NA,NA,NA,NA
"10","10",2277.64920598626,677.78,0,0,0,80.75,0,4.76,14.48,1,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,3246,3246,NA,NA,NA,NA,NA,NA,NA,NA
"100","100",1048.32668587256,0,0,0,0,48.31,0,51.69,0,0,13.6,13.6,NA,NA,NA,NA,NA,NA,NA,NA,1529,1529,NA,NA,NA,NA,NA,NA,NA,NA
"1000","1000",902.41021804447,0,0,0,133.64,80.83,0,12.71,6.46,0,22.4,22.4,NA,NA,NA,NA,NA,NA,NA,NA,2279,2279,NA,NA,NA,NA,NA,NA,NA,NA
"10000","10000",1856.09162720707,352.348,0,0,227.006,87.39,0,12.61,0,1,19.2,19.2,NA,NA,NA,NA,NA,NA,NA,NA,2500,2500,NA,NA,NA,NA,NA,NA,NA,NA
"10001","10001",889.893410650711,396.719,0,0,0,78.63,0,3.84,17.52,0,15.7,15.7,NA,NA,NA,NA,NA,NA,NA,NA,1508,1508,NA,NA,NA,NA,NA,NA,NA,NA
"10002","10002",1813.38374404019,0,0,0,247.979,28.62,0,70,1.38,0,55.6,55.6,NA,NA,NA,NA,NA,NA,NA,NA,4375,4375,NA,NA,NA,NA,NA,NA,NA,NA
"10003","10003",3209.39331628096,303.185,25.993,0,0,76.53,0.27,13.31,9.9,1,27.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,3926,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10004","10004",1205.92952944424,569.084,0,0,0,65.27,0,1.26,33.47,0,27.7,27.7,NA,NA,NA,NA,NA,NA,NA,NA,2440,2440,NA,NA,NA,NA,NA,NA,NA,NA
"10005","10005",2027.84633386716,0,0,0,103.562,65.24,0,11.15,23.61,0,24.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2752,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10006","10006",1582.82148338787,420.068,0,0,551.542,76.06,0,3.9,20.04,0,19.6,19.6,NA,NA,NA,NA,NA,NA,NA,NA,2363,2363,NA,NA,NA,NA,NA,NA,NA,NA
