"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Bologna",2016,1,429695,4093.53,1.84,0,31.47,1.81,38.43,33.29,0.54,0.5,4.1,64.04,0.78,22.02,13.08,3288425.756,159003,4.84,43.05,1.11,30.94,24.91,124778,2898,1557,29771,3.95,"20260303_113948",19750,18981047
"Bologna",2016,2,429695,4089.38,1.83,0,31.14,1.83,37.69,32.4,0.73,0.49,4.08,62.94,2.46,21.63,12.89,3288425.756,159003,4.84,43.05,1.11,30.94,24.91,124778,2898,1557,29771,3.95,"20260303_113948",19751,20017478
"Bologna",2019,1,429695,4047.74,1.82,-1.12,31.33,1.83,39.15,34.42,0.36,0.04,4.32,65.4,1.21,20.2,13.13,3509278.694,170820,4.87,45.84,1.67,28.4,24.09,133988,2672,470,33689,3.95,"20260303_113948",19766,19019953
"Bologna",2019,2,429695,4032.25,1.81,-1.4,30.86,1.8,37.98,33.18,0.46,0.04,4.3,63.86,3.53,19.84,12.71,3509278.694,170820,4.87,45.84,1.67,28.4,24.09,133988,2672,470,33689,3.95,"20260303_113948",19771,20080038
"Bologna",2021,1,429695,3965.49,1.78,-3.13,28.86,2.36,48.88,36.15,7.14,1.71,3.88,64.09,3.23,18.19,14.46,3876790.196,255583,6.59,50.2,2.36,25.27,22.16,196527,20733,6516,31806,3.95,"20260303_113948",19796,22372420
"Bologna",2021,2,429695,3948.08,1.77,-3.46,28.48,2.36,47.55,34.94,7.23,1.8,3.58,62.42,5.4,17.93,14.23,3876790.196,255583,6.59,50.2,2.36,25.27,22.16,196527,20733,6516,31806,3.95,"20260303_113948",19798,23412710
"Bologna",2024,1,429695,3930.77,1.76,-3.98,27.4,2.25,59.88,36.86,16.72,3.1,3.2,60.73,10.09,12.75,16.41,4127040.356,306070,7.42,53.31,6.59,17.16,22.94,203358,65262,11245,26205,3.95,"20260303_113948",19987,20820067
"Bologna",2024,2,429695,3879.27,1.73,-5.14,25.99,2.34,55.58,33.91,15.7,3.14,2.83,57.01,15.19,12.52,15.27,4127040.356,306070,7.42,53.31,6.59,17.16,22.94,203358,65262,11245,26205,3.95,"20260303_113948",19991,23681850
"Bologna",2026,1,429695,3912.89,1.75,-4.41,27.29,2.24,60.44,34.97,18.42,3.56,3.49,60.72,10.57,12.64,16.06,4173306.988,323785,7.76,54.68,7.46,15.9,21.96,206311,75912,13940,27621,3.95,"20260303_113948",19993,20946157
"Bologna",2026,2,429695,3857.84,1.72,-5.66,26.07,2.39,55.73,31.52,17.3,3.76,3.15,56.26,16.64,12.26,14.83,4173306.988,323785,7.76,54.68,7.46,15.9,21.96,206311,75912,13940,27621,3.95,"20260303_113948",19995,23370575
