"from_id","to_id","dist_2018","dist_2020","dist_2022","change_pct"
"1","1",3006,2985,2985,-0.00698602794411178
"2","2",4297,4296,4203,-0.0218757272515709
"3","3",1392,1476,1490,0.0704022988505747
"4","4",1009,1257,1257,0.245787908820614
"5","5",2996,2238,2476,-0.173564753004005
"6","6",2707,2707,2342,-0.134835611377909
"7","7",1854,1706,1934,0.0431499460625674
"8","8",1074,1597,1080,0.00558659217877095
"9","9",1676,1788,1788,0.0668257756563246
"10","10",3513,3708,2870,-0.183034443495588
"11","11",1467,1428,2029,0.383094751192911
"16066","16066",1467,1428,2029,0.383094751192911
"12","12",2375,2375,1949,-0.179368421052632
"13","13",4271,4271,4271,0
"14","14",4034,4019,3971,-0.0156172533465543
"14802","14802",4034,4019,3971,-0.0156172533465543
"15","15",2208,1586,1658,-0.249094202898551
"16","16",1717,1717,1391,-0.189866045428072
"4402","4402",1717,1717,1391,-0.189866045428072
"4520","4520",1717,1717,1391,-0.189866045428072
"17","17",3840,3655,2838,-0.2609375
"18","18",2015,1775,1815,-0.0992555831265509
"19","19",5776,5498,5342,-0.0751385041551247
"20","20",3919,4301,4528,0.155396784894106
"21","21",6442,6433,5718,-0.112387457311394
"2510","2510",6442,6433,5718,-0.112387457311394
"22","22",2906,2747,2874,-0.0110116999311769
"23","23",1946,1946,1687,-0.133093525179856
"24","24",4441,4600,4873,0.0972753884260302
"25","25",1561,1561,1555,-0.00384368994234465
"26","26",5503,6248,5610,0.0194439396692713
"27","27",3612,4012,3994,0.105758582502769
"28","28",3220,3317,3146,-0.0229813664596273
"29","29",3947,3960,3949,0.000506713959969597
"30","30",4155,4152,3989,-0.0399518652226233
"31","31",2524,2515,2385,-0.0550713153724247
"32","32",7242,6848,6839,-0.0556476111571389
"33","33",2687,3015,2984,0.110532192035728
"34","34",2061,2056,1928,-0.0645317806889859
"35","35",4259,4135,3908,-0.0824137121389998
"36","36",2110,2109,2062,-0.0227488151658768
"37","37",2528,2447,2449,-0.03125
"38","38",5282,5278,5139,-0.0270730783794017
"39","39",3126,3126,3208,0.0262316058861164
"40","40",2181,2668,1630,-0.252636405318661
"41","41",4471,4172,4094,-0.0843211809438604
"42","42",3084,3038,2410,-0.218547341115435
"43","43",4318,4213,4376,0.0134321445113478
"44","44",1646,1647,1667,0.0127582017010936
"45","45",4985,4867,4644,-0.0684052156469408
"46","46",7189,6632,6532,-0.0913896230351927
"47","47",6542,6542,7473,0.142311219810456
"48","48",1551,1524,2055,0.32495164410058
"50","50",8119,8118,8697,0.0711910333784949
"51","51",3200,3170,3165,-0.0109375
"52","52",2222,2405,2311,0.0400540054005401
"53","53",4918,4244,4129,-0.160431069540464
"54","54",3635,3633,3584,-0.0140302613480055
"19148","19148",3635,3633,3584,-0.0140302613480055
"55","55",3737,3737,4067,0.0883061279100883
"56","56",2555,2532,3018,0.181213307240705
"57","57",1316,1325,1075,-0.183130699088146
"58","58",1384,1626,1626,0.17485549132948
"59","59",7928,7496,7499,-0.0541120080726539
"60","60",1975,1924,2011,0.0182278481012658
"61","61",1573,1001,1005,-0.361093452002543
"62","62",3276,3276,3133,-0.0436507936507936
"64","64",1772,1772,1448,-0.182844243792325
"65","65",6851,6650,4834,-0.29440957524449
"66","66",5392,5098,4861,-0.0984792284866469
"67","67",2956,2956,2677,-0.0943843031123139
"14590","14590",2956,2956,2677,-0.0943843031123139
"68","68",1737,1719,1466,-0.15601611974669
"14714","14714",1737,1719,1466,-0.15601611974669
"69","69",3282,2562,3122,-0.048750761730652
"70","70",4044,1827,1714,-0.576162215628091
"71","71",1790,1421,1475,-0.175977653631285
"72","72",1640,1612,1582,-0.0353658536585366
"6941","6941",1640,1612,1582,-0.0353658536585366
"10869","10869",1640,1612,1582,-0.0353658536585366
"73","73",2519,2603,2314,-0.0813815005954744
"74","74",7046,5505,6701,-0.0489639511779733
"7997","7997",7046,5505,6701,-0.0489639511779733
"75","75",2986,2987,2986,0
"77","77",2222,2162,2148,-0.0333033303330333
"78","78",2383,2534,2558,0.0734368443138901
"79","79",2198,2198,2265,0.0304822565969063
"3992","3992",2198,2198,2265,0.0304822565969063
"80","80",3123,3119,2854,-0.0861351264809478
"81","81",4147,4100,3018,-0.272244996382927
"82","82",5000,4478,4835,-0.033
"83","83",5755,5754,5480,-0.0477845351867941
"84","84",2449,2403,1942,-0.207023274806043
"85","85",4283,3725,4280,-0.00070044361428905
"86","86",3845,3919,3981,0.035370611183355
"13418","13418",3845,3919,3981,0.035370611183355
"87","87",2180,2253,2417,0.108715596330275
"8659","8659",2180,2253,2417,0.108715596330275
"88","88",5094,5371,5388,0.0577149587750294
"89","89",5783,6806,6935,0.199204565104617
"90","90",5051,5404,4737,-0.0621659077410414
"91","91",5139,4500,4500,-0.124343257443082
"92","92",1683,1683,1687,0.0023767082590612
"123","123",1683,1683,1687,0.0023767082590612
"7677","7677",1683,1683,1687,0.0023767082590612
"93","93",5547,5453,5510,-0.0066702722192176
"94","94",2572,2572,2550,-0.00855365474339036
"95","95",3295,3734,3492,0.0597875569044006
"96","96",2306,2166,2296,-0.00433651344319167
"97","97",3949,4182,4057,0.0273486958723728
"98","98",10149,9882,9322,-0.0814858606759287
"99","99",5231,5227,4462,-0.147008220225578
"100","100",1470,1470,1515,0.0306122448979592
"101","101",12671,11680,10408,-0.178596795833005
"102","102",2839,2835,2828,-0.00387460373370905
"103","103",2082,2096,2011,-0.0341018251681076
"2298","2298",2082,2096,2011,-0.0341018251681076
"104","104",1780,1780,1450,-0.185393258426966
"105","105",1806,1806,2004,0.109634551495017
"106","106",1760,1760,1671,-0.0505681818181818
"107","107",3321,3161,3312,-0.002710027100271
"108","108",2410,2382,2405,-0.0020746887966805
"109","109",5354,5389,5390,0.00672394471423235
"110","110",1489,1720,1775,0.192075218267293
"111","111",2898,3548,4277,0.475845410628019
"9779","9779",2898,3548,4277,0.475845410628019
"112","112",2835,4162,4164,0.468783068783069
"113","113",5172,5154,5611,0.0848801237432328
"114","114",4086,4983,4744,0.161037689672051
"115","115",2304,2089,1845,-0.19921875
"116","116",2741,2685,2612,-0.0470631156512222
"117","117",1545,1545,1695,0.0970873786407767
"118","118",8449,8750,8748,0.0353888034086874
"119","119",7824,7228,6961,-0.11030163599182
"120","120",8688,8686,8409,-0.0321132596685083
"121","121",2319,2323,2445,0.0543337645536869
"122","122",2399,2381,2432,0.0137557315548145
"10560","10560",2399,2381,2432,0.0137557315548145
"12572","12572",2399,2381,2432,0.0137557315548145
"124","124",8489,8550,9447,0.112851926021911
"125","125",2254,6275,2031,-0.0989352262644188
"126","126",3992,3184,2836,-0.289579158316633
"127","127",4092,3903,4107,0.00366568914956012
"128","128",3917,3917,3858,-0.0150625478682665
