"from_id","to_id","dist_2016","dist_2018","dist_2020","dist_2022","dist_2024","dist_2026","change_pct"
"1","1",3084,3084,3084,2083,2070,2065,-0.33041504539559
"2","2",4686,4686,4104,4104,4094,3782,-0.192915066154503
"3","3",1054,1054,1054,1054,1422,1347,0.277988614800759
"4","4",3768,3882,3905,3751,3112,3153,-0.163216560509554
"5","5",5387,6601,6597,6706,6187,5684,0.0551327269352144
"6","6",1482,1564,1541,1539,1826,1659,0.119433198380567
"7","7",1455,1454,1454,1582,1741,1742,0.197250859106529
"8","8",9810,9816,9574,9467,9146,10564,0.0768603465851172
"9","9",1700,1700,1700,1701,1701,1508,-0.112941176470588
"10","10",3954,3954,3974,3975,3291,3267,-0.173748103186646
"11","11",5061,3272,3208,3505,3148,3332,-0.341632088520055
"12","12",2354,2232,2312,2362,2078,2108,-0.104502973661852
"3390","3390",2354,2232,2312,2362,2078,2108,-0.104502973661852
"13","13",3275,3274,3274,2569,2441,2632,-0.196335877862595
"14","14",2526,2526,2113,2082,2017,2018,-0.20110847189232
"15","15",1701,1773,1773,1683,2118,2313,0.35978835978836
"16","16",4506,4148,4141,4141,4005,4369,-0.0304039059032401
"17","17",4990,3802,3807,3807,3772,4099,-0.178557114228457
"18","18",3370,3369,3365,3373,2356,2422,-0.281305637982196
"19","19",1634,1634,1634,1634,1637,1410,-0.137086903304774
"20","20",2869,2642,3006,3034,2634,2636,-0.0812129661903102
"21","21",3418,3712,3283,2859,3436,4007,0.172322995904037
"22","22",8626,8548,8302,8299,8408,8340,-0.0331555761650823
"6264","6264",8626,8548,8302,8299,8408,8340,-0.0331555761650823
"23","23",2102,2102,2403,2164,2237,1892,-0.0999048525214082
"12495","12495",2102,2102,2403,2164,2237,1892,-0.0999048525214082
"24","24",4301,4323,4320,4322,4935,4667,0.0850964891885608
"25","25",8575,8586,8563,8348,8106,8543,-0.00373177842565598
"26","26",6354,6403,5958,6062,5957,5886,-0.0736543909348442
"27","27",3161,3164,3131,3131,3066,3171,0.00316355583676052
"28","28",4922,4948,4909,4894,4200,4101,-0.16680211296221
"29","29",4240,3925,4055,4511,4349,4096,-0.0339622641509434
"30","30",3350,3350,3350,3357,3246,3114,-0.0704477611940298
"31","31",1823,1829,1828,1990,1985,1803,-0.0109709270433352
"32","32",9428,9695,9364,8268,8605,8550,-0.0931268561731014
"33","33",3029,3055,3202,3148,3107,3164,0.0445691647408386
"34","34",8607,9402,8859,9263,9291,8400,-0.0240501917044266
"35","35",10889,10541,9713,10152,10366,9802,-0.0998255119845716
