"from_id","to_id","dist_2016","dist_2019","dist_2021","dist_2024","dist_2026","change_pct"
"1","1",3061,2303,2147,2029,2019,-0.340411630186214
"2","2",1987,2006,2008,2005,2005,0.00905888273779567
"3","3",1364,1544,1356,1355,1383,0.0139296187683284
"15167","15167",1364,1544,1356,1355,1383,0.0139296187683284
"4","4",2438,1821,1976,1932,1951,-0.199753896636587
"5","5",8545,7239,7187,7127,7130,-0.165593914569924
"6","6",6513,5735,5412,5383,5496,-0.156149239981575
"7","7",3606,3230,3155,3227,3159,-0.12396006655574
"8","8",2300,2312,2407,1971,1892,-0.177391304347826
"9","9",2737,2776,2703,2639,2635,-0.0372670807453416
"10","10",1812,1567,1582,1577,1577,-0.129690949227373
"17172","17172",1812,1567,1582,1577,1577,-0.129690949227373
"11","11",2188,2207,2163,1805,1805,-0.175045703839122
"12","12",8711,7333,7441,7514,7514,-0.137412466995752
"13","13",1658,1681,1734,1735,1777,0.071773220747889
"14","14",1966,1916,1758,1571,1448,-0.263479145473042
"888","888",1966,1916,1758,1571,1448,-0.263479145473042
"15","15",1002,1008,995,996,999,-0.0029940119760479
"6732","6732",1002,1008,995,996,999,-0.0029940119760479
"16","16",1904,1974,1913,1863,1863,-0.0215336134453782
"17","17",3322,2918,3062,2813,2830,-0.148103552077062
"18","18",3986,3002,2479,2034,2058,-0.483692925238334
"19","19",2781,2826,2597,2595,2588,-0.0693994965839626
"20","20",3796,3832,3939,3930,4238,0.116438356164384
"21","21",2796,2896,2658,2751,2749,-0.0168097281831187
"23","23",5762,5737,5407,5892,5482,-0.0485942381117667
"24","24",738,605,605,607,1011,0.369918699186992
"4135","4135",738,605,605,607,1011,0.369918699186992
"25","25",2294,2527,2981,2537,2865,0.248910200523104
"26","26",2285,2076,2073,2071,2069,-0.0945295404814004
"27","27",2639,2436,2397,2415,2644,0.00189465706707086
"28","28",1661,1456,1374,1101,1135,-0.316676700782661
"666","666",1661,1456,1374,1101,1135,-0.316676700782661
"19393","19393",1661,1456,1374,1101,1135,-0.316676700782661
"29","29",1418,2124,2137,1589,1565,0.103667136812412
"31","31",2514,2452,2468,2418,2420,-0.0373906125696102
"32","32",1749,984,987,1134,1142,-0.347055460263007
"33","33",1450,1632,1401,1407,1406,-0.0303448275862069
"34","34",5787,5609,4686,4640,4917,-0.150336962156558
"35","35",4409,4483,3744,3412,3355,-0.239056475391245
"36","36",2163,2000,1854,1960,1800,-0.167822468793343
"37","37",6644,6493,5533,5453,5191,-0.218693558097532
