"from_id","to_id","euclidean_distance","route_ci_strong_m","route_ci_medium_m","route_ci_weak_m","route_ci_foot_m","route_pct_lts1","route_pct_lts2","route_pct_lts3","route_pct_lts4","route_interruptions_count","total_duration_v16_v1","total_duration_v16_v2","total_duration_v19_v1","total_duration_v19_v2","total_duration_v21_v1","total_duration_v21_v2","total_duration_v24_v1","total_duration_v24_v2","total_duration_v26_v1","total_duration_v26_v2","total_distance_v16_v1","total_distance_v16_v2","total_distance_v19_v1","total_distance_v19_v2","total_distance_v21_v1","total_distance_v21_v2","total_distance_v24_v1","total_distance_v24_v2","total_distance_v26_v1","total_distance_v26_v2"
"1","1",4627.50198589805,1754.995,0,0,0,97.42,0,0,2.58,2,38.3,38.3,NA,NA,NA,NA,NA,NA,NA,NA,7045,7045,NA,NA,NA,NA,NA,NA,NA,NA
"10","10",1366.32645728512,757.645,0,0,0,100,0,0,0,0,9.9,9.9,NA,NA,NA,NA,NA,NA,NA,NA,2112,2112,NA,NA,NA,NA,NA,NA,NA,NA
"100","100",1525.51574063697,0,0,0,0,100,0,0,0,0,14.5,14.5,NA,NA,NA,NA,NA,NA,NA,NA,2001,2001,NA,NA,NA,NA,NA,NA,NA,NA
"1000","1000",2658.14714882334,0,0,0,0,97.29,0,0,2.71,0,23.6,23.6,NA,NA,NA,NA,NA,NA,NA,NA,3920,3920,NA,NA,NA,NA,NA,NA,NA,NA
"10000","10000",1014.81887211535,0,0,0,0,91.03,0,0,8.97,0,15.9,15.9,NA,NA,NA,NA,NA,NA,NA,NA,2466,2466,NA,NA,NA,NA,NA,NA,NA,NA
"10001","10001",1499.22367160489,1265.076,0,0,0,100,0,0,0,0,12.1,12.1,NA,NA,NA,NA,NA,NA,NA,NA,1978,1978,NA,NA,NA,NA,NA,NA,NA,NA
"10002","10002",3447.47501764044,0,0,0,0,82.64,0,9.29,8.07,0,51.7,51.7,NA,NA,NA,NA,NA,NA,NA,NA,7666,7666,NA,NA,NA,NA,NA,NA,NA,NA
"10003","10003",2432.42086582948,245.133,127.009,0,259.384,96.13,0,0,3.87,2,21.3,21.3,NA,NA,NA,NA,NA,NA,NA,NA,3578,3578,NA,NA,NA,NA,NA,NA,NA,NA
"10004","10004",1605.15846904536,0,0,0,0,97.64,0,0,2.36,0,24.7,24.7,NA,NA,NA,NA,NA,NA,NA,NA,4538,4538,NA,NA,NA,NA,NA,NA,NA,NA
"10005","10005",1087.73730954631,126.731,0,0,0,50.84,0,0,49.16,0,18.2,18.2,NA,NA,NA,NA,NA,NA,NA,NA,1573,1573,NA,NA,NA,NA,NA,NA,NA,NA
