"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Buenos Aires",2016,1,11862073,8188.09,1.4,0,15.64,90.28,0.01,0.42,9.2,4201713.404,147335,3.51,60.75,0.27,1.76,37.22,130806,7818,0,8711,11.12,"20260226_125748",19886,9188179
"Buenos Aires",2016,2,11862073,8185.42,1.4,0,15.61,90.16,0.15,0.4,9.2,4201713.404,147335,3.51,60.75,0.27,1.76,37.22,130806,7818,0,8711,11.12,"20260226_125748",19886,9192790
"Buenos Aires",2016,3,11862073,8205.4,1.4,0,15.46,89.79,0.14,0.91,9.06,4201713.404,147335,3.51,60.75,0.27,1.76,37.22,130806,7818,0,8711,11.12,"20260226_125748",19919,9587363
"Buenos Aires",2016,4,11862073,7407.47,1.26,0,8.37,44.12,0.06,0.46,55.27,4201713.404,147335,3.51,60.75,0.27,1.76,37.22,130806,7818,0,8711,11.12,"20260226_125748",20000,20980420
"Buenos Aires",2021,1,11862073,8108.67,1.38,-0.97,25.73,95.12,0.45,0.4,3.96,4334882.75,221861,5.12,62.74,4.42,2.56,30.28,203917,10161,788,6995,11.12,"20260226_125748",19969,11736188
"Buenos Aires",2021,2,11862073,8071.51,1.38,-1.39,24.47,92.1,3.84,0.4,3.6,4334882.75,221861,5.12,62.74,4.42,2.56,30.28,203917,10161,788,6995,11.12,"20260226_125748",19973,12377149
"Buenos Aires",2021,3,11862073,8065.18,1.37,-1.71,24.61,91.34,3.76,1.3,3.53,4334882.75,221861,5.12,62.74,4.42,2.56,30.28,203917,10161,788,6995,11.12,"20260226_125748",19984,12856706
"Buenos Aires",2021,4,11862073,7375.63,1.26,-0.43,14.7,47.53,2.79,0.94,48.68,4334882.75,221861,5.12,62.74,4.42,2.56,30.28,203917,10161,788,6995,11.12,"20260226_125748",20000,21875898
"Buenos Aires",2026,1,11862073,8249.19,1.41,0.75,41.03,94.66,0.95,0.4,3.92,4690787.341,255568,5.45,63.96,6.9,3.13,26.01,229892,16445,1398,7833,11.12,"20260226_125748",19955,11037969
"Buenos Aires",2026,2,11862073,8166,1.39,-0.24,39.98,88.07,8.02,0.44,3.41,4690787.341,255568,5.45,63.96,6.9,3.13,26.01,229892,16445,1398,7833,11.12,"20260226_125748",19971,12518441
"Buenos Aires",2026,3,11862073,8121,1.38,-1.03,39.39,86.13,8.31,2.18,3.31,4690787.341,255568,5.45,63.96,6.9,3.13,26.01,229892,16445,1398,7833,11.12,"20260226_125748",19974,13149330
"Buenos Aires",2026,4,11862073,7558.22,1.29,2.04,30.74,52.08,6.85,1.62,39.38,4690787.341,255568,5.45,63.96,6.9,3.13,26.01,229892,16445,1398,7833,11.12,"20260226_125748",19998,20744737
