"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Buenos Aires",2016,1,11862073,3080.53,1.65,0,20.73,0.77,20.76,19.35,0.63,0,0.78,81.97,0.08,0.8,16.99,4201713.404,147335,3.51,60.75,0.27,1.76,37.22,130806,7818,0,8711,2.49,"20260303_114647",19999,26284236
"Buenos Aires",2016,2,11862073,3078.65,1.65,0,20.66,0.76,20.69,19.27,0.63,0,0.78,81.88,0.26,0.75,16.94,4201713.404,147335,3.51,60.75,0.27,1.76,37.22,130806,7818,0,8711,2.49,"20260303_114647",19999,26296690
"Buenos Aires",2019,1,11862073,3038.37,1.63,-1.37,19,1,24.23,22.88,0.98,0,0.37,87.97,0.98,0.77,10.2,4228206.781,188108,4.45,62.31,3.89,2.18,31.61,171559,8402,0,8147,2.49,"20260303_114647",19999,32452558
"Buenos Aires",2019,2,11862073,3030.13,1.62,-1.58,18.64,0.98,23.46,22.15,0.93,0,0.38,86.4,3.03,0.77,9.71,4228206.781,188108,4.45,62.31,3.89,2.18,31.61,171559,8402,0,8147,2.49,"20260303_114647",19999,33295853
"Buenos Aires",2021,1,11862073,3012.11,1.61,-2.22,18.79,1.15,27.45,25.78,1.26,0.05,0.36,86.96,1.5,0.85,10.63,4334882.75,221861,5.12,62.74,4.42,2.56,30.28,203917,10161,788,6995,2.49,"20260303_114647",20000,33278477
"Buenos Aires",2021,2,11862073,2997.81,1.6,-2.63,18.35,1.12,26.31,24.77,1.12,0.06,0.36,84.73,4.25,0.83,10.13,4334882.75,221861,5.12,62.74,4.42,2.56,30.28,203917,10161,788,6995,2.49,"20260303_114647",20000,34348708
"Buenos Aires",2024,1,11862073,3007.73,1.61,-2.36,18.74,1.29,31.13,28.49,2.19,0.08,0.37,85.87,2.05,1.15,10.89,4511143.206,243589,5.4,62.72,5.77,3.24,28.28,220582,15411,789,6806,2.49,"20260303_114647",19978,34089277
"Buenos Aires",2024,2,11862073,2984.72,1.6,-3.05,18.18,1.24,29.39,26.9,2.04,0.09,0.36,82.77,5.79,1.18,10.22,4511143.206,243589,5.4,62.72,5.77,3.24,28.28,220582,15411,789,6806,2.49,"20260303_114647",19978,35423194
"Buenos Aires",2026,1,11862073,3046.56,1.63,-1.1,19.22,1.37,41.22,37.17,3.52,0.15,0.38,84.95,3.31,1.15,10.56,4690787.341,255568,5.45,63.96,6.9,3.13,26.01,229892,16445,1398,7833,2.49,"20260303_114647",19991,30889268
"Buenos Aires",2026,2,11862073,3023.09,1.61,-1.8,18.5,1.33,38.64,34.81,3.32,0.15,0.36,80.95,8.13,1.17,9.72,4690787.341,255568,5.45,63.96,6.9,3.13,26.01,229892,16445,1398,7833,2.49,"20260303_114647",19991,32768984
