"city","year","lts","found_routes","access_15min_vol"
"buenos aires",16,3,19919,9587363
"buenos aires",16,4,20000,20980420
"buenos aires",21,3,19984,12856706
"buenos aires",21,4,20000,21875898
"buenos aires",26,3,19974,13149330
"buenos aires",26,4,19998,20744737
"buenos aires",16,1,19999,26284236
"buenos aires",16,2,19999,26296690
"buenos aires",19,1,19999,32452558
"buenos aires",19,2,19999,33295853
"buenos aires",21,1,20000,33278477
"buenos aires",21,2,20000,34348708
"buenos aires",24,1,19978,34089277
"buenos aires",24,2,19978,35423194
"buenos aires",26,1,19991,30889268
"buenos aires",26,2,19991,32768984
"buenos aires",18,1,19999,29931879
"buenos aires",20,1,19999,32970186
"buenos aires",22,1,20000,33561824
