"from_id","to_id","dist_2016","dist_2021","dist_2026","diff_1621","diff_2126","diff_1626","change_pct"
"1","1",12188,12633,12521,445,-112,333,0.027321956022317
"4","4",12782,14061,14319,1279,258,1537,0.120247222656861
"6","6",13945,13704,14223,-241,519,278,0.019935460738616
"8","8",8047,8337,8261,290,-76,214,0.0265937616503045
"9","9",11385,12944,12950,1559,6,1565,0.137461572244181
"11","11",6223,5717,5596,-506,-121,-627,-0.100755262735015
"12","12",9567,10046,10229,479,183,662,0.0691961952545208
"13","13",15038,18062,13418,3024,-4644,-1620,-0.107727091368533
"14","14",6970,6460,6680,-510,220,-290,-0.0416068866571019
"15","15",10146,11412,10426,1266,-986,280,0.0275970825941258
"18","18",7487,7837,7862,350,25,375,0.0500868171497262
"25","25",12426,11042,11112,-1384,70,-1314,-0.10574601641719
"27","27",8140,8267,7046,127,-1221,-1094,-0.134398034398034
"28","28",9518,11298,11400,1780,102,1882,0.197730615675562
"29","29",10296,9257,10396,-1039,1139,100,0.00971250971250971
"30","30",7213,6025,6134,-1188,109,-1079,-0.149591016220713
"33","33",13594,12002,12067,-1592,65,-1527,-0.112328968662645
"34","34",10169,8896,8428,-1273,-468,-1741,-0.171206608319402
"36","36",6188,5848,5959,-340,111,-229,-0.0370071105365223
"37","37",14901,11848,12026,-3053,178,-2875,-0.192940071136165
"38","38",529,593,559,64,-34,30,0.056710775047259
"39","39",10889,8909,9275,-1980,366,-1614,-0.148222977316558
"40","40",3237,3595,3358,358,-237,121,0.0373802903923386
"42","42",9922,9423,9454,-499,31,-468,-0.0471679096956259
"43","43",12211,12665,11389,454,-1276,-822,-0.0673163541069527
"44","44",11996,11358,10874,-638,-484,-1122,-0.0935311770590197
"47","47",12162,12985,13237,823,252,1075,0.0883900674231212
"48","48",13226,13097,12705,-129,-392,-521,-0.0393921064569787
"49","49",8259,10524,9595,2265,-929,1336,0.161762925293619
"53","53",4313,2881,2883,-1432,2,-1430,-0.331555761650823
"54","54",11718,13190,13316,1472,126,1598,0.136371394435911
"55","55",9134,7415,7668,-1719,253,-1466,-0.160499233632582
"56","56",12091,13585,13221,1494,-364,1130,0.0934579439252336
