"from_id","to_id","total_duration_v16_v1","total_duration_v16_v2","total_duration_v16_v3","total_duration_v16_v4","total_duration_v21_v1","total_duration_v21_v2","total_duration_v21_v3","total_duration_v21_v4","total_duration_v26_v1","total_duration_v26_v2","total_duration_v26_v3","total_duration_v26_v4","total_distance_v16_v1","total_distance_v16_v2","total_distance_v16_v3","total_distance_v16_v4","total_distance_v21_v1","total_distance_v21_v2","total_distance_v21_v3","total_distance_v21_v4","total_distance_v26_v1","total_distance_v26_v2","total_distance_v26_v3","total_distance_v26_v4"
"100","100",45.4,43.8,37.5,20.9,41.4,41.1,39,21.2,40.7,40.6,38.4,21.2,6283,6210,5951,4095,6402,6640,6540,4059,6627,6614,6554,4059
"1000","1000",45,45,26,16.9,32.4,32.4,26.5,17.2,31.9,31.9,27.2,17.4,4278,4278,4071,3403,5042,5041,4592,3398,4958,4955,4496,3347
"10001","10001",81.2,81,53.6,35.9,54.1,53.1,49.8,36.3,47.9,46.9,45.4,36.1,9233,9641,8781,7289,8326,8315,9283,7195,7967,7956,7956,7297
"10002","10002",17.6,17.6,6.3,6.3,16.7,16.7,8,6.8,16.8,16.8,8.3,6.9,1605,1605,1214,1214,1690,1690,1292,1292,1684,1684,1308,1292
"10003","10003",106.9,106.9,83,56.1,80.8,80.3,63.9,48.2,83.1,82.5,64.6,48.2,11173,11174,10997,10420,10471,10522,10151,9384,9884,9935,9952,9383
"10004","10004",115.9,115.5,77.9,52.8,86.7,86.4,71.4,54.2,82.3,82.3,69.4,54.2,12734,12726,12919,10548,12838,12837,12940,10686,12835,12836,12574,10621
"10005","10005",87,87,56.1,35.2,61.2,58.8,46.4,37.6,62.5,60.6,50.7,38.3,7417,7417,8349,6773,8853,7994,8379,7303,8660,8670,8442,7299
"10006","10006",91.8,90.7,55,37.6,63.8,62,55,38,62.7,61.3,55.7,38.1,10440,10432,9907,7358,9896,9540,9809,7202,9856,9856,9785,7204
"10007","10007",116.2,116.2,80.6,60,85.9,75.7,64.7,62.2,76.3,68.1,63.4,59.8,12399,12399,12412,11946,12156,12001,11548,12127,12228,12315,11902,11647
"10008","10008",114.6,114.6,82.8,70.8,93.9,85.1,76.3,71.6,93.5,82.8,77.7,70.4,13900,13900,14098,13980,14215,14128,14108,14023,14240,14177,14048,13113
"10009","10009",32.6,32.6,23.7,18.7,24.1,23.1,19.4,17.2,23.6,22.5,19.5,17.3,3555,3555,3872,3495,3667,3614,3452,3326,3669,3616,3451,3326
"1001","1001",35.5,35.5,30.9,20.9,21.6,21.6,21.6,16.2,19.2,19.2,19.2,17.1,4455,4455,4452,4397,3422,3422,3422,3117,3196,3196,3196,3235
