"from_id","to_id","dist_2016","dist_2021","dist_2026","diff_1621","diff_2126","diff_1626","change_pct"
"1","1",16995,16970,16690,-25,-280,-305,-0.0179464548396587
"2","2",7231,6823,6756,-408,-67,-475,-0.0656893928917162
"3","3",10839,10994,14634,155,3640,3795,0.350124550235262
"4","4",9634,9776,9548,142,-228,-86,-0.00892671787419556
"5","5",11007,10960,10928,-47,-32,-79,-0.00717725084037431
"6","6",10219,10231,10158,12,-73,-61,-0.00596927292298659
"7","7",8273,8317,8313,44,-4,40,0.00483500543938112
"8","8",8249,8100,8061,-149,-39,-188,-0.0227906412898533
"9","9",10438,8814,8858,-1624,44,-1580,-0.151369994251772
"10","10",14784,14515,14157,-269,-358,-627,-0.0424107142857143
"11","11",11865,12037,11479,172,-558,-386,-0.0325326590813316
"12","12",4329,4258,4239,-71,-19,-90,-0.0207900207900208
"13","13",7482,2404,2351,-5078,-53,-5131,-0.685779203421545
"14","14",7513,7127,6967,-386,-160,-546,-0.0726740316784241
"15","15",12718,12431,12208,-287,-223,-510,-0.0401006447554647
"16","16",2045,2225,2196,180,-29,151,0.073838630806846
"17","17",14657,14538,14058,-119,-480,-599,-0.0408678447158354
"18","18",10146,7420,7287,-2726,-133,-2859,-0.281785925487877
"19","19",9535,9649,9703,114,54,168,0.0176192973256424
"20","20",14476,12537,12085,-1939,-452,-2391,-0.165169936446532
"21","21",10111,10077,10052,-34,-25,-59,-0.00583522895855998
"22","22",5066,5410,4765,344,-645,-301,-0.0594157125937623
"23","23",333,336,319,3,-17,-14,-0.042042042042042
"24","24",12555,12465,12190,-90,-275,-365,-0.0290720828355237
"25","25",6996,7338,6586,342,-752,-410,-0.0586049170954831
"26","26",8793,8866,8838,73,-28,45,0.00511770726714432
"27","27",1439,1457,1312,18,-145,-127,-0.0882557331480195
"28","28",7753,7769,7773,16,4,20,0.00257964658841739
"29","29",9934,9983,9924,49,-59,-10,-0.00100664384940608
"30","30",3508,3503,3439,-5,-64,-69,-0.0196693272519954
"31","31",13785,13515,14431,-270,916,646,0.0468625317373957
"32","32",6521,6505,6597,-16,92,76,0.011654654194142
"33","33",3782,3684,3768,-98,84,-14,-0.00370174510840825
"34","34",6341,6136,6124,-205,-12,-217,-0.0342217315880776
"35","35",10474,5714,5421,-4760,-293,-5053,-0.482432690471644
"36","36",790,721,721,-69,0,-69,-0.0873417721518987
"37","37",3308,2936,2923,-372,-13,-385,-0.116384522370012
"38","38",8865,8496,8781,-369,285,-84,-0.00947546531302876
"39","39",12710,9953,9720,-2757,-233,-2990,-0.235247836349331
"40","40",5742,5832,5752,90,-80,10,0.0017415534656914
"41","41",14857,10682,10666,-4175,-16,-4191,-0.282089250858181
"42","42",13113,14123,12832,1010,-1291,-281,-0.0214291161442843
"43","43",4371,3849,3748,-522,-101,-623,-0.142530313429421
"44","44",11328,11892,10826,564,-1066,-502,-0.0443149717514124
"45","45",7382,7492,7491,110,-1,109,0.0147656461663506
"46","46",12409,12344,12115,-65,-229,-294,-0.023692481263599
"47","47",13591,7976,7946,-5615,-30,-5645,-0.415348392318446
"48","48",6842,6847,6751,5,-96,-91,-0.0133002046185326
"49","49",3384,3011,3040,-373,29,-344,-0.101654846335697
"50","50",11304,11302,11195,-2,-107,-109,-0.00964260438782732
"51","51",12236,12001,11476,-235,-525,-760,-0.062111801242236
"52","52",8084,7948,7975,-136,27,-109,-0.0134834240475012
"53","53",9750,9938,9745,188,-193,-5,-0.000512820512820513
"54","54",2046,1712,1712,-334,0,-334,-0.163245356793744
"55","55",14224,13958,13358,-266,-600,-866,-0.0608830146231721
"56","56",7310,7292,7286,-18,-6,-24,-0.00328317373461012
"57","57",9792,10418,10426,626,8,634,0.0647467320261438
"58","58",4760,4456,4456,-304,0,-304,-0.0638655462184874
"59","59",10288,10352,10363,64,11,75,0.0072900466562986
"60","60",4882,4895,5157,13,262,275,0.0563293732077018
"61","61",10357,10265,10270,-92,5,-87,-0.00840011586366709
"62","62",12758,11901,11688,-857,-213,-1070,-0.0838689449757015
"63","63",10343,10215,10214,-128,-1,-129,-0.0124722034226047
"64","64",5060,5098,5099,38,1,39,0.00770750988142292
"65","65",12755,12705,12704,-50,-1,-51,-0.0039984319874559
"66","66",10513,8640,7863,-1873,-777,-2650,-0.252068867116903
"67","67",3867,3794,3916,-73,122,49,0.0126713214378071
"68","68",11579,11602,11553,23,-49,-26,-0.00224544433888937
"69","69",738,741,741,3,0,3,0.0040650406504065
