"from_id","to_id","dist_2016","dist_2018","dist_2020","dist_2022","dist_2024","dist_2026","change_pct"
"2","2",3700,2529,2516,2482,2804,2812,-0.24
"4","4",3489,3371,3669,4001,4145,4236,0.214101461736887
"5","5",4396,3855,4602,9911,11669,4508,0.0254777070063694
"6","6",2626,3411,3414,3220,3305,3519,0.34006092916984
"7","7",3407,3249,3244,3239,3168,3165,-0.0710302318755503
"8","8",5541,5257,5230,5503,5289,5525,-0.00288756542140408
"9","9",3143,2230,2436,2900,2903,2499,-0.204899777282851
"10","10",2405,1589,1537,1580,1536,1560,-0.351351351351351
"11","11",5008,4843,4638,4879,6435,5385,0.075279552715655
"12","12",6079,4348,4348,4281,4299,3857,-0.365520644842902
"13","13",856,856,856,856,1018,1031,0.204439252336449
"14","14",4137,3652,2666,4048,2755,2607,-0.369833212472806
"15","15",998,992,992,1138,1138,1146,0.148296593186373
"14965","14965",998,992,992,1138,1138,1146,0.148296593186373
"17","17",1904,2179,2737,2608,2608,2607,0.36922268907563
"18","18",5774,3348,3360,2438,2322,2232,-0.613439556633183
"19","19",3509,3527,3540,3222,3222,3730,0.0629809062410943
"20","20",3540,2938,2368,1934,1962,1952,-0.448587570621469
"1501","1501",3540,2938,2368,1934,1962,1952,-0.448587570621469
"21","21",8595,4041,3454,2766,2766,2988,-0.652356020942408
"22","22",7649,7449,8862,7825,10309,9568,0.250882468296509
"23","23",3552,3021,2391,2377,2377,2373,-0.331925675675676
"24","24",6292,5678,5685,5871,5840,6548,0.0406865861411316
"25","25",1988,1722,1720,1502,1502,1807,-0.091046277665996
"26","26",1838,1822,1967,2918,2836,2877,0.565288356909684
"27","27",1675,1444,1458,1970,1970,2089,0.247164179104478
"28","28",2020,1801,2031,2027,1847,1911,-0.053960396039604
"29","29",7419,7430,7865,7847,7819,8199,0.105135463000404
"30","30",3290,6114,4635,3511,3511,3718,0.130091185410334
"16239","16239",3290,6114,4635,3511,3511,3718,0.130091185410334
"31","31",2469,1768,3306,2107,2088,1784,-0.277440259214257
"32","32",3441,4338,3409,3567,3375,3249,-0.0557977332170881
"33","33",2600,2932,2966,3186,2971,2973,0.143461538461538
"34","34",3102,2897,3001,3012,3075,3085,-0.00548033526756931
"35","35",2483,2757,2552,2754,2644,2902,0.168747482883609
"36","36",3391,3112,2721,2710,2714,2944,-0.131819522264819
"38","38",3852,3239,3200,3151,3151,3151,-0.181983385254413
"39","39",1752,1825,1595,1529,1529,1551,-0.11472602739726
"40","40",3565,3177,3111,3049,3358,3237,-0.0920056100981767
"41","41",4018,3819,3018,3348,3392,2958,-0.263812842210055
"42","42",2583,1554,1579,1704,1852,1997,-0.226867982965544
"43","43",3142,2914,2924,2902,2900,2902,-0.0763844684914067
"45","45",5234,5304,5164,6378,7148,5663,0.0819640810087887
"46","46",6830,6842,6918,7379,7626,7627,0.116691068814056
"47","47",1383,1352,607,1037,1409,1251,-0.0954446854663774
"48","48",4625,4485,4573,5175,4784,4341,-0.0614054054054054
"49","49",3089,3462,3814,3139,5028,2944,-0.0469407575267077
"50","50",3547,3558,3968,4191,4248,4142,0.167747392162391
"51","51",2709,5049,3510,3340,3711,3204,0.182724252491694
"53","53",3994,4766,5512,3794,4384,4701,0.177015523284927
"54","54",2270,2362,2362,3719,3540,3540,0.559471365638767
"55","55",1917,2153,1942,1857,1858,1858,-0.0307772561293688
"56","56",1816,1821,1836,1819,1819,1770,-0.0253303964757709
"57","57",1611,1720,1720,1577,1577,1696,0.0527622594661701
"58","58",2271,3145,3044,3339,3338,3323,0.463232056362836
"59","59",2498,4369,2669,3565,3380,2826,0.131305044035228
"60","60",4613,4621,4910,5046,5047,9198,0.993930197268589
"61","61",3546,3538,3464,3828,3829,3316,-0.0648618161308517
"62","62",3486,3278,3078,3020,3020,3711,0.0645438898450947
"63","63",1845,1712,1697,1810,1807,1813,-0.0173441734417344
"6581","6581",1845,1712,1697,1810,1807,1813,-0.0173441734417344
"64","64",1681,1479,1468,1449,1604,1622,-0.0350981558596074
"65","65",4156,4164,4119,4086,4085,4780,0.150144369586141
"68","68",5340,3181,2909,2884,2884,2934,-0.450561797752809
"69","69",1869,2725,1893,1785,1795,1783,-0.0460139111824505
"70","70",2002,2211,2712,2603,2588,2587,0.292207792207792
"3236","3236",2002,2211,2712,2603,2588,2587,0.292207792207792
"71","71",1622,1655,1521,1973,1437,1861,0.147348951911221
"72","72",1008,973,963,836,836,1044,0.0357142857142857
"73","73",7041,4634,4549,4523,4524,5740,-0.184774889930408
"74","74",2805,2796,2795,2527,2527,2594,-0.075222816399287
"75","75",1902,2635,3288,1976,1976,1929,0.0141955835962145
"76","76",3129,3000,2989,2956,2956,3285,0.049856184084372
"77","77",4481,4560,5238,4299,4113,4063,-0.0932827493862977
"78","78",3088,2826,2709,3060,3060,3408,0.103626943005181
"79","79",3388,3228,3380,3865,3935,4154,0.226092089728453
"80","80",2561,2445,2612,2600,2600,2629,0.0265521280749707
"81","81",3268,3285,3479,3600,3607,3478,0.0642594859241126
"83","83",3094,3374,3644,3109,3199,3264,0.0549450549450549
"84","84",1532,1487,1487,1532,1537,1407,-0.0815926892950392
"86","86",7915,7030,7105,8428,7992,7105,-0.102337334175616
"87","87",4187,2825,2845,2078,2069,2432,-0.419154525913542
"88","88",6010,5937,5161,4811,4571,5332,-0.112811980033278
"89","89",3066,3472,2742,2942,3190,2915,-0.0492498369210698
"90","90",3585,2925,3157,3199,3177,3544,-0.0114365411436541
"91","91",1348,1356,1356,4009,4000,3876,1.87537091988131
"93","93",5482,4268,3663,3797,3419,3442,-0.372126960963152
"94","94",6149,6762,6867,6413,6858,6560,0.0668401366075785
"95","95",4170,4215,4205,4416,4315,4240,0.0167865707434053
"96","96",2111,1766,1745,2112,2112,2118,0.00331596399810516
"98","98",2013,1974,2416,1963,2354,2166,0.0760059612518629
"99","99",3660,3661,3864,6450,4855,4898,0.338251366120219
"100","100",5659,4247,4686,4546,4386,5115,-0.0961300583141898
"101","101",1445,1916,1241,1735,1682,2615,0.809688581314879
"102","102",7818,6323,5719,5742,5740,6912,-0.115886415963162
"103","103",2724,2712,2629,2812,2810,2519,-0.0752569750367107
"104","104",6292,8224,6816,6589,6491,7494,0.191036236490782
"105","105",4998,4430,3962,3904,3904,3884,-0.222889155662265
"106","106",998,1582,1572,1381,1438,1244,0.246492985971944
"107","107",3702,3458,3330,2931,2828,2930,-0.208535926526202
"108","108",8272,4654,4653,4635,4474,4351,-0.474008704061896
"109","109",1355,1085,984,836,836,836,-0.383025830258303
"110","110",6073,6291,6768,6831,6891,7570,0.24650090564795
"112","112",4151,4699,4602,3195,3122,3114,-0.249819320645628
