"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Chicago",2016,1,5915976,3667.43,1.64,0,27.61,0.04,0.9,0.4,0.46,0,0.04,75.84,0.25,7.77,16.06,7277639.149,40836,0.56,65.4,1.61,12.98,20.01,18329,21419,0,1088,4.64,"20260302_141504",19907,648565136
"Chicago",2016,2,5915976,3670.62,1.64,0,27.44,0.05,1.74,0.41,1.29,0,0.04,74.57,1.84,7.72,15.8,7277639.149,40836,0.56,65.4,1.61,12.98,20.01,18329,21419,0,1088,4.64,"20260302_141504",19911,667380426
"Chicago",2019,1,5915976,3675.69,1.64,0.23,26.11,0.09,1.31,0.15,0.4,0.1,0.66,81.29,0.22,6.27,12.2,7936823.257,54368,0.69,69.71,1.45,11.06,17.78,10353,17045,16725,10245,4.64,"20260302_141504",19821,838081262
"Chicago",2019,2,5915976,3675.25,1.64,0.13,25.93,0.11,2.06,0.15,1.15,0.11,0.66,79.96,1.83,6.18,12,7936823.257,54368,0.69,69.71,1.45,11.06,17.78,10353,17045,16725,10245,4.64,"20260302_141504",19822,848867652
"Chicago",2021,1,5915976,3680.93,1.64,0.37,26.29,0.11,1.41,0.27,0.42,0.16,0.56,81.35,0.25,6.15,12.24,8112875.446,72850,0.9,70.73,1.54,10.47,17.26,23815,20746,19236,9053,4.64,"20260302_141504",19818,779953423
"Chicago",2021,2,5915976,3681.33,1.64,0.29,26.09,0.14,2.16,0.27,1.19,0.14,0.56,79.87,2.04,6.03,12.06,8112875.446,72850,0.9,70.73,1.54,10.47,17.26,23815,20746,19236,9053,4.64,"20260302_141504",19819,791539642
"Chicago",2024,1,5915976,3628.84,1.61,-1.05,24.13,0.15,2.12,0.28,1.15,0.15,0.53,90.57,0.35,2.78,6.29,8168410.006,114038,1.4,77.83,1.46,7.62,13.08,19127,65589,21355,7968,4.64,"20260302_141504",19886,811190633
"Chicago",2024,2,5915976,3623.54,1.61,-1.28,23.83,0.21,2.83,0.62,1.47,0.2,0.53,87.98,3.07,2.74,6.19,8168410.006,114038,1.4,77.83,1.46,7.62,13.08,19127,65589,21355,7968,4.64,"20260302_141504",19888,828278846
"Chicago",2026,1,5915976,3590.25,1.59,-2.1,23.55,0.54,5.09,1.13,2.47,1.33,0.16,93.15,0.5,1.7,4.64,8118386.917,161252,1.99,80.68,2.35,5.56,11.42,37225,88290,32364,3372,4.64,"20260302_141504",19785,925805595
"Chicago",2026,2,5915976,3577.48,1.58,-2.54,23.08,0.64,7.37,1.49,4.54,1.18,0.17,87.7,6.16,1.66,4.47,8118386.917,161252,1.99,80.68,2.35,5.56,11.42,37225,88290,32364,3372,4.64,"20260302_141504",19787,946554963
