"from_id","to_id","dist_2018","dist_2020","dist_2022","change_pct"
"1","1",1742,1900,1900,0.0907003444316877
"2","2",4540,4791,4786,0.0541850220264317
"3","3",7281,7301,7312,0.00425765691525889
"4","4",1675,1674,1674,-0.000597014925373134
"5","5",4828,4828,4827,-0.000207125103562552
"6","6",4667,4660,4662,-0.00107135204628241
"7","7",2200,3604,4220,0.918181818181818
"8","8",2448,2502,2404,-0.0179738562091503
"9","9",3468,6371,6090,0.756055363321799
"19150","19150",3468,6371,6090,0.756055363321799
"10","10",2420,2420,1906,-0.212396694214876
"11","11",2446,2446,2697,0.102616516762061
"12","12",3184,3390,3388,0.064070351758794
"13","13",5161,5348,5260,0.0191823290060066
"15075","15075",5161,5348,5260,0.0191823290060066
"14","14",4830,4831,5020,0.0393374741200828
"15","15",3730,3736,3741,0.00294906166219839
"16","16",1968,2242,2242,0.139227642276423
"17","17",2020,1895,1895,-0.0618811881188119
"18","18",3203,3420,3759,0.173587261941929
"19","19",4351,5674,4855,0.115835440128706
"20","20",3334,3315,3376,0.0125974805038992
"21","21",4847,4848,4851,0.00082525273364968
"22","22",4627,4621,4913,0.0618111087097471
"23","23",2917,2839,2839,-0.0267398011655811
"24","24",14307,14602,14648,0.0238344866149437
"25","25",7387,7422,7524,0.0185460944903208
"26","26",1410,1991,1758,0.246808510638298
"27","27",850,900,1169,0.375294117647059
"28","28",2126,2273,2126,0
"13026","13026",2126,2273,2126,0
"29","29",2921,2687,2688,-0.0797672030126669
"30","30",4128,4008,4112,-0.00387596899224806
"31","31",7544,6289,5510,-0.269618239660657
"32","32",6349,6103,6116,-0.036698692707513
"33","33",2247,2244,2248,0.000445037828215398
"34","34",7724,7529,7406,-0.041170378042465
"35","35",7626,7439,7588,-0.004982953055337
"36","36",2768,2566,2567,-0.0726156069364162
"11835","11835",2768,2566,2567,-0.0726156069364162
"37","37",4148,4200,4200,0.0125361620057859
"38","38",2691,3818,1830,-0.319955406911929
"8980","8980",2691,3818,1830,-0.319955406911929
"39","39",5382,5384,5882,0.0929022668153103
"40","40",8471,8758,8703,0.0273875575492858
"41","41",1372,1372,1371,-0.000728862973760933
"42","42",3402,3302,3148,-0.0746619635508524
"43","43",4552,4934,4659,0.023506151142355
"44","44",2404,2306,2306,-0.040765391014975
"45","45",4712,4714,4410,-0.0640916808149406
"46","46",1356,1460,1460,0.0766961651917404
"47","47",2377,2351,2314,-0.0265039966344131
"48","48",2857,2824,2927,0.0245012250612531
"49","49",4974,5131,4956,-0.00361881785283474
"50","50",1332,1330,1310,-0.0165165165165165
"883","883",1332,1330,1310,-0.0165165165165165
"51","51",6998,6892,6898,-0.0142897970848814
"52","52",2531,2203,2204,-0.129197945476096
"53","53",646,646,495,-0.23374613003096
"54","54",7917,7656,7656,-0.032967032967033
"55","55",5774,5549,5583,-0.0330793210945618
"56","56",1765,1764,1769,0.00226628895184136
"57","57",8165,8585,8515,0.0428658909981629
"58","58",1417,1417,1417,0
"59","59",2872,2922,2139,-0.255222841225627
"60","60",2420,2321,2138,-0.116528925619835
"61","61",2934,2567,2567,-0.125085207907294
"62","62",2277,2401,2401,0.054457619675011
"63","63",5422,5511,5554,0.0243452600516415
"64","64",2584,2677,3272,0.26625386996904
"65","65",4481,4479,4480,-0.000223164472216023
"66","66",3860,4078,3962,0.0264248704663212
"67","67",2796,2738,3236,0.157367668097282
"5270","5270",2796,2738,3236,0.157367668097282
"68","68",5213,5050,5049,-0.0314598120084404
"69","69",3504,3188,3072,-0.123287671232877
"70","70",4523,4253,4242,-0.0621269069201857
"71","71",7135,6897,6897,-0.0333566923615978
"72","72",3885,3873,3875,-0.00257400257400257
"73","73",3902,3920,3920,0.00461301896463352
"74","74",2380,2342,2342,-0.0159663865546218
"75","75",1280,1280,1280,0
"77","77",4611,4486,4396,-0.0466276295814357
"79","79",1968,1970,1970,0.00101626016260163
"80","80",4631,4874,4884,0.0546318289786223
"81","81",1782,1848,1848,0.037037037037037
"82","82",3292,3290,3088,-0.0619684082624544
"83","83",3370,3343,3321,-0.014540059347181
"84","84",5346,5003,4997,-0.0652824541713431
"85","85",3313,3221,3217,-0.0289767582251736
"86","86",2741,2739,2739,-0.000729660707770887
"87","87",2720,2706,2967,0.0908088235294118
"88","88",2119,1773,1760,-0.169419537517697
"89","89",3539,3543,3583,0.0124328906470754
"90","90",6373,6421,6321,-0.00815942256394163
"91","91",5829,5563,5562,-0.0458054554812146
"92","92",3068,2897,2897,-0.0557366362451108
"93","93",3870,3747,3655,-0.0555555555555556
"94","94",9780,9780,9781,0.000102249488752556
"95","95",4809,4924,4921,0.0232896652110626
"96","96",2767,2769,2870,0.0372244307914709
"97","97",3585,3668,3669,0.0234309623430962
"98","98",1079,1797,1797,0.665430954587581
"13859","13859",1079,1797,1797,0.665430954587581
"99","99",6210,6271,5838,-0.0599033816425121
"100","100",2689,2797,3130,0.164001487541837
"101","101",4314,4313,3777,-0.124478442280946
"102","102",3632,3636,3636,0.00110132158590308
"103","103",1333,1333,1338,0.00375093773443361
"104","104",3952,3953,3953,0.000253036437246964
"105","105",7870,7576,7579,-0.0369758576874206
"106","106",5663,4503,4320,-0.237153452233798
"107","107",1617,1618,1618,0.000618429189857761
"108","108",2955,3079,3080,0.0423011844331641
"109","109",2200,2260,2261,0.0277272727272727
"110","110",2287,2287,2165,-0.0533449934411893
"111","111",2643,2644,2828,0.069996216420734
"112","112",4062,4062,6053,0.490152634170359
"113","113",1768,1768,1765,-0.00169683257918552
"114","114",1673,1670,1669,-0.00239091452480574
"115","115",3004,2945,2942,-0.0206391478029294
"116","116",1618,1467,1466,-0.0939431396786156
"117","117",6410,6411,6406,-0.00062402496099844
"118","118",8606,8095,8067,-0.0626307227515687
"119","119",1274,1274,1274,0
"120","120",2555,2553,2553,-0.000782778864970646
"121","121",3820,3760,3292,-0.138219895287958
"122","122",4946,4953,5134,0.0380105135463
"124","124",1456,1458,1458,0.00137362637362637
"125","125",1077,1032,1032,-0.0417827298050139
"14996","14996",1077,1032,1032,-0.0417827298050139
"126","126",4168,5630,4938,0.184740882917466
"127","127",4307,4196,4191,-0.0269328999303459
"128","128",2581,2242,2235,-0.134056567222007
"129","129",3813,3613,3613,-0.0524521374246001
"130","130",3892,3588,3590,-0.0775950668036999
"131","131",2994,2996,3347,0.117902471609886
"132","132",10016,11678,11583,0.156449680511182
"133","133",6331,6572,6712,0.0601800663402306
"134","134",3440,3440,3375,-0.0188953488372093
"135","135",1498,1498,1498,0
"136","136",3955,3949,3734,-0.0558786346396966
"137","137",9310,9104,9298,-0.00128893662728249
"138","138",3507,3508,3660,0.0436270316509837
"139","139",2527,2527,2527,0
"140","140",2358,1983,1909,-0.190415606446141
"141","141",3684,3255,3777,0.0252442996742671
"142","142",9774,8936,9123,-0.0666052793124616
"143","143",3075,3075,3075,0
"144","144",2269,2267,2209,-0.0264433671220802
"145","145",2875,2996,2904,0.0100869565217391
"2596","2596",2875,2996,2904,0.0100869565217391
"146","146",2939,3029,3087,0.050357264375638
"147","147",5856,5570,5491,-0.0623292349726776
"148","148",2521,3844,2516,-0.00198333994446648
"4570","4570",2521,3844,2516,-0.00198333994446648
"149","149",6986,6826,6830,-0.0223303750357859
"150","150",3288,3290,3291,0.000912408759124088
"151","151",3032,3216,3216,0.0606860158311346
"152","152",8025,7682,7650,-0.0467289719626168
"153","153",4450,3955,3881,-0.127865168539326
"154","154",8538,8364,8620,0.00960412274537362
"155","155",2727,2730,2793,0.0242024202420242
"156","156",2371,2372,2372,0.000421762969211303
"157","157",1990,1990,1990,0
"158","158",3683,3782,3589,-0.0255226717349986
"159","159",1194,1110,1095,-0.0829145728643216
"8758","8758",1194,1110,1095,-0.0829145728643216
"160","160",2126,2427,2427,0.141580432737535
"161","161",2911,2860,2869,-0.0144280316042597
"163","163",11620,11938,11717,0.00834767641996558
"164","164",3090,3091,3102,0.00388349514563107
"165","165",3539,3722,3721,0.0514269567674484
"166","166",8422,7166,6387,-0.241629066729993
"167","167",811,777,782,-0.0357583230579531
"168","168",5521,5711,5713,0.0347763086397392
"169","169",3879,4465,4646,0.197731374065481
"170","170",4512,4409,4366,-0.0323581560283688
"171","171",2013,2010,2010,-0.0014903129657228
