"from_id","to_id","dist_2016","dist_2019","dist_2021","dist_2024","dist_2026","change_pct"
"1","1",2012,1901,1900,1832,1900,-0.0556660039761431
"2","2",4528,4726,4955,4868,5153,0.138030035335689
"3","3",7270,7301,7301,6742,6688,-0.0800550206327373
"4","4",1675,1674,1674,1676,1667,-0.00477611940298507
"5","5",4964,4828,4828,4725,4492,-0.0950846091861402
"6","6",4665,4663,4661,4459,4442,-0.0478027867095391
"7","7",2200,4050,3604,3890,3251,0.477727272727273
"8","8",2351,2502,2502,2407,2484,0.056571671629094
"9","9",3467,6471,6277,5820,5823,0.679550043265071
"19150","19150",3467,6471,6277,5820,5823,0.679550043265071
"10","10",2262,4168,2216,2187,2206,-0.0247568523430592
"11","11",2368,2353,2338,2324,2432,0.027027027027027
"12","12",3184,3388,3388,3168,3170,-0.00439698492462312
"13","13",4818,5227,5348,5290,4886,0.0141137401411374
"15075","15075",4818,5227,5348,5290,4886,0.0141137401411374
"14","14",4959,4826,5073,5095,5023,0.0129058277878605
"15","15",3703,3737,3736,3773,3691,-0.00324061571698623
"16","16",1968,1968,2242,2232,2043,0.038109756097561
"17","17",1918,1886,1895,1890,1850,-0.0354535974973931
"18","18",2457,3608,3759,3749,3435,0.398046398046398
"19","19",4594,4355,4855,4809,4676,0.0178493687418372
"20","20",3398,3314,3385,3352,4122,0.213066509711595
"21","21",4847,4848,4849,5254,4697,-0.030946977511863
"22","22",4627,4626,4621,4812,4795,0.0363086232980333
"23","23",2918,2839,2839,2856,2855,-0.0215901302261823
"24","24",14374,14599,14648,14703,14540,0.0115486294698762
"25","25",5960,7423,7524,6669,7116,0.193959731543624
"26","26",1410,1784,1880,1553,1534,0.0879432624113475
"27","27",898,900,1167,1347,1347,0.5
"28","28",2126,2272,2273,2104,2212,0.0404515522107244
"13026","13026",2126,2272,2273,2104,2212,0.0404515522107244
"29","29",2979,2734,2687,2638,2906,-0.0245048674051695
"30","30",4178,4008,4009,4089,4104,-0.0177118238391575
"31","31",5408,6292,5519,5867,6867,0.26978550295858
"32","32",6358,6102,6103,6100,6100,-0.0405787983642655
"33","33",2250,2246,2244,2332,2321,0.0315555555555556
"34","34",7731,7526,7529,7533,7527,-0.0263872720217307
"35","35",7662,7480,7585,7523,7418,-0.031845471156356
"36","36",2643,2566,2567,2357,2356,-0.108588724933787
"11835","11835",2643,2566,2567,2357,2356,-0.108588724933787
"37","37",3329,3414,3407,3413,3233,-0.028837488735356
"38","38",2688,2850,3818,1934,1946,-0.276041666666667
"8980","8980",2688,2850,3818,1934,1946,-0.276041666666667
"39","39",1687,5383,5384,4805,4565,1.70598695909899
"40","40",8280,8531,8441,8485,8643,0.0438405797101449
"41","41",1371,1370,1372,1371,1354,-0.012399708242159
"42","42",3046,3300,3301,3050,2902,-0.0472751149047932
