"city","year","lts","found_routes","access_15min_vol"
"chicago",16,3,19881,122973211
"chicago",16,4,19992,207107128
"chicago",21,3,19831,128760605
"chicago",21,4,19882,223573482
"chicago",26,3,19868,131785566
"chicago",26,4,19881,228937349
"chicago",16,1,19907,648565136
"chicago",16,2,19911,667380426
"chicago",19,1,19821,838081262
"chicago",19,2,19822,848867652
"chicago",21,1,19818,779953423
"chicago",21,2,19819,791539642
"chicago",24,1,19886,811190633
"chicago",24,2,19888,828278846
"chicago",26,1,19785,925805595
"chicago",26,2,19787,946554963
