"from_id","to_id","total_duration_v16_v1","total_duration_v16_v2","total_duration_v19_v1","total_duration_v19_v2","total_duration_v21_v1","total_duration_v21_v2","total_duration_v24_v1","total_duration_v24_v2","total_duration_v26_v1","total_duration_v26_v2","total_distance_v16_v1","total_distance_v16_v2","total_distance_v19_v1","total_distance_v19_v2","total_distance_v21_v1","total_distance_v21_v2","total_distance_v24_v1","total_distance_v24_v2","total_distance_v26_v1","total_distance_v26_v2"
"1","1",44.4,39.7,39.5,32.4,33.9,32.4,32.7,32.1,34,27.2,3491,3762,4589,3924,3632,3586,4421,3993,3651,4066
"10","10",83.7,79.5,81.7,77.9,59.1,58.7,56.3,52.9,50.9,50.9,11468,9076,6892,6967,9674,9680,9077,7452,7588,7588
"100","100",49.1,49.1,44,41.8,41.2,40.3,36.2,32.5,36.8,32.4,6640,6640,6104,6065,6260,6220,6079,5688,6095,5685
"1000","1000",26.3,26.3,30,30,30.6,30.6,33.1,33.1,27,27,2650,2650,3208,3208,2574,2574,3105,3105,3105,3105
"10000","10000",29.2,29.2,29.3,29.3,29.3,29.3,29.6,29.6,28.3,28.3,2891,2891,2926,2926,2860,2860,2872,2872,2857,2857
"10001","10001",7.4,7.4,13.3,13.3,13.6,13.6,13.7,13.7,12.3,12.3,1295,1295,1325,1325,1391,1391,1391,1391,1407,1407
"10002","10002",84.8,76.1,71.4,70.5,59.9,59.6,50,50,46.7,45.9,8264,6627,6309,6704,9968,9973,6944,6944,6848,6955
"10003","10003",20.8,20.8,15.4,15.4,15.4,15.4,16.4,16.4,14.1,14.1,1944,1944,2128,2128,2088,2088,2087,2087,1981,1981
"10004","10004",26.5,26,21.6,21.6,23.4,23.4,24.4,24.4,19.9,19.9,3117,3581,2730,2730,2825,2825,2814,2814,2942,2942
"10005","10005",49.8,48.8,43.2,43.2,42.8,42.8,39.2,39.2,30.1,30.1,4427,4751,5140,5140,5083,5083,4262,4262,3902,3902
"10006","10006",15,15,16.7,16.7,17,17,16.6,16.6,16.1,16.1,2734,2734,3077,3077,2848,2848,3072,3072,2951,2951
"10007","10007",39.4,39.4,29.9,29.9,27.9,24.9,28.5,26,26,26,5327,5327,4668,4668,4222,4222,4460,4354,3796,3796
"10008","10008",88.6,86.9,56.6,55.5,54.3,54.3,49.8,49.8,39.6,36.3,8389,8612,7537,7537,7325,7325,6900,6900,6764,6775
"10009","10009",36.8,36.8,39.6,39.6,31.8,31.8,25.4,25.1,28.2,28.2,4141,4141,3745,3745,3555,3555,4524,4524,4303,4303
"1001","1001",21.8,18.7,15.3,11,12.8,11.2,16.4,12.3,16.4,16.3,2106,2052,1865,1881,2019,1881,2010,1935,2091,2088
"10010","10010",20.4,20.4,23.3,23.3,23.3,23.3,18.4,16.2,11.9,11.9,2010,2010,1524,1524,1526,1526,1522,1706,1539,1539
"10011","10011",48.6,45.5,31.3,31.3,29.4,28.5,28.1,27.8,24.9,24.1,3510,3510,3250,3250,3225,4700,3170,3856,3809,3809
"10012","10012",19.4,17.8,17.6,12.5,12.9,9,13.3,9.5,9.3,9.3,1464,1464,2469,1663,1678,1674,1681,1682,1511,1515
"10013","10013",20.9,20.9,19.3,18.5,19.4,19,18.8,18.8,11.3,11.2,2455,2455,2453,2521,2438,2524,2481,2481,2125,2130
"10014","10014",40.5,37,31.4,31.4,17.5,17.5,17.8,17.8,18.5,14.3,2696,3115,2723,2723,2455,2455,2472,2472,2425,2428
"10015","10015",21.8,21.8,10.4,10.4,9.9,9.9,9.9,9.9,9.5,8.3,2253,2253,1563,1563,1427,1427,1539,1539,1426,1717
"10016","10016",8.4,8.4,13.4,13.4,17.1,17.1,17.1,17.1,15.5,15.5,1633,1633,1630,1630,1692,1692,1692,1692,1990,1990
