"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Christchurch",2016,1,295352,3862.21,1.71,0,36.88,1.5,21.47,8,11.04,0,2.42,52.79,1.86,24.45,20.85,3589655.649,234306,6.53,43.97,1.61,25.49,28.93,75516,133953,0,24837,4.94,"20260302_141959",19893,88940593
"Christchurch",2016,2,295352,3885.61,1.72,0,35.61,1.59,22.58,7.88,12.12,0,2.58,51.41,5.09,23.95,19.5,3589655.649,234306,6.53,43.97,1.61,25.49,28.93,75516,133953,0,24837,4.94,"20260302_141959",19908,96548361
"Christchurch",2019,1,295352,3850.23,1.68,-0.31,34.94,2.07,26.2,10.55,7.9,1.84,5.91,59.2,1.4,18.18,21.2,4458445.007,287294,6.44,49.97,1.49,22.22,26.32,80884,148403,11371,46636,4.94,"20260302_141959",19943,80085513
"Christchurch",2019,2,295352,3875.76,1.69,-0.25,33.91,2.09,27.51,10.89,8.9,1.95,5.76,57.35,4.86,17.93,19.83,4458445.007,287294,6.44,49.97,1.49,22.22,26.32,80884,148403,11371,46636,4.94,"20260302_141959",19951,91869610
"Christchurch",2021,1,295352,3850.28,1.67,-0.31,31.77,2.1,31.67,19.74,6.03,2.68,3.22,68.77,1.15,13.53,16.53,5106386.274,314186,6.15,55.26,2.15,18.26,24.34,118411,153397,13973,28404,4.94,"20260302_141959",19973,117006517
"Christchurch",2021,2,295352,3851.9,1.67,-0.87,30.9,2.12,33.14,19.83,7.49,2.8,3.03,65.31,5.52,13.38,15.78,5106386.274,314186,6.15,55.26,2.15,18.26,24.34,118411,153397,13973,28404,4.94,"20260302_141959",19980,133915765
"Christchurch",2024,1,295352,3860.07,1.68,-0.06,29.49,2.1,39.85,31.11,4.84,3.11,0.8,77.06,1.29,10.07,11.57,5533223.14,395617,7.15,59.98,2.72,15.78,21.51,199744,164276,18621,12976,4.94,"20260302_141959",19990,125529006
"Christchurch",2024,2,295352,3848.8,1.67,-0.95,28.46,2.1,40.49,30.09,6.38,3.26,0.77,73.48,5.78,9.74,10.99,5533223.14,395617,7.15,59.98,2.72,15.78,21.51,199744,164276,18621,12976,4.94,"20260302_141959",19993,147950407
"Christchurch",2026,1,295352,3821.99,1.66,-1.04,26.66,2.36,37.11,30.33,2.65,3.4,0.73,88.74,1.63,5.39,4.24,5766832.921,433197,7.51,68.86,3.92,13.54,13.68,220996,171696,26691,13813,4.94,"20260302_141959",19991,175953646
"Christchurch",2026,2,295352,3780.66,1.65,-2.7,25.04,2.33,36.66,27.6,5.52,2.87,0.66,80.88,10.13,5.05,3.93,5766832.921,433197,7.51,68.86,3.92,13.54,13.68,220996,171696,26691,13813,4.94,"20260302_141959",19992,201235357
