"city","year","lts","found_routes","access_15min_vol"
"christchurch",16,3,19977,37969578
"christchurch",16,4,19986,63038413
"christchurch",21,3,19997,35315063
"christchurch",21,4,20000,55781232
"christchurch",26,3,19975,40168165
"christchurch",26,4,19983,52638883
"christchurch",16,1,19998,9698017
"christchurch",16,2,19998,9970188
"christchurch",19,1,20000,11108696
"christchurch",19,2,20000,11417142
"christchurch",21,1,20000,11770933
"christchurch",21,2,20000,12121873
"christchurch",24,1,20000,12909603
"christchurch",24,2,20000,13319785
"christchurch",26,1,19993,14307491
"christchurch",26,2,19993,15277623
"christchurch",18,1,19999,10741638
"christchurch",20,1,20000,11385837
"christchurch",22,1,20000,12436486
