"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Curitiba",2016,1,2291430,3743.14,1.7,0,30.79,0.46,22.13,20.25,1.58,0,0.3,49.36,1.02,12.47,37.01,5958499.97,97151,1.63,46.21,0.76,21.97,31.06,87692,6226,0,3233,2.78,"20260303_115720",19736,10098051
"Curitiba",2016,2,2291430,3735.46,1.7,0,30.48,0.45,21.8,19.96,1.55,0,0.3,48.84,1.94,12.41,36.67,5958499.97,97151,1.63,46.21,0.76,21.97,31.06,87692,6226,0,3233,2.78,"20260303_115720",19738,10311797
"Curitiba",2019,1,2291430,3734.81,1.69,-0.22,29.64,0.66,23.43,19.49,3.19,0,0.75,53.88,3.4,13,29.63,6326781.198,120651,1.91,49.73,2.08,21.48,26.71,92950,18276,0,9425,2.78,"20260303_115720",19885,10750930
"Curitiba",2019,2,2291430,3721.34,1.68,-0.38,28.55,0.65,22.02,18.13,3.11,0,0.78,51.99,7.17,12.75,28.02,6326781.198,120651,1.91,49.73,2.08,21.48,26.71,92950,18276,0,9425,2.78,"20260303_115720",19891,11670842
"Curitiba",2021,1,2291430,3699.01,1.67,-1.18,28.67,0.77,24.94,21.14,3.1,0,0.71,54.66,4.79,12.05,28.46,6344853.304,137628,2.17,50.27,2.74,20.21,26.78,104217,18053,0,15358,2.78,"20260303_115720",19903,11071200
"Curitiba",2021,2,2291430,3684.24,1.66,-1.37,27.37,0.76,23.26,19.29,3.29,0,0.68,52.08,9.99,11.52,26.36,6344853.304,137628,2.17,50.27,2.74,20.21,26.78,104217,18053,0,15358,2.78,"20260303_115720",19937,12680613
"Curitiba",2024,1,2291430,3718.01,1.68,-0.67,28.5,0.92,28.17,22.89,1.53,3.08,0.67,62.18,8.26,9.25,20.3,7095326.681,172168,2.43,52.89,7.39,16.78,22.94,130406,11517,17396,12850,2.78,"20260303_115720",19900,11726512
"Curitiba",2024,2,2291430,3675.81,1.67,-1.6,26.12,0.86,23.67,18.77,1.39,3.01,0.5,56.19,17.33,8.69,17.78,7095326.681,172168,2.43,52.89,7.39,16.78,22.94,130406,11517,17396,12850,2.78,"20260303_115720",19944,14159301
"Curitiba",2026,1,2291430,3722.08,1.68,-0.56,28.23,0.93,30.08,24.52,1.4,3.53,0.63,63.41,8.11,8.79,19.67,7079155.842,189369,2.68,52.91,7.44,16.51,23.13,145599,12282,19162,12326,2.78,"20260303_115720",19900,11727408
"Curitiba",2026,2,2291430,3672.5,1.66,-1.69,25.91,0.89,25.41,20.33,1.29,3.33,0.47,57.05,17.24,8.28,17.42,7079155.842,189369,2.68,52.91,7.44,16.51,23.13,145599,12282,19162,12326,2.78,"20260303_115720",19944,14275245
