"from_id","to_id","dist_2018","dist_2020","dist_2022","change_pct"
"1","1",1790,1790,1699,-0.0508379888268156
"2","2",2780,2779,2888,0.0388489208633093
"3","3",1052,1500,1922,0.826996197718631
"4","4",2025,1371,1342,-0.337283950617284
"5","5",4176,4212,4447,0.0648946360153257
"6","6",3616,3712,3608,-0.00221238938053097
"7","7",2591,2591,2587,-0.00154380548050946
"8","8",7917,7732,7529,-0.0490084628015662
"9","9",1940,1910,1677,-0.135567010309278
"10","10",4920,4718,4661,-0.0526422764227642
"11","11",3139,3139,2722,-0.132844855049379
"12","12",1269,1269,1274,0.00394011032308905
"13","13",5673,5716,5734,0.010752688172043
"14","14",2037,4152,2556,0.254786450662739
"15","15",7879,7877,8083,0.0258916106104836
"16","16",2093,2093,2970,0.419015766841854
"17","17",2251,2305,1919,-0.14749000444247
"18","18",3499,3501,3622,0.0351529008288082
"19","19",3099,3587,2763,-0.108422071636012
"20","20",5090,5090,4624,-0.0915520628683694
"21","21",4305,3375,3590,-0.166085946573751
"22","22",2502,2445,2314,-0.0751398880895284
"23","23",2139,1800,1807,-0.155212716222534
"24","24",5253,5244,4998,-0.0485436893203883
"25","25",2613,2749,2604,-0.0034443168771527
"26","26",3672,3646,3682,0.00272331154684096
"27","27",1390,1439,1600,0.151079136690647
"28","28",4340,4340,4688,0.080184331797235
"29","29",3557,3555,3756,0.0559460219285915
"30","30",4426,4466,4441,0.00338906461816539
"31","31",1168,1221,1429,0.223458904109589
"32","32",3163,3163,3085,-0.0246601327853304
"33","33",2778,2779,2698,-0.0287976961843053
"34","34",7176,7172,7194,0.00250836120401338
"35","35",4621,4621,4150,-0.101925990045445
"36","36",4701,4717,4660,-0.00872154860667943
"38","38",1992,1992,1903,-0.0446787148594378
"39","39",4386,4383,4454,0.0155038759689922
"40","40",1605,1605,1602,-0.00186915887850467
"41","41",3914,3914,3827,-0.0222278998467041
"42","42",1423,1501,1503,0.05621925509487
"8029","8029",1423,1501,1503,0.05621925509487
"43","43",2933,2806,2760,-0.0589839754517559
"44","44",1971,1972,2213,0.122780314561136
"45","45",2204,1537,1525,-0.308076225045372
"46","46",812,814,813,0.00123152709359606
"47","47",4867,5671,4947,0.01643723032669
"48","48",1665,1665,1394,-0.162762762762763
"49","49",1962,1909,1790,-0.0876656472986748
"50","50",1943,2111,2120,0.0910962429233145
"51","51",3081,2297,2489,-0.192145407335281
"52","52",5769,5588,5619,-0.0260010400416017
"53","53",2694,2679,3097,0.149591685226429
"54","54",4078,4083,3906,-0.0421775380088279
"55","55",3174,3174,2951,-0.0702583490863264
"56","56",2038,2039,2041,0.0014720314033366
"57","57",3540,3393,3396,-0.0406779661016949
"58","58",4312,4515,4063,-0.0577458256029685
"59","59",2192,2166,1835,-0.16286496350365
"60","60",3152,3264,3234,0.0260152284263959
"61","61",4937,3815,5614,0.137127810411181
"62","62",1852,1856,1850,-0.00107991360691145
"63","63",2470,2470,2073,-0.160728744939271
"19399","19399",2470,2470,2073,-0.160728744939271
"64","64",3461,2583,2625,-0.241548685351055
"65","65",2804,2863,2860,0.0199714693295292
"66","66",2536,2536,3047,0.201498422712934
"67","67",2521,2531,2382,-0.0551368504561682
"68","68",2805,2713,2653,-0.0541889483065954
"69","69",2455,2455,2642,0.0761710794297352
"71","71",2219,2215,2224,0.00225326723749437
"72","72",1665,1665,1658,-0.0042042042042042
"73","73",10315,10381,9573,-0.0719340765874939
"74","74",1740,1751,1686,-0.0310344827586207
"75","75",1081,1522,1090,0.00832562442183164
"76","76",3714,2768,2750,-0.259558427571352
"77","77",2831,2834,2811,-0.00706464146944543
"78","78",1078,1079,1078,0
"79","79",1112,1112,1062,-0.0449640287769784
"80","80",1417,1808,1848,0.304163726182075
"81","81",3028,3028,2991,-0.01221928665786
"82","82",1977,1994,1962,-0.00758725341426404
"83","83",3120,2744,2392,-0.233333333333333
"84","84",5123,5268,5250,0.0247901620144447
"85","85",4448,4450,4441,-0.00157374100719424
"6661","6661",4448,4450,4441,-0.00157374100719424
"86","86",3301,2687,2658,-0.194789457740079
"87","87",1817,1819,1825,0.00440286186020914
"88","88",2113,2114,3087,0.460955986748699
"89","89",2476,2246,2305,-0.0690630048465267
