"from_id","to_id","dist_2016","dist_2019","dist_2021","dist_2024","dist_2026","change_pct"
"1","1",1788,1790,1790,1773,1773,-0.00838926174496644
"2","2",2614,2779,2779,2960,2693,0.0302218821729151
"3","3",1052,1500,1500,1947,1947,0.850760456273764
"4","4",1844,1752,1805,1614,1626,-0.11822125813449
"5","5",4007,4061,4047,4172,4374,0.0915897179935114
"6","6",3624,3616,3642,3632,3544,-0.022075055187638
"7","7",2502,2660,2660,2651,2584,0.0327737809752198
"8","8",7323,7315,7616,9715,7784,0.0629523419363649
"9","9",1960,1918,1912,1278,1287,-0.343367346938776
"10","10",3925,4711,4716,4682,4694,0.195923566878981
"11","11",3122,2979,2414,2415,2491,-0.20211402946829
"12","12",1269,1269,1269,1274,1420,0.118991331757289
"13","13",5097,4138,4137,4259,4270,-0.162252305277614
"14","14",2037,2028,4380,2552,2552,0.252822778595974
"15","15",7169,8094,7925,6659,6645,-0.0730924815176454
"16","16",2093,2093,2093,1979,1979,-0.0544672718585762
"17","17",2415,2249,1998,1918,1918,-0.205797101449275
"18","18",3675,3668,3772,3672,3724,0.0133333333333333
"19","19",3240,3193,3750,2933,2982,-0.0796296296296296
"20","20",6056,5327,5327,5347,5363,-0.114431968295905
"21","21",3378,3376,3375,3944,3967,0.174363528715216
"22","22",2862,2446,2445,2317,2317,-0.190426275331936
"23","23",1983,1963,1800,1811,1812,-0.086232980332829
"24","24",5253,5237,5244,5020,5017,-0.0449267085474967
"25","25",2827,2682,2682,2785,2896,0.0244074991156703
"26","26",3648,3646,3648,3594,3642,-0.00164473684210526
"27","27",1388,1439,1770,1605,1611,0.160662824207493
"28","28",4249,4494,4411,4825,4598,0.0821369734055072
"29","29",3980,3660,3660,3880,3878,-0.0256281407035176
"30","30",3168,3031,3046,3418,3068,-0.0315656565656566
"31","31",1238,1238,1221,1221,1221,-0.0137318255250404
"32","32",3172,3163,3163,2997,2997,-0.0551702395964691
"33","33",2615,2705,2706,2611,2607,-0.00305927342256214
