"from_id","to_id","dist_2016","dist_2018","dist_2020","dist_2022","dist_2024","dist_2026","change_pct"
"1","1",3162,3235,2231,1805,2397,2392,-0.243516761543327
"3","3",8665,1789,1795,1357,1357,1431,-0.834852856318523
"4","4",4418,4695,4739,6035,6079,6139,0.389542779538253
"5","5",6414,5779,6033,6027,6027,6027,-0.0603367633302152
"6","6",1498,1370,1357,1314,1314,1326,-0.114819759679573
"7","7",2029,2583,2013,2024,2022,2018,-0.00542138984721538
"8","8",7225,9815,9544,7696,7640,7647,0.0584083044982699
"9","9",9663,10243,10212,9665,13229,12899,0.334885646279623
"10","10",4543,6336,5286,4541,4540,4908,0.0803433854281312
"7666","7666",4543,6336,5286,4541,4540,4908,0.0803433854281312
"11","11",2900,3908,3908,3013,3013,3009,0.0375862068965517
"12","12",5875,5982,6174,5992,5991,6669,0.135148936170213
"13","13",2849,2029,2061,2013,2226,1953,-0.314496314496314
"14","14",1311,1519,1381,1731,1731,1735,0.323417238749047
"15","15",3895,5391,4773,4375,4384,4211,0.0811296534017972
"16","16",2597,2450,2457,2458,2464,2461,-0.052368117058144
"17","17",5522,5388,5414,5467,5466,5636,0.0206446939514669
"18","18",8085,8752,8795,8142,8141,9049,0.119233147804576
"19","19",4783,4774,4838,6523,5844,4489,-0.0614676980974284
"20","20",2631,2657,2644,2834,2834,2792,0.0611934625617636
"21","21",6543,7152,6185,6548,6523,6107,-0.0666360996484793
"22","22",4742,4201,1800,3258,3258,3253,-0.314002530577815
"23","23",3253,4072,2663,2843,2830,3335,0.0252075007685214
"24","24",3275,3473,3474,4001,3577,3572,0.0906870229007634
"25","25",3848,3482,3483,3440,3401,3833,-0.0038981288981289
"26","26",4007,3743,3746,4584,4584,4646,0.159470925879711
"28","28",3298,2905,2675,2288,2288,2275,-0.310187992722862
"15343","15343",3298,2905,2675,2288,2288,2275,-0.310187992722862
"29","29",1818,1886,1892,3125,3173,1885,0.0368536853685369
"30","30",3047,2213,2213,2308,2553,2553,-0.162126681982278
"31","31",5174,4305,4320,4465,3668,3667,-0.29126401236954
"32","32",2447,1427,1442,2557,2982,2982,0.218635063342869
"33","33",4248,3964,3968,4273,4387,4721,0.111346516007533
"34","34",5592,3700,3768,4268,4271,4248,-0.240343347639485
"35","35",4401,3382,3387,3042,3040,3101,-0.295387411951829
"36","36",2699,3221,3217,3172,3333,2927,0.0844757317525009
"37","37",3762,3709,3417,3505,3505,3449,-0.0832004253056885
"38","38",6179,7337,6135,9218,9047,7337,0.18740896585208
"39","39",3174,3169,3121,3129,3054,3130,-0.0138626339004411
"40","40",7827,4920,4790,4630,4615,4756,-0.39235978024786
"42","42",3559,3607,3609,3493,3515,3506,-0.0148918235459399
"43","43",2330,2946,2948,2931,2749,2751,0.18068669527897
"44","44",5002,5467,5418,6806,6802,6179,0.23530587764894
"45","45",3231,3079,3280,5745,5970,6171,0.909935004642526
"47","47",4832,6247,6279,6700,6673,6347,0.313534768211921
"48","48",7251,6211,6584,4719,4720,4721,-0.34891739070473
"49","49",6463,4456,3400,2920,2920,2928,-0.546959616277271
"50","50",5255,3887,3881,3152,3151,3514,-0.331303520456708
"51","51",3620,3301,3297,3203,3203,3215,-0.111878453038674
"417","417",3620,3301,3297,3203,3203,3215,-0.111878453038674
"11279","11279",3620,3301,3297,3203,3203,3215,-0.111878453038674
"52","52",2547,2883,2882,2607,2604,2647,0.0392618767177071
"53","53",1710,1655,1655,1653,1653,1653,-0.0333333333333333
"54","54",2706,2705,2699,2344,2183,2173,-0.196969696969697
"55","55",2993,2988,2988,3002,3007,2785,-0.0694954894754427
"56","56",3143,3004,3007,2746,2754,2786,-0.11358574610245
"57","57",507,507,409,451,470,470,-0.0729783037475345
"58","58",2163,1401,1302,1451,1442,1442,-0.333333333333333
"59","59",3141,2808,2666,2809,2598,2584,-0.17733205985355
"60","60",5243,4783,5229,4514,4590,4637,-0.115582681670799
"61","61",9129,9352,9477,9444,9444,9536,0.0445831964070544
"62","62",4723,4565,4517,4398,4398,4388,-0.0709294939656998
"63","63",7331,7119,6800,9460,9980,8508,0.160551084435957
"64","64",4165,4129,4124,3924,3888,5052,0.21296518607443
"65","65",2946,2988,2905,2944,2941,2958,0.00407331975560081
"66","66",5519,5222,5150,5158,5158,5145,-0.0677658996194963
"67","67",3377,3528,3531,3196,3220,3258,-0.0352383772579212
"68","68",4253,5225,4940,4363,4477,5575,0.310839407477075
"70","70",2525,2639,2631,2620,1907,1676,-0.336237623762376
"72","72",5525,4880,5188,4940,4881,4891,-0.114751131221719
