"from_id","to_id","dist_2016","dist_2018","dist_2020","dist_2022","dist_2024","dist_2026","change_pct"
"1","1",2880,2739,3533,3524,3312,3168,0.1
"2","2",2252,2121,2140,2249,2451,2415,0.0723801065719361
"3","3",3363,2853,2915,2915,3415,2965,-0.118346714243235
"4","4",2591,2363,2480,2360,2348,2348,-0.0937861829409494
"5","5",1466,1984,1968,1968,3278,3278,1.23601637107776
"6044","6044",1466,1984,1968,1968,3278,3278,1.23601637107776
"11204","11204",1466,1984,1968,1968,3278,3278,1.23601637107776
"6","6",912,1521,1483,1600,1029,1003,0.099780701754386
"7","7",4909,4997,5706,5262,4861,4864,-0.00916683642289672
"8","8",2891,3979,3240,3990,3158,3214,0.111726046350744
"9","9",3868,4109,3400,4238,4476,4473,0.15641158221303
"11","11",1362,1365,1475,2097,1960,1577,0.157856093979442
"5215","5215",1362,1365,1475,2097,1960,1577,0.157856093979442
"6315","6315",1362,1365,1475,2097,1960,1577,0.157856093979442
"7031","7031",1362,1365,1475,2097,1960,1577,0.157856093979442
"8112","8112",1362,1365,1475,2097,1960,1577,0.157856093979442
"12","12",4309,4464,3912,4234,4062,5083,0.179624042701323
"13","13",1346,1437,1437,670,1548,1621,0.204309063893016
"4391","4391",1346,1437,1437,670,1548,1621,0.204309063893016
"6770","6770",1346,1437,1437,670,1548,1621,0.204309063893016
"15434","15434",1346,1437,1437,670,1548,1621,0.204309063893016
"14","14",3922,4968,3366,3973,3881,3848,-0.0188679245283019
"15","15",1406,1414,1040,1435,1161,1362,-0.0312944523470839
"16","16",3018,3617,3240,2904,2749,3059,0.013585155732273
"4116","4116",3018,3617,3240,2904,2749,3059,0.013585155732273
"18996","18996",3018,3617,3240,2904,2749,3059,0.013585155732273
"17","17",1724,1465,1353,1287,1418,1564,-0.0928074245939675
"8923","8923",1724,1465,1353,1287,1418,1564,-0.0928074245939675
"18000","18000",1724,1465,1353,1287,1418,1564,-0.0928074245939675
"19","19",1655,1507,1013,854,1147,972,-0.412688821752266
"18302","18302",1655,1507,1013,854,1147,972,-0.412688821752266
"20","20",2267,2265,2272,2349,2456,2522,0.112483458314954
"21","21",2367,2302,2289,2289,2299,2511,0.0608365019011407
"22","22",3106,3218,3232,3242,3223,3077,-0.00933676754668384
"23","23",2771,2366,2361,2360,2359,2407,-0.13136051966799
"24","24",2997,2438,2804,2033,2207,2879,-0.0393727060393727
"25","25",1998,2162,1997,2012,2013,2000,0.001001001001001
"19012","19012",1998,2162,1997,2012,2013,2000,0.001001001001001
"26","26",2959,2794,2900,2889,2874,2920,-0.0131801284217641
"27","27",1624,1728,1736,250,1796,1955,0.203817733990148
"5488","5488",1624,1728,1736,250,1796,1955,0.203817733990148
"10966","10966",1624,1728,1736,250,1796,1955,0.203817733990148
"15427","15427",1624,1728,1736,250,1796,1955,0.203817733990148
"28","28",4880,4728,5088,5416,5611,4918,0.00778688524590164
"29","29",1695,1665,1655,1767,1811,2285,0.348082595870207
