"from_id","to_id","dist_2016","dist_2019","dist_2021","dist_2024","dist_2026","change_pct"
"1","1",7399,7490,7408,9422,7439,0.0054061359643195
"2","2",1655,1658,1574,1413,1408,-0.149244712990937
"3","3",7978,8254,9034,9636,8193,0.0269491100526448
"4","4",2687,3428,2821,3424,3422,0.27353926311872
"18415","18415",2687,3428,2821,3424,3422,0.27353926311872
"5","5",2195,2419,2420,2193,2189,-0.00273348519362187
"6","6",2750,2750,2993,3117,2696,-0.0196363636363636
"7","7",7578,6729,7139,6996,7110,-0.0617577197149644
"8","8",3726,3177,3211,2938,2934,-0.21256038647343
"10131","10131",3726,3177,3211,2938,2934,-0.21256038647343
"9","9",2487,2436,2250,1714,1770,-0.288299155609168
"10","10",2788,1862,1699,1571,1671,-0.4006456241033
"10964","10964",2788,1862,1699,1571,1671,-0.4006456241033
"11","11",3430,3417,3261,3636,3353,-0.0224489795918367
"12","12",5854,3886,3890,4248,4346,-0.257601639904339
"13","13",1708,1708,1684,1528,1528,-0.105386416861827
"14","14",1988,2032,1859,1899,1806,-0.0915492957746479
"15","15",3037,3830,3877,3727,3729,0.227856437273625
"16","16",4394,5580,4076,4076,4301,-0.0211652253072371
"17","17",4629,3467,3436,4817,4090,-0.116439835817671
"18","18",4255,3796,3795,4128,4430,0.0411280846063455
"19","19",2024,1977,1978,1973,2035,0.00543478260869565
"20","20",2835,2980,2980,2676,2988,0.053968253968254
"21","21",1449,1453,1453,1470,1459,0.00690131124913734
"22","22",2497,2338,2426,2299,1974,-0.209451341609932
"5247","5247",2497,2338,2426,2299,1974,-0.209451341609932
"23","23",6017,5868,5898,5517,5516,-0.0832640850922387
"24","24",5572,5560,5127,6052,5258,-0.0563531945441493
"25","25",2634,2822,2822,3269,3268,0.240698557327259
"26","26",3081,3267,3267,3023,3032,-0.0159039272963324
"27","27",1657,1643,1643,1493,1447,-0.126735063367532
"28","28",2796,2834,2637,2740,3044,0.0886981402002861
"29","29",4288,5433,5049,4116,4118,-0.0396455223880597
"30","30",4343,3987,3984,3748,3748,-0.137002072300253
"31","31",1615,1751,2098,2125,1976,0.223529411764706
"32","32",5290,6159,5873,5872,5370,0.0151228733459357
"33","33",2375,2382,2404,2420,2413,0.016
"7563","7563",2375,2382,2404,2420,2413,0.016
"34","34",2359,2359,2359,2305,2242,-0.049597286986011
"3214","3214",2359,2359,2359,2305,2242,-0.049597286986011
"35","35",771,771,771,755,759,-0.0155642023346304
"36","36",1375,1376,1379,1379,1391,0.0116363636363636
"37","37",3706,3399,3399,3339,3434,-0.073394495412844
"19210","19210",3706,3399,3399,3339,3434,-0.073394495412844
