"city","year","lts","run_timestamp","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","access_15min_vol","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","found_routes","avg_dist_km","processing_time_minutes"
"Barcelona",2016,1,"20260225_085653",3250798,6601.68,1.43,0,21.34,86,0.18,6.78,6.97,39023801,3938472.214,193754.281949502,4.92,57.18,0.92,17.96,23.94,149961,20811,606,22375,19924,NA,NA
"Barcelona",2016,2,"20260225_085653",3250798,6599.36,1.42,0,21.36,85.55,0.65,6.77,6.95,39254025,3938472.214,193754.281949502,4.92,57.18,0.92,17.96,23.94,149961,20811,606,22375,19931,NA,NA
"Barcelona",2016,3,"20260225_085653",3250798,6300.91,1.36,0,18.96,66.32,0.49,28.65,4.47,60663978,3938472.214,193754.281949502,4.92,57.18,0.92,17.96,23.94,149961,20811,606,22375,20000,NA,NA
"Barcelona",2016,4,"20260225_085653",3250798,5928.78,1.28,0,15.79,46.36,0.5,22.65,30.42,87015578,3938472.214,193754.281949502,4.92,57.18,0.92,17.96,23.94,149961,20811,606,22375,20000,NA,NA
"Barcelona",2021,1,"20260225_085653",3250798,6402.66,1.39,-3.01,42.29,89.86,3.5,1.43,5.15,43957798,4380414.434,358732.836720189,8.19,62.27,8.5,6.33,22.9,248436,1537,89727,19033,19672,NA,NA
"Barcelona",2021,2,"20260225_085653",3250798,6258.52,1.36,-5.16,37.03,73.11,21.44,1.29,4.09,57260748,4380414.434,358732.836720189,8.19,62.27,8.5,6.33,22.9,248436,1537,89727,19033,19731,NA,NA
"Barcelona",2021,3,"20260225_085653",3250798,6152.01,1.33,-2.36,34.27,64.98,22.38,8.71,3.86,62430075,4380414.434,358732.836720189,8.19,62.27,8.5,6.33,22.9,248436,1537,89727,19033,19748,NA,NA
"Barcelona",2021,4,"20260225_085653",3250798,5865.15,1.28,-1.07,29.28,49.74,18.35,6.56,25.27,84071778,4380414.434,358732.836720189,8.19,62.27,8.5,6.33,22.9,248436,1537,89727,19033,19759,NA,NA
"Barcelona",2026,1,"20260225_085653",3250798,6240.37,1.35,-5.47,48,93.31,1.12,1.78,3.74,47918066,4788150.273,387486.389623546,8.09,70.13,4.08,6.61,19.17,297494,3319,63565,23109,19683,NA,NA
"Barcelona",2026,2,"20260225_085653",3250798,6167.76,1.33,-6.54,49.24,87.16,7.45,1.67,3.68,52113345,4788150.273,387486.389623546,8.09,70.13,4.08,6.61,19.17,297494,3319,63565,23109,19697,NA,NA
"Barcelona",2026,3,"20260225_085653",3250798,6086.05,1.31,-3.41,43.18,74.35,7.9,14.28,3.42,60318407,4788150.273,387486.389623546,8.09,70.13,4.08,6.61,19.17,297494,3319,63565,23109,19708,NA,NA
"Barcelona",2026,4,"20260225_085653",3250798,5960.13,1.29,0.53,29,55.78,6.96,15.74,21.48,75698048,4788150.273,387486.389623546,8.09,70.13,4.08,6.61,19.17,297494,3319,63565,23109,19740,NA,NA
"Berlin",2016,1,"20260226_005420",3250007,7450.46,1.44,0,13.13,85.69,3.17,4.15,6.94,111789636,4439368.5,426205,9.6,60.72,5.41,10.9,22.96,219940,131077,23365,51824,19927,NA,NA
"Berlin",2016,2,"20260226_005420",3250007,7360.7,1.42,0,16.42,77.12,12.96,3.61,6.27,137894083,4439368.5,426205,9.6,60.72,5.41,10.9,22.96,219940,131077,23365,51824,19927,NA,NA
"Berlin",2016,3,"20260226_005420",3250007,7056.01,1.37,0,27.82,56.82,14.74,24.32,4.08,195491159,4439368.5,426205,9.6,60.72,5.41,10.9,22.96,219940,131077,23365,51824,19927,NA,NA
"Berlin",2016,4,"20260226_005420",3250007,6360.2,1.24,0,47.23,27.96,9.27,19.16,43.56,300705906,4439368.5,426205,9.6,60.72,5.41,10.9,22.96,219940,131077,23365,51824,19927,NA,NA
"Berlin",2021,1,"20260226_005420",3250007,7390.07,1.42,-0.81,15.93,85.32,2.44,2.99,9.23,119891389,4771191.499,485076,10.17,65.01,4.03,8.22,22.74,223772,168031,34072,59201,19978,NA,NA
"Berlin",2021,2,"20260226_005420",3250007,7326.86,1.41,-0.46,18.58,79.83,8.92,2.57,8.65,144375301,4771191.499,485076,10.17,65.01,4.03,8.22,22.74,223772,168031,34072,59201,19979,NA,NA
"Berlin",2021,3,"20260226_005420",3250007,7139.54,1.38,1.18,28.17,67.47,9.7,15.15,7.66,169324016,4771191.499,485076,10.17,65.01,4.03,8.22,22.74,223772,168031,34072,59201,19980,NA,NA
"Berlin",2021,4,"20260226_005420",3250007,6468.48,1.26,1.7,56.39,33.95,5.2,9.83,50.99,283931816,4771191.499,485076,10.17,65.01,4.03,8.22,22.74,223772,168031,34072,59201,19985,NA,NA
"Berlin",2026,1,"20260226_005420",3250007,7384.36,1.42,-0.89,46.12,96.04,0.31,0.7,2.93,66275272,4705167.893,525655,11.17,74.81,2.17,5.87,17.15,267354,173268,31181,53853,18535,NA,NA
"Berlin",2026,2,"20260226_005420",3250007,7320.71,1.41,-0.54,46.97,94.25,2.03,0.76,2.95,73854191,4705167.893,525655,11.17,74.81,2.17,5.87,17.15,267354,173268,31181,53853,18975,NA,NA
"Berlin",2026,3,"20260226_005420",3250007,7365.16,1.41,4.38,55.08,81.02,3.78,12.37,2.82,80658062,4705167.893,525655,11.17,74.81,2.17,5.87,17.15,267354,173268,31181,53853,19307,NA,NA
"Berlin",2026,4,"20260226_005420",3250007,6890.77,1.34,8.34,72.17,45.42,1.65,5.72,47.2,141491370,4705167.893,525655,11.17,74.81,2.17,5.87,17.15,267354,173268,31181,53853,19997,NA,NA
"Bogota",2016,1,"20260225_234106",7052831,8307.65,1.5,0,15.8,68.47,0.35,14.23,16.9,1618730,8661990.64,213120,2.46,45.34,0.97,23.08,30.61,128450,2060,837,81773,14498,NA,NA
"Bogota",2016,2,"20260225_234106",7052831,8423.63,1.5,0,16.14,68.23,1.28,14,16.44,1655805,8661990.64,213120,2.46,45.34,0.97,23.08,30.61,128450,2060,837,81773,14692,NA,NA
"Bogota",2016,3,"20260225_234106",7052831,9868,1.45,0,12.77,40.82,0.79,49.92,8.44,3753991,8661990.64,213120,2.46,45.34,0.97,23.08,30.61,128450,2060,837,81773,18746,NA,NA
"Bogota",2016,4,"20260225_234106",7052831,9236.4,1.28,0,8.55,16.31,0.37,23.67,59.62,6882452,8661990.64,213120,2.46,45.34,0.97,23.08,30.61,128450,2060,837,81773,19985,NA,NA
"Bogota",2021,1,"20260225_234106",7052831,8836.58,1.45,6.37,27.47,81.16,9.15,2.25,7.44,2006921,9188380.147,253189,2.76,54.03,15.06,9.38,21.53,229708,9167,3493,10821,16478,NA,NA
"Bogota",2021,2,"20260225_234106",7052831,9848.37,1.41,16.91,21.27,53.58,41.01,1.5,3.9,3836274,9188380.147,253189,2.76,54.03,15.06,9.38,21.53,229708,9167,3493,10821,19217,NA,NA
"Bogota",2021,3,"20260225_234106",7052831,9818.97,1.38,-0.5,20.33,47.82,39.18,9.56,3.44,4454291,9188380.147,253189,2.76,54.03,15.06,9.38,21.53,229708,9167,3493,10821,19507,NA,NA
"Bogota",2021,4,"20260225_234106",7052831,9133.39,1.26,-1.12,8.17,20.51,17.51,5.54,56.43,6873625,9188380.147,253189,2.76,54.03,15.06,9.38,21.53,229708,9167,3493,10821,19987,NA,NA
"Bogota",2026,1,"20260225_234106",7052831,9629.35,1.43,15.91,39.89,89.07,5.56,0.97,4.39,2491754,9698307.297,323036,3.33,60.47,17,6.67,15.85,271104,30649,10067,11216,18544,NA,NA
"Bogota",2026,2,"20260225_234106",7052831,9695.96,1.36,15.1,34.24,63.18,33.22,0.76,2.83,4321191,9698307.297,323036,3.33,60.47,17,6.67,15.85,271104,30649,10067,11216,19591,NA,NA
"Bogota",2026,3,"20260225_234106",7052831,9636.15,1.35,-2.35,33.27,58.49,32.79,6.04,2.67,4736792,9698307.297,323036,3.33,60.47,17,6.67,15.85,271104,30649,10067,11216,19714,NA,NA
"Bogota",2026,4,"20260225_234106",7052831,9165.2,1.26,-0.77,15.22,27.14,19.3,3.34,50.22,6675762,9698307.297,323036,3.33,60.47,17,6.67,15.85,271104,30649,10067,11216,19973,NA,NA
"Brussels",2016,1,"20260225_123242",1381011,7086.74,1.45,0,12.65,81.02,1.87,8.95,8.12,198865882,4286393.063,222201,5.18,54.52,2.81,20.85,21.82,100990,81145,4704,35361,19948,NA,NA
"Brussels",2016,2,"20260225_123242",1381011,7057.53,1.44,0,14.51,75.16,8.7,8.43,7.68,226430178,4286393.063,222201,5.18,54.52,2.81,20.85,21.82,100990,81145,4704,35361,19988,NA,NA
"Brussels",2016,3,"20260225_123242",1381011,6605.98,1.36,0,14.5,48.12,6.68,40.78,4.38,456233159,4286393.063,222201,5.18,54.52,2.81,20.85,21.82,100990,81145,4704,35361,20000,NA,NA
"Brussels",2016,4,"20260225_123242",1381011,6043.45,1.25,0,14.52,28,4.95,29.08,37.94,652156515,4286393.063,222201,5.18,54.52,2.81,20.85,21.82,100990,81145,4704,35361,20000,NA,NA
"Brussels",2021,1,"20260225_123242",1381011,6845.63,1.4,-3.4,24.44,88.84,5.4,0.58,5.16,298687124,4951483.766,345218,6.97,64.18,12.86,4.51,18.46,151361,121090,50121,22646,19989,NA,NA
"Brussels",2021,2,"20260225_123242",1381011,6446.62,1.32,-8.66,24.44,64.86,30.94,0.53,3.65,480886894,4951483.766,345218,6.97,64.18,12.86,4.51,18.46,151361,121090,50121,22646,19990,NA,NA
"Brussels",2021,3,"20260225_123242",1381011,6404.39,1.32,-3.05,25.4,62.71,30.93,3.06,3.28,491959728,4951483.766,345218,6.97,64.18,12.86,4.51,18.46,151361,121090,50121,22646,19990,NA,NA
"Brussels",2021,4,"20260225_123242",1381011,5995.22,1.24,-0.8,28.69,39.88,22.98,2.39,34.73,658488167,4951483.766,345218,6.97,64.18,12.86,4.51,18.46,151361,121090,50121,22646,19990,NA,NA
"Brussels",2026,1,"20260225_123242",1381011,6765.97,1.39,-4.53,34.51,90.41,4.47,0.68,4.43,257075875,5131516.297,458487,8.93,68.81,10.6,3.75,16.84,182433,139486,122405,14162,19991,NA,NA
"Brussels",2026,2,"20260225_123242",1381011,6530.45,1.34,-7.47,41.49,68.45,27.68,0.49,3.37,387409078,5131516.297,458487,8.93,68.81,10.6,3.75,16.84,182433,139486,122405,14162,19992,NA,NA
"Brussels",2026,3,"20260225_123242",1381011,6489.2,1.33,-1.77,41.52,66.94,27.43,2.32,3.31,399338729,5131516.297,458487,8.93,68.81,10.6,3.75,16.84,182433,139486,122405,14162,19992,NA,NA
"Brussels",2026,4,"20260225_123242",1381011,6135.74,1.26,1.53,44.86,47.46,20.58,2.1,29.86,527243830,5131516.297,458487,8.93,68.81,10.6,3.75,16.84,182433,139486,122405,14162,19992,NA,NA
"Christchurch",2016,1,"20260226_022059",295352,7775.7,1.54,0,27.34,62.62,2.18,19.44,15.72,15852160,3589655.649,234306,6.53,43.97,1.61,25.49,28.93,75516,133953,0,24837,17438,NA,7.26
"Christchurch",2016,2,"20260226_022059",295352,7994.6,1.54,0,28.49,59.78,6.96,18.91,14.31,16512547,3589655.649,234306,6.53,43.97,1.61,25.49,28.93,75516,133953,0,24837,18079,NA,7.26
"Christchurch",2016,3,"20260226_022059",295352,8269.19,1.47,0,31.35,34.22,5.09,54.49,6.16,37969578,3589655.649,234306,6.53,43.97,1.61,25.49,28.93,75516,133953,0,24837,19977,NA,7.26
"Christchurch",2016,4,"20260226_022059",295352,7350.78,1.32,0,38.04,17.69,3.91,35.27,43.09,63038413,3589655.649,234306,6.53,43.97,1.61,25.49,28.93,75516,133953,0,24837,19986,NA,7.26
"Christchurch",2021,1,"20260226_022059",295352,8459.09,1.52,8.79,44.77,79.74,0.98,8.88,10.37,16516917,5106386.274,314186,6.15,55.26,2.15,18.26,24.34,118411,153397,13973,28404,19620,NA,7.26
"Christchurch",2021,2,"20260226_022059",295352,8424.83,1.51,5.38,47.57,74.1,7.54,8.66,9.67,19127317,5106386.274,314186,6.15,55.26,2.15,18.26,24.34,118411,153397,13973,28404,19718,NA,7.26
"Christchurch",2021,3,"20260226_022059",295352,8153.36,1.44,-1.4,44.74,55.04,6.44,32.42,6.06,35315063,5106386.274,314186,6.15,55.26,2.15,18.26,24.34,118411,153397,13973,28404,19997,NA,7.26
"Christchurch",2021,4,"20260226_022059",295352,7259.18,1.29,-1.25,45.96,27.5,4.39,26.39,41.69,55781232,5106386.274,314186,6.15,55.26,2.15,18.26,24.34,118411,153397,13973,28404,20000,NA,7.26
"Christchurch",2026,1,"20260226_022059",295352,8355.27,1.48,7.45,50.76,92.54,1.41,3.25,2.78,25109221,5766832.921,433197,7.51,68.86,3.92,13.54,13.68,220996,171696,26691,13813,19963,NA,7.26
"Christchurch",2026,2,"20260226_022059",295352,8228.34,1.46,2.92,48.42,82.19,12.31,3.02,2.46,28983012,5766832.921,433197,7.51,68.86,3.92,13.54,13.68,220996,171696,26691,13813,19969,NA,7.26
"Christchurch",2026,3,"20260226_022059",295352,7804.32,1.38,-5.62,45.77,60.11,11.56,26.05,2.26,40168165,5766832.921,433197,7.51,68.86,3.92,13.54,13.68,220996,171696,26691,13813,19975,NA,7.26
"Christchurch",2026,4,"20260226_022059",295352,7275.53,1.29,-1.02,52.02,35.58,8.66,23.75,31.99,52638883,5766832.921,433197,7.51,68.86,3.92,13.54,13.68,220996,171696,26691,13813,19983,NA,7.26
"Lisbon",2016,1,"20260225_085653",1664901,8142.77,1.59,0,21.56,80.88,0.8,5.87,12.42,110681778,4812567.635,188800.780228704,3.92,59.6,1.62,13.45,25.33,166281,4106,0,18413,16159,NA,NA
"Lisbon",2016,2,"20260225_085653",1664901,8197.55,1.59,0,20.81,79.59,2.68,5.54,12.16,113731685,4812567.635,188800.780228704,3.92,59.6,1.62,13.45,25.33,166281,4106,0,18413,16241,NA,NA
"Lisbon",2016,3,"20260225_085653",1664901,8028.81,1.54,0,18.16,59.04,2.27,29.57,9.09,175336650,4812567.635,188800.780228704,3.92,59.6,1.62,13.45,25.33,166281,4106,0,18413,16535,NA,NA
"Lisbon",2016,4,"20260225_085653",1664901,7044.91,1.36,0,5.01,27.12,1.39,17.97,53.5,346346700,4812567.635,188800.780228704,3.92,59.6,1.62,13.45,25.33,166281,4106,0,18413,16549,NA,NA
"Lisbon",2021,1,"20260225_085653",1664901,8103.66,1.55,-0.48,24.51,87.09,1.39,3.84,7.65,127810563,5245127.772,138310.157728497,2.64,62.95,2.24,11.23,23.58,101075,2423,16241,18572,16406,NA,NA
