"from_id","to_id","total_duration_v16_v1","total_duration_v16_v2","total_duration_v16_v3","total_duration_v16_v4","total_duration_v21_v1","total_duration_v21_v2","total_duration_v21_v3","total_duration_v21_v4","total_duration_v26_v1","total_duration_v26_v2","total_duration_v26_v3","total_duration_v26_v4","total_distance_v16_v1","total_distance_v16_v2","total_distance_v16_v3","total_distance_v16_v4","total_distance_v21_v1","total_distance_v21_v2","total_distance_v21_v3","total_distance_v21_v4","total_distance_v26_v1","total_distance_v26_v2","total_distance_v26_v3","total_distance_v26_v4"
"1","1",10.5,9,9,9,11.7,8.8,8.8,8.8,11.6,9,9,9,1880,1774,1774,1774,2059,1680,1680,1680,2045,1701,1701,1701
"10","10",9.8,9.4,8.6,7,7.7,7.4,7.4,7,8.4,8.4,8.4,7.7,1473,1473,1484,1428,1282,1282,1282,1282,1365,1365,1365,1505
"100","100",49.1,44.6,32.7,31.4,45.4,38.9,33.8,31.8,41.4,33.1,33.1,32.5,6973,6742,6158,6030,7295,6809,6391,6066,7366,6188,6188,6188
"1000","1000",45.3,41.9,36.1,29,44.3,39.3,36.5,30.3,41.7,39.5,36.2,30.2,6832,6661,6805,5806,7447,6831,6809,5948,6333,7127,6325,5906
"10000","10000",63.5,62.7,48.2,38,42.1,39.4,33.5,31.7,41.9,38.4,33.3,31.9,9947,9621,8983,7649,7069,6862,6418,6235,7165,6771,6298,6188
"10001","10001",106.6,105.7,79.9,63.9,99.5,90,80.9,64.2,92.6,86.5,76.8,65.4,15120,15117,14888,12484,15552,15020,14289,12432,14343,14205,14473,12664
"10002","10002",30.8,30.8,25.4,24.7,29.8,23.7,23.7,22.9,31.4,27.6,24.7,24,4992,4992,4841,4843,4966,4491,4491,4491,5103,4880,4734,4680
"10003","10003",90.4,85.9,61.8,55.7,97.7,93,69.2,55.8,89.3,78.9,68.9,57,12408,11843,11399,10928,13577,12335,12349,10912,14520,13975,12289,11022
"10004","10004",72.5,70.4,52.5,41.4,104.7,93.3,61.1,57.3,94.4,76.1,60.1,57.1,8592,8595,9756,8165,13040,12850,11594,11154,12832,13192,11663,11037
"10005","10005",77.3,71.1,53.6,49.8,71.3,66.8,53.1,48.1,68.4,61.9,55.4,48.4,11541,10906,10346,9697,10587,9666,9985,9284,10180,9584,10549,9292
"10006","10006",10.3,8.7,8.5,8.5,10.8,8.6,8.4,8.4,11.1,9.3,9.1,9.1,1845,1690,1690,1690,1904,1689,1689,1689,1872,1767,1767,1767
"10007","10007",60.1,55.9,43.4,35.4,45.2,43.4,35.8,33.7,45.3,41.1,36.5,34.2,7912,8379,7029,6809,7663,7291,6566,6462,7595,7140,6599,6463
"10008","10008",37.3,37.3,31.8,21.5,35,35,31.1,21.6,28.5,25.3,25.2,22.1,4725,4725,4725,4428,4670,4670,4670,4493,4553,4553,4553,4470
"10009","10009",44.2,44.2,35,29,44.9,44.9,35.6,30.4,33.4,33.4,33.4,28.8,6173,6173,6173,5700,6265,6265,6239,5951,5859,5859,5859,5739
"1001","1001",78.8,70.4,55.2,47.9,73.7,68.1,57.1,46.4,73.7,63.2,58.1,47.8,12074,10374,9983,9443,10394,10248,10583,8951,10169,9985,10481,9109
"10010","10010",24.4,18.6,13.3,12.2,19.8,19.6,13.2,12.1,19.6,18,14.7,13.2,3927,2959,2437,2348,2921,2928,2531,2321,2797,2845,2285,2315
"10011","10011",95.9,95.3,76.5,61.6,86.4,76.7,70.9,57.8,86.2,80.9,70.6,59.8,14440,14349,14176,12122,14007,13479,13075,11275,12834,12590,13237,11359
"10012","10012",13.4,9.7,9.4,9.4,11.4,9.7,9.6,9.6,12.5,10.7,10.5,10.5,2142,1940,1940,1940,1942,1815,1815,1815,2050,1952,1952,1952
"10013","10013",47.6,45.8,33.2,27.5,46.2,41.4,33.3,30.4,36.2,35.8,31.8,29.9,6566,6845,5845,5247,7542,6287,6041,6051,5849,5849,6117,5948
"10014","10014",73.4,63,48.6,39.7,59,50.5,44.2,41,54.7,48.4,44,41,8924,9054,8030,7741,8789,9218,8019,7917,8765,8744,7963,7850
"10015","10015",83.5,75.3,58.9,49.4,74,71.4,59.3,49.4,72.7,68.3,58.9,51.5,11850,10758,11371,9664,11142,11226,11490,9643,11419,11924,11259,9900
"10016","10016",23,18.5,17.5,16.8,20.7,18.5,17.6,17,20.3,19,18.4,17.4,3753,3500,3439,3441,3671,3558,3503,3450,3693,3552,3586,3481
"10017","10017",31.1,26.7,21.2,18.9,28,26.3,23.6,18.9,24.3,19.1,19.1,18.9,4389,4080,3904,3697,4274,3823,4045,3686,4027,3666,3666,3663
"10018","10018",18.5,18.2,17,16.6,18.4,18.3,17.5,16.5,18.7,18.5,17.3,16.7,3663,3460,3356,3356,3658,3468,3341,3172,3451,3452,3344,3170
"10019","10019",29.7,26.8,20.6,17.4,21.6,20.8,19,17.6,21.8,20.4,19.1,17.8,4298,4214,3738,3324,3767,3721,3527,3411,3816,3835,3724,3428
"1002","1002",14.2,10.1,8.6,8,13.2,11.1,8.3,7.9,10.9,8.7,8.3,8,1801,1680,1735,1609,1604,1729,1603,1604,1722,1696,1620,1618
"10020","10020",30,29.1,19.6,18,23.2,23.1,19.2,16.7,23.7,22.4,18.2,17.3,4830,4425,3788,3486,4251,4245,3683,3257,4311,3954,3508,3206
"10021","10021",38.4,34.6,24.2,21.6,36.5,22.5,22.5,22.2,33.4,23.5,23.5,22.6,4749,5402,4326,4067,5581,4334,4334,4324,5115,4433,4433,4259
"10022","10022",107.2,106.3,76.7,65,98.4,90.2,76.7,65.4,91.5,84,74.4,66.4,15565,15562,14401,12873,15480,15734,14410,12869,14023,13885,13993,12693
"10023","10023",55.1,44.2,38,33.4,46.3,41.3,38.3,33.6,44.6,37.6,37,34.2,8117,7506,7491,6801,7862,7856,7414,6777,7429,7424,7104,6798
"10024","10024",45.8,45.8,28.6,22.1,38.5,38.5,28.9,20.8,38.7,36.6,27.2,21.2,5458,5458,4887,4843,5272,5272,4948,4521,5184,5418,4893,4469
"10025","10025",45.7,42.1,37.4,32.8,44,39.9,36.9,33.2,43.7,41,37.9,35.1,7415,7457,6956,6507,7504,7069,6740,6542,8140,7193,6666,6632
"10026","10026",50.9,50.9,43.5,34,53.9,53.9,47.5,34.5,54.6,49.9,46.5,34.6,7677,7677,7558,6716,7817,7817,8664,6751,7506,7506,7767,6735
"10027","10027",9.8,8.3,6.6,6.2,9.6,9.1,6.4,6.4,11.5,10.4,8.3,6.5,1283,1623,1297,1331,1227,1478,1238,1355,1274,1506,1274,1357
"10028","10028",48.7,41,36.8,29.8,38.7,33,32.4,30.2,38.5,31.7,31.7,30.4,7210,6893,6648,5810,6124,6085,6123,5845,6262,5967,5967,5770
"10029","10029",91.9,88.9,77,59.1,82.7,79.3,70.3,59.3,75.6,71.5,64.5,59,13152,13152,13631,11791,12646,12694,12409,11846,11964,12011,11964,11589
"1003","1003",57.3,54.9,43.2,37.7,47.3,42.9,35.9,35,45.8,41.3,33.9,33,7636,8291,7239,7291,7869,7904,6914,6869,8175,6992,6379,6315
"10030","10030",40.1,32.5,31.8,29.7,35.9,30.8,29.9,29.9,35.8,31,31,30.5,6236,6262,6343,5933,6289,5941,5941,5941,6190,6033,5959,5941
