"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Gent",2016,1,337915,3641,1.78,0,27.31,1.84,26.63,23.01,2.41,0.1,1.11,76.25,2.56,10.52,10.66,3615649.71,267490,7.4,50.43,3.85,15.86,29.86,194218,60913,473,11886,3.47,"20260302_143335",19814,623586499
"Gent",2016,2,337915,3590.08,1.76,0,25.69,1.7,27.72,22.3,4.28,0.11,1.03,69.23,10.56,10.01,10.18,3615649.71,267490,7.4,50.43,3.85,15.86,29.86,194218,60913,473,11886,3.47,"20260302_143335",19814,697129472
"Gent",2019,1,337915,3611.29,1.76,-0.82,26.67,2.37,29.42,22.02,2.96,1.06,3.38,77.52,2.68,9.59,10.21,3814780.623,312241,8.19,53.43,4.19,15.49,26.88,204359,73290,7356,27235,3.47,"20260302_143335",19948,703760993
"Gent",2019,2,337915,3530.13,1.73,-1.67,24.96,2.24,30.45,21.76,3.74,1.77,3.18,69.35,11.69,9.14,9.81,3814780.623,312241,8.19,53.43,4.19,15.49,26.88,204359,73290,7356,27235,3.47,"20260302_143335",19948,795442503
"Gent",2021,1,337915,3566.29,1.74,-2.05,25.53,2.69,32.7,23.93,2.73,1.23,4.81,80.29,2.65,8.31,8.73,3913489.013,341974,8.74,55.59,4.75,14.8,24.86,229267,70415,12121,30171,3.47,"20260302_143335",19949,757706189
"Gent",2021,2,337915,3499.01,1.71,-2.54,23.71,2.61,34.24,23.64,3.62,2.62,4.35,71.71,12.43,7.69,8.15,3913489.013,341974,8.74,55.59,4.75,14.8,24.86,229267,70415,12121,30171,3.47,"20260302_143335",19951,923507846
"Gent",2024,1,337915,3512.9,1.71,-3.52,24.17,2.81,35.04,27.08,2.2,1.46,4.29,83.75,3.29,6,6.94,4198062.645,376287,8.96,60.92,6.39,11.69,21,256584,65939,16748,37017,3.47,"20260302_143335",19989,1196326442
"Gent",2024,2,337915,3449.24,1.68,-3.92,21.94,2.63,37.9,27.56,3.16,3.2,3.97,74.72,13.82,5.37,6.09,4198062.645,376287,8.96,60.92,6.39,11.69,21,256584,65939,16748,37017,3.47,"20260302_143335",19990,1390784369
"Gent",2026,1,337915,3500.65,1.7,-3.85,23.65,2.91,37.03,29.18,2.17,1.45,4.24,85.48,3.3,5.53,5.68,4236381.803,395634,9.34,63.11,6.85,11.04,19,273891,62775,20029,38939,3.47,"20260302_143335",19989,1230417294
"Gent",2026,2,337915,3419.22,1.67,-4.76,21.55,2.71,39.8,29.1,3.64,3.29,3.77,75.94,13.95,5.03,5.08,4236381.803,395634,9.34,63.11,6.85,11.04,19,273891,62775,20029,38939,3.47,"20260302_143335",19989,1451981532
