"city","year","lts","found_routes","access_15min_vol"
"gent",16,3,19869,184282603
"gent",16,4,19871,279501803
"gent",21,3,20000,217296313
"gent",21,4,20000,311987855
"gent",26,3,19953,254070709
"gent",26,4,19953,303377978
"gent",16,1,19814,623586499
"gent",16,2,19814,697129472
"gent",19,1,19948,703760993
"gent",19,2,19948,795442503
"gent",21,1,19949,757706189
"gent",21,2,19951,923507846
"gent",24,1,19989,1196326442
"gent",24,2,19990,1390784369
"gent",26,1,19989,1230417294
"gent",26,2,19989,1451981532
