"from_id","to_id","total_duration_v16_v1","total_duration_v16_v2","total_duration_v16_v3","total_duration_v16_v4","total_duration_v21_v1","total_duration_v21_v2","total_duration_v21_v3","total_duration_v21_v4","total_duration_v26_v1","total_duration_v26_v2","total_duration_v26_v3","total_duration_v26_v4","total_distance_v16_v1","total_distance_v16_v2","total_distance_v16_v3","total_distance_v16_v4","total_distance_v21_v1","total_distance_v21_v2","total_distance_v21_v3","total_distance_v21_v4","total_distance_v26_v1","total_distance_v26_v2","total_distance_v26_v3","total_distance_v26_v4"
"1","1",39.9,35.7,27.4,22.9,39.4,36.2,27.1,22.9,37,34.5,27,22.9,4710,4777,4987,4659,5116,5116,4991,4659,5354,5354,4990,4657
"10","10",27.9,27.9,22.4,13.7,29.4,29.4,22.1,13.8,28.2,28.2,18.8,14.3,3768,3768,3596,2631,3582,3582,3841,2632,3789,3789,3665,2538
"100","100",44,44,33.1,27.2,41.3,41.3,33.2,27.2,39.5,38.7,33.6,31,6564,6566,6152,5284,6731,6731,6115,5289,6655,6311,6382,5833
"1000","1000",49.7,48.4,31,30.7,45.6,45.6,30.8,30.4,47.7,46.8,36,32.4,8391,8139,6486,6395,7979,7979,6222,6129,5532,5532,5958,5904
"10000","10000",17.4,17.4,9.8,9.4,16.5,16.5,8.9,8.9,14.7,14.7,12.3,12.3,2186,2186,1955,1880,2146,2146,1814,1814,2089,2089,1898,1899
"10001","10001",50.6,49.3,35.7,23.6,42.3,31.7,31.1,25,42.6,35,29.9,26,4860,5255,4928,4509,4556,4801,4762,4820,4537,4862,4849,4816
"10002","10002",63.6,59.6,39.3,31.6,56.6,56.6,37.1,31.7,52.5,51.5,36.9,32.9,7639,6808,6723,6167,7079,7079,6997,6182,7102,6950,6737,6363
"10003","10003",99.5,99.2,59.6,47.7,90.4,82,58.7,47.8,92.6,90.7,58.9,49.4,10759,11455,10525,9361,10973,12103,10108,9409,13039,12483,10261,9642
"10004","10004",34.9,34.3,15,14.6,31.5,31.1,14.7,14.7,30.8,29.6,17.7,16.1,3635,3599,2885,2812,3442,3541,2829,2812,3532,3671,3393,3129
"10005","10005",39.5,38.2,28.9,26,38.7,32.1,29.1,26.1,40.7,35,30.2,26.4,5980,5886,5613,5085,6178,6000,5699,5084,5919,5918,5158,5102
"10006","10006",87.5,85.2,54.5,47.6,80.4,73.2,53.3,47.7,75.4,68.7,57.6,51.1,11585,10767,10147,9184,11016,10543,10259,9190,10965,10517,10423,9609
"10007","10007",89.9,85.2,53.6,46.6,89.8,83.2,54.8,47.8,88.2,80.6,55.2,48,11832,11937,10254,9340,11813,11586,10619,9540,12038,12429,10431,9564
"10008","10008",44.6,42.2,36.4,33.1,41.6,39.1,36.1,33.1,43.2,40.4,35.6,30.2,6830,6816,7332,6387,6592,6575,7092,6161,6719,6781,6533,5909
"10009","10009",83.4,83.4,49,36.4,70.6,70.6,47.3,36,63.5,63.4,45.6,38,9234,9234,8819,7131,10288,10288,8613,6982,8572,8586,7480,7138
"1001","1001",50.1,50.1,33.5,27,53,42.9,33.9,27,50.9,41.2,33.9,27.5,5745,5745,5896,5269,6278,6076,5906,5265,6041,5942,5928,5347
"10010","10010",70.2,70.2,46.7,35.5,63.3,58.5,43.1,35.6,59,54.4,46.1,37.5,9339,9339,8432,7072,9193,8602,7890,7085,8621,8614,7714,7461
"10011","10011",59.5,57.4,41.8,36.6,59.4,56.9,43.1,39.3,54.8,54,45.8,40.1,8864,8730,8158,7182,9111,8991,8261,7555,7664,7823,8045,7777
