"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Glasgow",2016,1,885134,3557.02,1.71,0,30.17,1.7,24.39,19.36,1.27,0,3.76,68.41,1.18,20.3,10.07,3693222.95,135820,3.68,52.23,1.92,27.88,17.97,81530,20617,0,33674,4.2,"20260302_143747",19989,313686196
"Glasgow",2016,2,885134,3559.7,1.72,0,29.33,1.77,25.88,18.7,3.34,0,3.83,65.68,4.84,19.86,9.58,3693222.95,135820,3.68,52.23,1.92,27.88,17.97,81530,20617,0,33674,4.2,"20260302_143747",19989,341673100
"Glasgow",2019,1,885134,3576.53,1.72,0.55,29.57,1.96,25.17,19.4,1.47,0,4.3,70.23,3.46,16.38,9.92,3760552.129,139185,3.7,53.78,3.35,25.29,17.58,79407,22023,180,37575,4.2,"20260302_143747",19991,341082869
"Glasgow",2019,2,885134,3595.83,1.73,1.01,27.52,2.09,26.2,17.15,4.64,0,4.41,64.66,11.51,15.2,8.62,3760552.129,139185,3.7,53.78,3.35,25.29,17.58,79407,22023,180,37575,4.2,"20260302_143747",19996,506845915
"Glasgow",2021,1,885134,3550.69,1.71,-0.18,28.92,1.94,27.15,22.54,1.41,0,3.19,72.25,3.53,15.62,8.6,3995486.467,157233,3.94,57.55,3.36,23.18,15.91,103435,22341,180,31277,4.2,"20260302_143747",19993,333030144
"Glasgow",2021,2,885134,3584.11,1.72,0.69,26.87,2.06,28.1,20.58,4.27,0,3.24,67.16,11.09,14.54,7.21,3995486.467,157233,3.94,57.55,3.36,23.18,15.91,103435,22341,180,31277,4.2,"20260302_143747",19998,500626138
"Glasgow",2024,1,885134,3506.38,1.69,-1.42,27.47,2.14,30.51,21.76,1.02,0.14,7.59,75.99,3.2,13.16,7.64,4161647.19,196832,4.73,59.51,3.14,21.71,15.64,111507,19236,4970,61119,4.2,"20260302_143747",19994,356954414
"Glasgow",2024,2,885134,3517.61,1.69,-1.18,25.8,2.27,29.6,19.34,2.79,0.16,7.31,71.34,9.69,12.26,6.71,4161647.19,196832,4.73,59.51,3.14,21.71,15.64,111507,19236,4970,61119,4.2,"20260302_143747",19998,505144870
"Glasgow",2026,1,885134,3473.95,1.67,-2.34,26.67,2.2,31.59,23.7,0.84,0.13,6.91,77.94,3.59,11.3,7.18,4340415.181,210171,4.84,60.89,4.73,19.45,14.93,128337,18607,5461,57766,4.2,"20260302_143747",19995,411110418
"Glasgow",2026,2,885134,3477.48,1.67,-2.31,24.88,2.3,30.53,21.89,1.93,0.22,6.5,72.42,10.83,10.56,6.19,4340415.181,210171,4.84,60.89,4.73,19.45,14.93,128337,18607,5461,57766,4.2,"20260302_143747",20000,579621613
