"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Graz",2016,1,242780,6790.33,1.49,0,40,89.63,1.23,2.32,6.78,4206787.552,125738,2.99,51.38,5.29,9.25,34.07,96464,25507,198,3569,17.46,"20260228_040258",19768,67331645
"Graz",2016,2,242780,6709.52,1.47,0,38.79,85.65,5.37,2.37,6.56,4206787.552,125738,2.99,51.38,5.29,9.25,34.07,96464,25507,198,3569,17.46,"20260228_040258",19807,73313742
"Graz",2016,3,242780,6638.87,1.44,0,35.94,76.17,5.58,12.56,5.65,4206787.552,125738,2.99,51.38,5.29,9.25,34.07,96464,25507,198,3569,17.46,"20260228_040258",19982,85904940
"Graz",2016,4,242780,5996.29,1.3,0,17.22,40.01,4.65,7.77,47.53,4206787.552,125738,2.99,51.38,5.29,9.25,34.07,96464,25507,198,3569,17.46,"20260228_040258",20000,136403322
"Graz",2021,1,242780,6738.3,1.47,-0.77,40.73,92.07,1.27,1.67,4.96,4847456.704,143302,2.96,53.89,5.27,7.18,33.66,104849,26262,1678,10514,17.46,"20260228_040258",19876,76350513
"Graz",2021,2,242780,6651.2,1.45,-0.87,41.43,87.51,6.1,1.81,4.55,4847456.704,143302,2.96,53.89,5.27,7.18,33.66,104849,26262,1678,10514,17.46,"20260228_040258",19904,82484240
"Graz",2021,3,242780,6537.4,1.42,-1.53,37.79,77.91,7.11,10.87,4.09,4847456.704,143302,2.96,53.89,5.27,7.18,33.66,104849,26262,1678,10514,17.46,"20260228_040258",19972,95854295
"Graz",2021,4,242780,6054.23,1.31,0.97,21.47,47.14,5.25,7.67,39.91,4847456.704,143302,2.96,53.89,5.27,7.18,33.66,104849,26262,1678,10514,17.46,"20260228_040258",20000,130106024
"Graz",2026,1,242780,6714.73,1.46,-1.11,43.34,94.67,0.7,0.94,3.68,4875347.628,171754,3.52,59.87,3.53,5.5,31.1,125681,26888,10642,8544,17.46,"20260228_040258",19832,72910884
"Graz",2026,2,242780,6694.27,1.45,-0.23,42.66,92.59,3.11,0.98,3.32,4875347.628,171754,3.52,59.87,3.53,5.5,31.1,125681,26888,10642,8544,17.46,"20260228_040258",19869,76262220
"Graz",2026,3,242780,6640.81,1.44,0.03,42.14,86.69,3.63,6.82,2.84,4875347.628,171754,3.52,59.87,3.53,5.5,31.1,125681,26888,10642,8544,17.46,"20260228_040258",19916,84126455
"Graz",2026,4,242780,6255.22,1.36,4.32,33.46,62.21,2.58,5.12,30.08,4875347.628,171754,3.52,59.87,3.53,5.5,31.1,125681,26888,10642,8544,17.46,"20260228_040258",20000,107208533
