"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Graz",2016,1,242780,3657.63,1.63,0,25.67,2.67,30.24,25.53,4.45,0,0.26,83.73,2.38,3.65,10.23,4206787.552,125738,2.99,51.38,5.29,9.25,34.07,96464,25507,198,3569,6.84,"20260302_144436",19964,310365022
"Graz",2016,2,242780,3613.61,1.61,0,24.31,2.63,28.79,24.05,4.49,0,0.26,79.97,6.73,3.61,9.68,4206787.552,125738,2.99,51.38,5.29,9.25,34.07,96464,25507,198,3569,6.84,"20260302_144436",19968,356420484
"Graz",2019,1,242780,3625.02,1.61,-0.89,24.97,2.76,30.35,25.29,4.58,0.02,0.45,86.12,2.17,2.99,8.71,4562949.959,134154,2.94,53.12,5.14,7.96,33.78,101116,26221,494,6323,6.84,"20260302_144436",19971,332604160
"Graz",2019,2,242780,3579.31,1.59,-0.95,23.64,2.7,29.37,24.33,4.57,0.02,0.45,82.09,6.72,2.9,8.28,4562949.959,134154,2.94,53.12,5.14,7.96,33.78,101116,26221,494,6323,6.84,"20260302_144436",19975,372886674
"Graz",2021,1,242780,3591.2,1.6,-1.82,24.48,2.85,31.2,25.39,4.47,0.24,1.1,87.59,2.18,2.59,7.63,4847456.704,143302,2.96,53.89,5.27,7.18,33.66,104849,26262,1678,10514,6.84,"20260302_144436",19975,345314338
"Graz",2021,2,242780,3557.62,1.58,-1.55,23.07,2.87,31.45,24.57,5.59,0.23,1.06,83.22,7.27,2.68,6.83,4847456.704,143302,2.96,53.89,5.27,7.18,33.66,104849,26262,1678,10514,6.84,"20260302_144436",19980,381257535
"Graz",2024,1,242780,3569.96,1.59,-2.4,23.7,2.9,31.65,27.35,3.41,0.6,0.29,91.05,1.14,1.73,6.07,4859646.125,161802,3.33,59.15,3.6,5.68,31.57,118111,27043,7190,9458,6.84,"20260302_144436",19838,374605749
"Graz",2024,2,242780,3560.56,1.59,-1.47,22.96,2.98,31.39,26.6,3.91,0.6,0.27,89.04,3.58,1.79,5.58,4859646.125,161802,3.33,59.15,3.6,5.68,31.57,118111,27043,7190,9458,6.84,"20260302_144436",19843,387565395
"Graz",2026,1,242780,3581,1.59,-2.1,24.21,2.96,33.57,28.92,3.24,1.14,0.26,91.73,1.19,1.49,5.58,4875347.628,171754,3.52,59.87,3.53,5.5,31.1,125681,26888,10642,8544,6.84,"20260302_144436",19837,353366313
"Graz",2026,2,242780,3575.2,1.59,-1.06,23.43,2.99,33.51,28.54,3.54,1.18,0.26,89.53,3.94,1.52,5.01,4875347.628,171754,3.52,59.87,3.53,5.5,31.1,125681,26888,10642,8544,6.84,"20260302_144436",19845,366726343
