"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Hamburg",2016,1,1748059,5618.32,1.54,0,20,79.36,2.52,10.62,7.45,3622046.369,362119,10,52.11,3.63,19.83,24.44,268639,27260,3083,63136,17.13,"20260228_033138",19440,135819337
"Hamburg",2016,2,1748059,5585.4,1.53,0,21.6,73.35,8.89,11.16,6.54,3622046.369,362119,10,52.11,3.63,19.83,24.44,268639,27260,3083,63136,17.13,"20260228_033138",19611,152948806
"Hamburg",2016,3,1748059,5394.3,1.47,0,29.91,50.93,8.38,36.74,3.91,3622046.369,362119,10,52.11,3.63,19.83,24.44,268639,27260,3083,63136,17.13,"20260228_033138",19845,254803702
"Hamburg",2016,4,1748059,4946.27,1.35,0,48.33,27.57,6.65,28.07,37.67,3622046.369,362119,10,52.11,3.63,19.83,24.44,268639,27260,3083,63136,17.13,"20260228_033138",19856,389398995
"Hamburg",2021,1,1748059,5537.22,1.51,-1.44,25.85,85.84,2.38,5.31,6.44,3971272.262,398848,10.04,58.04,3.68,16.55,21.73,218556,62675,13491,104126,17.13,"20260228_033138",19818,146231292
"Hamburg",2021,2,1748059,5453.5,1.48,-2.36,27.99,80.78,7.73,5.4,6.05,3971272.262,398848,10.04,58.04,3.68,16.55,21.73,218556,62675,13491,104126,17.13,"20260228_033138",19820,159606760
"Hamburg",2021,3,1748059,5251.1,1.43,-2.65,34.83,61.44,9.05,24.32,5.15,3971272.262,398848,10.04,58.04,3.68,16.55,21.73,218556,62675,13491,104126,17.13,"20260228_033138",19829,225217569
"Hamburg",2021,4,1748059,4914.13,1.34,-0.65,52.32,39.53,6.33,19.13,34.97,3971272.262,398848,10.04,58.04,3.68,16.55,21.73,218556,62675,13491,104126,17.13,"20260228_033138",19829,362852961
"Hamburg",2026,1,1748059,5569.83,1.51,-0.86,45.57,87.36,1.32,6.07,5.24,4096349.121,459787,11.22,66.24,2.5,13.39,17.87,158307,89874,26253,185353,17.13,"20260228_033138",19433,142575946
"Hamburg",2026,2,1748059,5518.7,1.49,-1.19,46.61,84.53,3.92,6.23,5.3,4096349.121,459787,11.22,66.24,2.5,13.39,17.87,158307,89874,26253,185353,17.13,"20260228_033138",19461,149866663
"Hamburg",2026,3,1748059,5224.13,1.43,-3.15,51.63,66.38,4.79,24.32,4.49,4096349.121,459787,11.22,66.24,2.5,13.39,17.87,158307,89874,26253,185353,17.13,"20260228_033138",19486,188535652
"Hamburg",2026,4,1748059,4987.86,1.37,0.84,58.54,45.65,3.92,19.08,31.33,4096349.121,459787,11.22,66.24,2.5,13.39,17.87,158307,89874,26253,185353,17.13,"20260228_033138",19486,284464280
