"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Hamburg",2016,1,1748059,3394.99,1.68,0,22.35,2.35,57.89,46.72,5.49,0.39,5.29,41.32,3.8,20.47,34.37,3622046.369,362119,10,52.11,3.63,19.83,24.44,268639,27260,3083,63136,6.63,"20260305_040037",19693,51843789
"Hamburg",2016,2,1748059,3384.28,1.67,0,21.61,2.44,55.89,45.19,5.15,0.36,5.19,40.8,6.23,20.01,32.92,3622046.369,362119,10,52.11,3.63,19.83,24.44,268639,27260,3083,63136,6.63,"20260305_040037",19693,54852299
"Hamburg",2019,1,1748059,3325.2,1.64,-2.06,21.29,2.45,60.19,36.98,7.41,1.48,14.32,48.83,4.93,15.48,30.74,3840541.469,405033,10.55,55.92,4.29,17.44,22.35,236764,49679,9756,108834,6.63,"20260305_040037",19678,54726182
"Hamburg",2019,2,1748059,3302.49,1.63,-2.42,20.39,2.53,57.79,35.39,7.03,1.39,13.99,48.39,7.2,14.98,29.42,3840541.469,405033,10.55,55.92,4.29,17.44,22.35,236764,49679,9756,108834,6.63,"20260305_040037",19678,57888431
"Hamburg",2021,1,1748059,3289.59,1.62,-3.1,21.13,2.6,58.73,31.65,9.72,1.94,15.41,50.23,4.4,15.15,30.2,3971272.262,398848,10.04,58.04,3.68,16.55,21.73,218556,62675,13491,104126,6.63,"20260305_040037",19678,54971312
"Hamburg",2021,2,1748059,3271.74,1.62,-3.33,20.56,2.62,57.38,30.84,9.5,1.83,15.21,49.65,5.95,14.95,29.42,3971272.262,398848,10.04,58.04,3.68,16.55,21.73,218556,62675,13491,104126,6.63,"20260305_040037",19678,56564191
"Hamburg",2024,1,1748059,3276.22,1.62,-3.5,20.91,2.44,63.59,30.65,14.31,3.66,14.97,47.17,2.63,17.86,32.31,4052262.506,419995,10.36,60.84,2.86,15.75,20.55,201417,80509,21691,116378,6.63,"20260305_040037",19505,52531011
"Hamburg",2024,2,1748059,3266.65,1.62,-3.48,20.43,2.48,62.86,30.29,14.08,3.65,14.85,46.76,3.61,17.6,32.02,4052262.506,419995,10.36,60.84,2.86,15.75,20.55,201417,80509,21691,116378,6.63,"20260305_040037",19505,53580967
"Hamburg",2026,1,1748059,3262.5,1.62,-3.9,20.96,2.17,68.54,23.17,16.49,4.28,24.61,54.79,2.61,15.09,27.5,4096349.121,459787,11.22,66.24,2.5,13.39,17.87,158307,89874,26253,185353,6.63,"20260305_040037",19443,49760955
"Hamburg",2026,2,1748059,3257.25,1.61,-3.75,20.66,2.24,67.91,22.96,16.35,4.3,24.3,54.32,3.45,14.97,27.24,4096349.121,459787,11.22,66.24,2.5,13.39,17.87,158307,89874,26253,185353,6.63,"20260305_040037",19443,50681736
