"city","year","lts","found_routes","access_15min_vol"
"hamburg",16,3,19845,254803702
"hamburg",16,4,19856,389398995
"hamburg",21,3,19829,225217569
"hamburg",21,4,19829,362852961
"hamburg",26,3,19486,188535652
"hamburg",26,4,19486,284464280
"hamburg",16,1,19366,52162018
"hamburg",16,2,19366,55860668
"hamburg",19,1,19323,53784130
"hamburg",19,2,19323,57457161
"hamburg",21,1,19323,55327404
"hamburg",21,2,19323,57347397
"hamburg",24,1,18970,52526697
"hamburg",24,2,18970,53773318
"hamburg",26,1,18930,50219800
"hamburg",26,2,18930,51381591
