"from_id","to_id","dist_2016","dist_2018","dist_2020","dist_2022","dist_2024","dist_2026","change_pct"
"1","1",1425,1365,1365,1365,1359,1359,-0.0463157894736842
"2","2",4801,4402,5602,5602,5593,4264,-0.111851697563008
"3","3",202,854,852,967,1121,1128,4.58415841584158
"4","4",1973,3331,3273,3652,3386,2538,0.2863659401926
"5","5",2887,3060,3272,3208,3223,3068,0.0626948389331486
"13730","13730",2887,3060,3272,3208,3223,3068,0.0626948389331486
"6","6",5854,5680,5878,4854,4321,4324,-0.261359754014349
"7","7",2445,1982,2383,2383,2383,2383,-0.0253578732106339
"8","8",6038,5432,5683,5678,4832,4832,-0.199735011593243
"9","9",2543,2230,2207,2207,2207,2207,-0.132127408572552
"10","10",1944,2082,2539,2546,2546,2789,0.434670781893004
"11","11",3622,2750,2986,3180,3225,3052,-0.157371617890668
"12","12",3955,5358,5044,3263,2914,2958,-0.252085967130215
"13","13",2892,2691,2688,2688,2949,2948,0.0193637621023513
"14","14",7019,3149,3991,3991,3991,3377,-0.518877332953412
"16","16",4584,3566,3585,3550,3540,3548,-0.226003490401396
"17","17",2835,2485,2495,2495,2428,2428,-0.143562610229277
"18","18",1413,999,859,859,859,859,-0.392073602264685
"19","19",4239,4239,3937,3870,3860,4024,-0.0507195093182354
"20","20",1518,983,2824,2547,2820,2350,0.548089591567852
"21","21",4838,4286,3089,3093,4073,4051,-0.162670525010335
"22","22",2637,2559,2544,2544,2544,2544,-0.0352673492605233
"23","23",1714,2168,2170,1925,1925,1925,0.123103850641774
"24","24",9254,8258,8662,8670,8678,8678,-0.0622433542251999
"25","25",1499,2261,2397,2397,2371,2371,0.581721147431621
"26","26",902,1552,1373,1375,1680,1584,0.75609756097561
"27","27",1458,1438,2239,2239,2239,4100,1.81207133058985
"28","28",1557,3759,4919,2740,2954,1737,0.115606936416185
"29","29",2988,2716,2708,2708,2683,4469,0.495649263721553
"30","30",913,1358,1450,1450,1484,1484,0.625410733844469
"31","31",2550,2547,2440,2440,2440,2440,-0.0431372549019608
"32","32",1727,2285,1323,1630,1554,1248,-0.277359583092067
"33","33",2028,2171,2171,1843,1843,2154,0.0621301775147929
"34","34",4154,9882,10053,10486,10307,13403,2.22652864708714
"35","35",2828,2206,2202,2197,2192,2258,-0.201555869872702
"36","36",9172,3830,3291,3969,3969,3969,-0.567269952027911
"37","37",2528,1903,1903,1894,1894,1894,-0.250791139240506
"38","38",1733,2550,2654,2737,2265,2702,0.559145989613387
"39","39",7527,7752,7750,7753,7902,7800,0.0362694300518135
"40","40",1095,771,633,633,634,848,-0.225570776255708
"18713","18713",1095,771,633,633,634,848,-0.225570776255708
"42","42",1028,1614,1554,921,921,921,-0.10408560311284
"43","43",797,3446,2993,2590,2544,2699,2.38644918444166
"44","44",4065,4030,3518,4029,4029,4036,-0.00713407134071341
"45","45",7905,8808,8015,7948,8154,8433,0.0667931688804554
"46","46",6756,6132,6178,6178,6134,6035,-0.106719952634695
"47","47",1704,2283,2690,2678,4072,2160,0.267605633802817
"48","48",5815,5571,5561,5568,5568,5542,-0.0469475494411006
"49","49",1104,1767,1156,1156,2139,2139,0.9375
"50","50",3208,2857,3057,3394,3391,3205,-0.000935162094763092
"51","51",2833,2759,2657,2657,2657,2657,-0.062124955877162
"52","52",3644,2007,1971,1971,2643,2650,-0.272777167947311
"53","53",2001,2068,2074,2074,2066,2067,0.0329835082458771
"54","54",967,1186,2389,2110,2110,1406,0.453981385729059
"55","55",4234,4234,3655,3654,3659,3655,-0.136750118091639
"56","56",3087,3049,3442,3317,3395,3315,0.0738581146744412
"57","57",2831,3435,2660,3201,2668,3602,0.272341928647121
"58","58",5301,9630,9816,9817,9615,9741,0.837577815506508
"59","59",2382,1997,2007,2012,2012,2012,-0.155331654072208
"61","61",3377,2083,1918,1915,1915,1912,-0.433816997334913
"62","62",3718,3712,3625,3511,3503,3512,-0.0554061323292093
"63","63",2933,2420,2416,2483,2280,2501,-0.147289464711899
"64","64",4564,4457,4328,4409,4318,4318,-0.0539000876424189
"65","65",1298,1357,1119,1119,1119,1215,-0.063944530046225
"66","66",2408,3250,3265,3265,3265,3148,0.307308970099668
"67","67",3244,3674,3983,3983,3983,3980,0.226880394574599
"68","68",2822,2287,2064,2384,2384,2391,-0.15272856130404
"69","69",4289,3254,3372,3364,3364,3305,-0.229424108183726
"70","70",3092,3092,3114,2431,2431,2431,-0.213777490297542
"71","71",7357,6531,5189,5491,5492,6334,-0.13905124371347
"72","72",1761,1821,1814,1756,1756,1749,-0.00681431005110733
"73","73",2638,2728,1922,2499,2499,2499,-0.0526914329037149
"74","74",1238,1423,2414,2379,2379,2379,0.921647819063005
"75","75",1714,1709,1746,1746,1746,1475,-0.139439906651109
"76","76",1385,1700,1545,1543,1543,1540,0.111913357400722
"77","77",2351,2110,1932,1969,1969,2217,-0.0569970225435985
"78","78",5553,5533,7203,7278,6065,7278,0.310642895732037
"79","79",2209,2707,3650,3371,3371,3636,0.645993662290629
"80","80",3115,2789,3120,2455,2464,2420,-0.223113964686998
"81","81",721,566,779,779,680,670,-0.0707350901525659
"82","82",3141,3269,3418,3418,3134,3024,-0.0372492836676218
"83","83",2348,4474,4308,3678,1704,2521,0.073679727427598
"84","84",344,986,1872,1984,1983,1044,2.03488372093023
"85","85",2302,1612,1541,1608,1609,1609,-0.301042571676803
"86","86",2425,2208,2212,2201,2201,2201,-0.0923711340206186
"87","87",3455,3267,4134,4194,3805,3805,0.101302460202605
"88","88",4845,4976,5099,5215,4666,6817,0.407017543859649
"89","89",2611,2241,2317,2682,2682,2603,-0.00306396016851781
"90","90",1858,2166,9757,8809,2649,2810,0.51237890204521
"91","91",2187,3213,2320,2320,2320,2297,0.050297210791038
"92","92",2348,3904,4445,3977,4002,4158,0.770868824531516
"93","93",1873,1758,1350,1350,1360,1247,-0.334223171382808
"94","94",3644,3241,3371,2019,2019,2019,-0.445938529088913
"95","95",4991,4858,5841,5784,5464,4843,-0.0296533760769385
"96","96",4650,4414,3794,3794,3041,3044,-0.345376344086022
"97","97",3329,3656,4062,4043,3576,3578,0.0747972364073295
"98","98",9150,6969,7133,7098,7098,7071,-0.227213114754098
"99","99",1630,2177,1798,1798,1798,2872,0.761963190184049
"100","100",2109,1608,1705,1711,1711,1711,-0.188715030820294
"101","101",1866,2110,2119,2119,2034,2046,0.0964630225080386
"102","102",2834,3478,4116,3077,3077,2981,0.0518701482004234
"103","103",2624,2624,2781,2714,2714,2556,-0.0259146341463415
"104","104",2814,2493,1061,6270,1347,1619,-0.424662402274343
"105","105",1410,3264,1770,1770,1771,2419,0.715602836879433
"106","106",8632,5716,5519,5826,5431,5431,-0.370829471733086
"107","107",2536,1580,1495,1495,1106,974,-0.615930599369085
"108","108",2435,2314,2625,2435,2371,2435,0
"109","109",1672,1672,1589,1578,1600,2500,0.495215311004785
"110","110",2144,2129,1597,2791,2791,4143,0.932369402985075
"111","111",6342,8188,8590,7634,7651,6692,0.0551876379690949
"112","112",4511,4947,4423,4646,4660,4632,0.0268233207714476
"113","113",3606,3614,3149,3147,3131,3125,-0.133388796450361
"114","114",3108,3233,2675,3142,3142,3502,0.126769626769627
"115","115",4884,8260,6848,7217,7217,6764,0.384930384930385
"116","116",2028,1519,1899,2279,2279,2297,0.132642998027613
"117","117",3615,3155,3130,3130,2933,2934,-0.188381742738589
"118","118",3437,3437,3310,3309,3309,3309,-0.037241780622636
"119","119",6646,5442,4638,4632,4638,5444,-0.18086066807102
"122","122",5962,4998,4569,4569,4142,4260,-0.285474672928547
"123","123",2455,2235,2758,2893,2872,2875,0.171079429735234
"125","125",1393,1175,1175,1127,1122,1122,-0.194544149318019
"126","126",1566,2174,2550,2554,2554,2554,0.630906768837803
"127","127",3481,3186,2649,2679,2616,2616,-0.248491812697501
"128","128",3605,3798,3706,3600,3600,3445,-0.0443828016643551
"129","129",9879,9276,9172,9172,9172,9137,-0.0751088166818504
"130","130",4561,4721,4347,4154,4171,4184,-0.082657311992984
"131","131",1758,1758,1782,1782,1779,1644,-0.0648464163822526
"132","132",2791,2335,3060,3286,3049,2648,-0.0512361160874239
"133","133",2719,2644,3103,3103,3096,3335,0.226553880102979
"134","134",6584,6943,6709,6703,6704,6696,0.0170109356014581
