"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","pct_ci_route","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Helsinki",2016,1,836729,4581.54,1.39,0,66.54,95.15,1.48,0.42,2.92,2557463.839,302915,11.84,73.4,7.68,2.39,16.53,292687,3138,0,7089,31.06,"20260228_050122",19545,1089082762
"Helsinki",2016,2,836729,4508.09,1.37,0,61.91,86.87,10.19,0.4,2.53,2557463.839,302915,11.84,73.4,7.68,2.39,16.53,292687,3138,0,7089,31.06,"20260228_050122",19548,1204404562
"Helsinki",2016,3,836729,4497.95,1.37,0,61.54,86.28,10.24,0.91,2.55,2557463.839,302915,11.84,73.4,7.68,2.39,16.53,292687,3138,0,7089,31.06,"20260228_050122",19548,1239282618
"Helsinki",2016,4,836729,4337.28,1.32,0,37.44,55.15,8.71,0.96,35.17,2557463.839,302915,11.84,73.4,7.68,2.39,16.53,292687,3138,0,7089,31.06,"20260228_050122",19548,1494796123
"Helsinki",2021,1,836729,4570.91,1.35,-0.23,65.75,96.01,1.36,0.32,2.29,2695111.898,332258,12.33,79.13,7.84,1.59,11.44,308919,15353,1002,6983,31.06,"20260228_050122",19545,1132072414
"Helsinki",2021,2,836729,4478.87,1.33,-0.65,62.91,88.87,8.63,0.32,2.16,2695111.898,332258,12.33,79.13,7.84,1.59,11.44,308919,15353,1002,6983,31.06,"20260228_050122",19545,1257742327
"Helsinki",2021,3,836729,4465.26,1.32,-0.73,62.85,88.41,8.57,0.81,2.19,2695111.898,332258,12.33,79.13,7.84,1.59,11.44,308919,15353,1002,6983,31.06,"20260228_050122",19545,1288631620
"Helsinki",2021,4,836729,4329.44,1.28,-0.18,48.99,64.38,8.08,0.75,26.76,2695111.898,332258,12.33,79.13,7.84,1.59,11.44,308919,15353,1002,6983,31.06,"20260228_050122",19548,1489490451
"Helsinki",2026,1,836729,4604.6,1.37,0.5,62.42,96.18,1.28,0.19,2.33,3024456.225,340346,11.25,81.07,7.34,1.1,10.49,300243,24191,86,15826,31.06,"20260228_050122",19199,1020701197
"Helsinki",2026,2,836729,4502.61,1.34,-0.12,60.04,88.45,9.13,0.14,2.26,3024456.225,340346,11.25,81.07,7.34,1.1,10.49,300243,24191,86,15826,31.06,"20260228_050122",19199,1152543606
"Helsinki",2026,3,836729,4495.84,1.34,-0.05,60.33,88.15,9.01,0.56,2.27,3024456.225,340346,11.25,81.07,7.34,1.1,10.49,300243,24191,86,15826,31.06,"20260228_050122",19199,1173686697
"Helsinki",2026,4,836729,4355.66,1.3,0.42,65.89,76.93,8.35,0.54,14.16,3024456.225,340346,11.25,81.07,7.34,1.1,10.49,300243,24191,86,15826,31.06,"20260228_050122",19205,1376067973
