"city","year","lts","population","avg_distance_m","avg_circuity","avg_dist_change_pct","avg_duration_min","avg_ci_interruptions","pct_ci_route","pct_ci_route_sep","pct_ci_route_paint","pct_ci_route_mixed","pct_ci_route_foot","pct_lts1","pct_lts2","pct_lts3","pct_lts4","total_road_m","total_ci_m","pct_ci_total","pct_lts1_total","pct_lts2_total","pct_lts3_total","pct_lts4_total","ci_type_sep_m","ci_type_paint_m","ci_type_mixed_m","ci_type_foot_m","processing_time_minutes","run_timestamp","found_routes","access_15min_vol"
"Helsinki",2016,1,836729,2827.05,1.46,0,17.29,2.22,61.29,60.31,0.08,0,0.9,94.02,1.97,0.64,3.37,2557463.839,302915,11.84,73.4,7.68,2.39,16.53,292687,3138,0,7089,7.33,"20260302_145702",19683,3207472014
"Helsinki",2016,2,836729,2786.02,1.44,0,16.03,2.51,56.29,54.75,0.6,0,0.93,85.08,11.48,0.59,2.85,2557463.839,302915,11.84,73.4,7.68,2.39,16.53,292687,3138,0,7089,7.33,"20260302_145702",19683,3531286125
"Helsinki",2019,1,836729,2780.8,1.43,-1.64,16.88,2.22,62.31,61.44,0.24,0,0.63,94.78,1.93,0.4,2.89,2569286.673,325117,12.65,74.97,7.81,2.16,15.06,308631,9754,45,6686,7.33,"20260302_145702",19683,3285876512
"Helsinki",2019,2,836729,2742.17,1.41,-1.57,15.82,2.43,59.13,57.6,0.9,0,0.62,87.69,9.27,0.38,2.67,2569286.673,325117,12.65,74.97,7.81,2.16,15.06,308631,9754,45,6686,7.33,"20260302_145702",19683,3605895713
"Helsinki",2021,1,836729,2777.65,1.42,-1.75,16.86,2.26,60.77,59.52,0.45,0.03,0.78,95.33,1.84,0.39,2.44,2695111.898,332258,12.33,79.13,7.84,1.59,11.44,308919,15353,1002,6983,7.33,"20260302_145702",19683,3391323505
"Helsinki",2021,2,836729,2724.12,1.4,-2.22,15.74,2.37,58.9,56.34,1.78,0.09,0.68,87.36,9.92,0.4,2.32,2695111.898,332258,12.33,79.13,7.84,1.59,11.44,308919,15353,1002,6983,7.33,"20260302_145702",19683,3665391086
"Helsinki",2024,1,836729,2764.24,1.42,-2.22,16.98,2.47,57.94,56.47,0.29,0,1.18,95.47,1.75,0.26,2.51,2893176.785,332504,11.49,80.86,7.54,0.95,10.64,298866,18731,179,14729,7.33,"20260302_145702",19492,3251036644
"Helsinki",2024,2,836729,2712.7,1.39,-2.63,15.75,2.52,56.34,53.52,1.69,0,1.13,86.91,10.53,0.23,2.33,2893176.785,332504,11.49,80.86,7.54,0.95,10.64,298866,18731,179,14729,7.33,"20260302_145702",19492,3518402477
"Helsinki",2026,1,836729,2765.84,1.41,-2.17,17.05,2.68,56.78,54.75,0.7,0,1.33,95.58,1.69,0.21,2.52,3024456.225,340346,11.25,81.07,7.34,1.1,10.49,300243,24191,86,15826,7.33,"20260302_145702",19400,3207372453
"Helsinki",2026,2,836729,2710.49,1.39,-2.71,15.92,2.72,54.95,51.94,1.92,0,1.09,87.02,10.38,0.16,2.44,3024456.225,340346,11.25,81.07,7.34,1.1,10.49,300243,24191,86,15826,7.33,"20260302_145702",19400,3459479598
