"from_id","to_id","dist_2016","dist_2019","dist_2021","dist_2024","dist_2026","change_pct"
"1","1",2252,2252,2251,2192,2289,0.0164298401420959
"8830","8830",2252,2252,2251,2192,2289,0.0164298401420959
"2","2",2297,2249,2250,2291,2291,-0.00261210274270788
"3","3",3880,3557,3540,3318,3259,-0.160051546391753
"4","4",2298,2383,2360,2374,2332,0.0147954743255004
"18443","18443",2298,2383,2360,2374,2332,0.0147954743255004
"6","6",1856,1930,1698,1686,1685,-0.0921336206896552
"10086","10086",1856,1930,1698,1686,1685,-0.0921336206896552
"7","7",2239,2239,2237,2189,2257,0.0080393032603841
"8","8",1569,1571,1567,1567,1616,0.029955385595921
"12178","12178",1569,1571,1567,1567,1616,0.029955385595921
"15678","15678",1569,1571,1567,1567,1616,0.029955385595921
"9","9",5514,5313,5599,5356,5425,-0.0161407326804498
"10","10",1110,1100,1098,1055,986,-0.111711711711712
"6305","6305",1110,1100,1098,1055,986,-0.111711711711712
"11","11",2186,2643,2435,2451,2452,0.121683440073193
"2288","2288",2186,2643,2435,2451,2452,0.121683440073193
"18300","18300",2186,2643,2435,2451,2452,0.121683440073193
"12","12",2380,2381,2390,2501,2778,0.167226890756303
"13","13",1812,1706,1777,1776,1776,-0.0198675496688742
"14","14",2230,2258,2247,2378,2213,-0.00762331838565022
"15","15",5402,5458,5220,5077,5304,-0.0181414291003332
"16","16",2860,2729,2724,2920,2894,0.0118881118881119
"17","17",1562,1609,1499,1315,2147,0.374519846350832
"18","18",5999,6177,5978,5878,5843,-0.0260043340556759
"19","19",1006,1006,1010,1051,1050,0.0437375745526839
"20","20",6601,6675,6514,6399,6387,-0.0324193304044842
"21","21",3226,3211,3072,3281,3283,0.0176689398636082
"22","22",5005,4851,4893,5181,5131,0.0251748251748252
"23","23",1098,1116,1042,999,1034,-0.058287795992714
"16606","16606",1098,1116,1042,999,1034,-0.058287795992714
"24","24",2499,2402,2317,2316,2442,-0.0228091236494598
"25","25",3150,3116,2864,3191,2907,-0.0771428571428571
"26","26",965,971,1005,985,1264,0.309844559585492
"13774","13774",965,971,1005,985,1264,0.309844559585492
"27","27",1615,1694,1705,1619,1681,0.0408668730650155
"28","28",2351,2428,2428,2235,2415,0.0272224585282858
"29","29",2199,2216,2239,2411,2421,0.100954979536153
"30","30",2841,2875,2849,2618,2764,-0.0271031326997536
"7752","7752",2841,2875,2849,2618,2764,-0.0271031326997536
"31","31",3278,3160,3164,3211,3151,-0.0387431360585723
"32","32",4326,4263,4227,4045,4303,-0.0053166897827092
"18874","18874",4326,4263,4227,4045,4303,-0.0053166897827092
"33","33",1196,822,896,1079,848,-0.290969899665552
"34","34",6074,5834,5631,5660,5602,-0.0777082647349358
"35","35",2663,2589,2520,2525,2606,-0.0214044310927525
"17938","17938",2663,2589,2520,2525,2606,-0.0214044310927525
"36","36",5454,5525,5541,5526,5555,0.0185185185185185
"37","37",1473,1449,1449,1471,1468,-0.00339443312966735
"6918","6918",1473,1449,1449,1471,1468,-0.00339443312966735
"39","39",1375,1375,1369,1345,2233,0.624
"40","40",1354,1361,1365,1357,1411,0.0420974889217134
"41","41",3734,3722,3385,3198,3079,-0.175415104445635
"42","42",2678,2137,2210,2310,2375,-0.113144137415982
"18045","18045",2678,2137,2210,2310,2375,-0.113144137415982
"43","43",1297,1297,1292,1678,1436,0.107170393215112
"44","44",2464,2491,2516,2427,2426,-0.0154220779220779
"46","46",4358,4384,4260,4389,4250,-0.0247820100963745
"48","48",1896,1842,1838,2200,1907,0.00580168776371308
"2227","2227",1896,1842,1838,2200,1907,0.00580168776371308
"49","49",2188,2180,2057,2056,2164,-0.0109689213893967
"15425","15425",2188,2180,2057,2056,2164,-0.0109689213893967
"50","50",659,662,662,711,746,0.132018209408194
"51","51",1873,1918,1918,1927,1969,0.0512546716497597
"52","52",2050,1987,1942,1958,2024,-0.0126829268292683
"1425","1425",2050,1987,1942,1958,2024,-0.0126829268292683
"53","53",3811,3847,3816,3826,3783,-0.00734715297822094
"13224","13224",3811,3847,3816,3826,3783,-0.00734715297822094
"54","54",2625,2332,2596,2574,2331,-0.112
"55","55",1341,1354,1341,1414,1359,0.0134228187919463
"3377","3377",1341,1354,1341,1414,1359,0.0134228187919463
"56","56",6254,6388,6246,6615,6484,0.0367764630636393
"57","57",3192,3193,3133,3227,3421,0.0717418546365915
"58","58",4410,4463,4475,4402,4432,0.00498866213151927
"59","59",2902,2974,2973,2798,2861,-0.0141281874569263
"60","60",1617,1694,1616,1455,1419,-0.122448979591837
"61","61",4634,4400,4376,4450,4383,-0.0541648683642641
"62","62",3005,2788,2806,2846,2826,-0.059567387687188
"63","63",1594,1547,1546,1594,1565,-0.0181932245922208
"64","64",4217,4216,4190,4153,4154,-0.0149395304718995
"65","65",2217,2222,2223,2453,2372,0.069914298601714
"67","67",3338,3325,3223,3368,3398,0.0179748352306771
"68","68",2048,2140,2093,1906,2072,0.01171875
"69","69",1649,1650,1668,1699,1756,0.0648878107944209
"70","70",1980,1982,1981,2050,1913,-0.0338383838383838
"71","71",2055,2225,2115,2097,2110,0.0267639902676399
"15178","15178",2055,2225,2115,2097,2110,0.0267639902676399
"72","72",3594,3554,3580,3384,3722,0.0356149137451308
"73","73",1595,1553,1561,1561,1586,-0.00564263322884012
"3535","3535",1595,1553,1561,1561,1586,-0.00564263322884012
"74","74",2783,2675,2609,2600,2773,-0.00359324469996407
"75","75",3185,2989,3019,2769,2769,-0.130612244897959
"1496","1496",3185,2989,3019,2769,2769,-0.130612244897959
"76","76",7366,7092,7367,7491,7416,0.00678794461037198
"77","77",3187,3226,2894,2768,2807,-0.11923438970819
"78","78",2256,2260,2222,2248,2358,0.0452127659574468
"2886","2886",2256,2260,2222,2248,2358,0.0452127659574468
"79","79",1845,1860,1977,1738,1794,-0.0276422764227642
"80","80",1995,2218,2070,2010,2063,0.0340852130325815
"81","81",1082,1082,1125,1011,1052,-0.0277264325323475
"82","82",4752,4820,4736,5115,4719,-0.00694444444444444
"83","83",1763,1451,1420,1417,1451,-0.176971072036302
"84","84",4729,4774,4778,4950,5702,0.205751744554874
"85","85",2839,2836,2777,2875,2883,0.0154984149348362
"86","86",2222,2271,2270,2287,2285,0.0283528352835284
"87","87",4786,4774,4821,4787,4883,0.0202674467195988
"88","88",1061,1061,1061,1044,1004,-0.0537229029217719
"89","89",1445,1445,1321,1296,1223,-0.15363321799308
"13542","13542",1445,1445,1321,1296,1223,-0.15363321799308
"90","90",1032,1032,1005,1066,990,-0.0406976744186047
"4816","4816",1032,1032,1005,1066,990,-0.0406976744186047
"91","91",1855,1951,2068,2060,2167,0.168194070080863
"92","92",1101,1105,1035,1031,1097,-0.0036330608537693
"19508","19508",1101,1105,1035,1031,1097,-0.0036330608537693
"93","93",1550,1648,1661,1791,1781,0.149032258064516
"16083","16083",1550,1648,1661,1791,1781,0.149032258064516
"94","94",3619,3522,3580,3236,3158,-0.12738325504283
"95","95",4651,4560,3946,3975,4253,-0.0855729950548269
"96","96",1809,1824,1801,1826,1806,-0.00165837479270315
"97","97",2208,2217,2216,2215,2215,0.00317028985507246
"7988","7988",2208,2217,2216,2215,2215,0.00317028985507246
"98","98",1335,1330,1325,1404,1467,0.098876404494382
"99","99",4710,4467,4494,4558,4466,-0.0518046709129512
"100","100",7096,7354,7183,7194,7557,0.0649661781285231
"101","101",3101,3100,3146,3124,2996,-0.0338600451467269
"102","102",1710,1472,1551,1551,1554,-0.0912280701754386
"2080","2080",1710,1472,1551,1551,1554,-0.0912280701754386
"103","103",7167,6878,7317,7268,7196,0.00404632342681736
"104","104",2256,2211,2125,2213,2181,-0.0332446808510638
"9865","9865",2256,2211,2125,2213,2181,-0.0332446808510638
"12147","12147",2256,2211,2125,2213,2181,-0.0332446808510638
"105","105",1213,1196,1193,1161,1141,-0.0593569661995054
"106","106",2494,2446,2493,2483,2399,-0.0380914194065758
"107","107",1137,1143,1244,1147,1147,0.00879507475813544
"2923","2923",1137,1143,1244,1147,1147,0.00879507475813544
"108","108",5006,5029,5095,5459,4987,-0.00379544546544147
"109","109",6910,6875,6867,6956,6869,-0.00593342981186686
"111","111",1760,1472,1777,1488,1373,-0.219886363636364
"1002","1002",1760,1472,1777,1488,1373,-0.219886363636364
"12925","12925",1760,1472,1777,1488,1373,-0.219886363636364
"13263","13263",1760,1472,1777,1488,1373,-0.219886363636364
"15996","15996",1760,1472,1777,1488,1373,-0.219886363636364
"112","112",4817,4706,4551,4702,4490,-0.0678845754619058
"113","113",2828,2986,3022,3222,2983,0.0548090523338048
"6211","6211",2828,2986,3022,3222,2983,0.0548090523338048
