"from_id","to_id","total_duration_v16_v1","total_duration_v16_v2","total_duration_v16_v3","total_duration_v16_v4","total_duration_v21_v1","total_duration_v21_v2","total_duration_v21_v3","total_duration_v21_v4","total_duration_v26_v1","total_duration_v26_v2","total_duration_v26_v3","total_duration_v26_v4","total_distance_v16_v1","total_distance_v16_v2","total_distance_v16_v3","total_distance_v16_v4","total_distance_v21_v1","total_distance_v21_v2","total_distance_v21_v3","total_distance_v21_v4","total_distance_v26_v1","total_distance_v26_v2","total_distance_v26_v3","total_distance_v26_v4"
"100","100",59.6,58.3,56.3,35.4,71.5,63,55.9,42.5,82.3,62.2,55.1,41.4,6411,6428,6530,6678,6383,7071,6446,8131,6891,8748,8676,7579
"10002","10002",67.8,67.8,55.8,25.3,68.9,56.8,49.7,29.4,56.7,47.3,44.1,25.8,5234,5234,5239,4663,4268,5313,5725,4559,4645,4682,5163,4874
"10005","10005",40.2,40.2,35.1,15.2,41.7,36.6,34.4,15.2,41.4,33.8,31,15.5,3146,3146,3356,2902,3273,3678,3721,2920,3184,3379,3380,2884
"10006","10006",99.2,97.8,89.3,47.3,86.3,77.2,76.9,44.9,105.7,84.7,76.8,45.7,8744,8801,9813,8754,9013,9301,9288,8463,8476,9341,9328,8420
"10009","10009",83.7,83.7,73.9,54.4,88.5,83.7,73.7,51.3,95.2,81,76.2,48.9,9362,9362,10709,10127,8124,8439,9023,9224,9219,8772,8974,8357
"10011","10011",41.1,41.1,35.1,22.7,44.2,42.9,33.2,22.7,50.2,41.6,32.5,23.9,3879,3879,4207,4041,4095,4461,3997,3772,4236,4075,3832,4431
"10013","10013",100.6,100.5,94.7,50.4,72.1,68.1,67.6,48.9,74.4,70.9,70.9,47.4,8158,8158,8259,7562,9213,9272,9610,7491,7619,7955,7955,7641
"10014","10014",71.6,71.6,53,24.6,46.8,25.7,25.7,24.6,46.6,26.4,25.9,24.8,5121,5121,5175,4913,5516,4921,4921,4722,5528,4941,4941,4735
"10016","10016",118.1,118.1,98.8,43.7,NA,111.3,90.9,43.2,114.3,94.8,81.7,44.4,10272,10272,12179,8712,NA,10531,11001,8446,9564,10002,9888,8585
"10018","10018",64.8,63.1,50.6,24.9,67.4,58.3,56.3,25.5,66.9,53.6,49.3,25.6,5452,5509,5464,4949,5876,6144,6145,5131,5337,6124,5987,4916
"10019","10019",107.1,107.1,98.6,45.7,111.3,85.6,82.4,46.4,118.9,90.1,88.4,47.3,10237,10237,10521,9171,8834,8495,8618,9104,9036,9247,9247,9214
"1002","1002",81.3,81.3,73.1,39.7,81.2,68.2,60.5,39.3,78.5,72.9,63.3,39.7,11056,11056,11041,7629,7733,7668,7937,7618,8984,8994,7936,7501
"10020","10020",25.7,25.7,25.7,9.3,22.1,20.3,20.3,9.8,24.9,18.6,17.8,9.3,1804,1804,1804,1769,2727,2747,2747,1899,1761,2553,2497,1748
"10023","10023",3.8,3.8,3.8,3.8,8.5,3.9,3.9,3.9,8.6,3.9,3.9,3.9,644,644,644,644,632,632,632,632,634,634,634,634
"10024","10024",59,59,44.8,22.8,63.3,51,43.7,22.9,59.9,47.9,38.9,23.4,4542,4542,5085,4398,5560,5608,5263,4406,5418,5591,5019,4392
