"from_id","to_id","dist_2016","dist_2021","dist_2026","diff_1621","diff_2126","diff_1626","change_pct"
"2","2",3277,3614,3960,337,346,683,0.208422337503814
"3","3",6993,6803,6100,-190,-703,-893,-0.127699127699128
"5","5",3708,4487,3882,779,-605,174,0.0469255663430421
"8","8",3376,3140,3120,-236,-20,-256,-0.0758293838862559
"9","9",4807,5013,4978,206,-35,171,0.0355731225296443
"11","11",6965,7102,6780,137,-322,-185,-0.0265613783201723
"14","14",9109,9755,8870,646,-885,-239,-0.0262377868042595
"15","15",9410,7993,8230,-1417,237,-1180,-0.125398512221041
"18","18",2973,2685,2512,-288,-173,-461,-0.15506222670703
"20","20",6959,7645,7598,686,-47,639,0.0918235378646357
"21","21",5986,6153,6219,167,66,233,0.0389241563648513
"23","23",10256,9199,9160,-1057,-39,-1096,-0.106864274570983
"24","24",8590,6366,4837,-2224,-1529,-3753,-0.436903376018626
"29","29",10191,7455,8043,-2736,588,-2148,-0.210774212540477
"32","32",7015,7203,8185,188,982,1170,0.166785459729152
"33","33",8237,9089,9375,852,286,1138,0.138157096030108
"36","36",9268,12883,13361,3615,478,4093,0.441627104013811
"41","41",3545,4622,4757,1077,135,1212,0.341889985895628
"42","42",4383,3957,4171,-426,214,-212,-0.0483686972393338
"43","43",4126,4850,4811,724,-39,685,0.166020358700921
"45","45",11932,10243,9589,-1689,-654,-2343,-0.196362722091854
"46","46",5149,4874,5045,-275,171,-104,-0.0201980967178093
"48","48",3888,4164,4119,276,-45,231,0.0594135802469136
"50","50",3650,3613,3487,-37,-126,-163,-0.0446575342465753
"52","52",1841,2034,2306,193,272,465,0.252580119500272
"53","53",8630,8468,8029,-162,-439,-601,-0.0696407879490151
"54","54",7950,6394,7037,-1556,643,-913,-0.114842767295597
"55","55",4211,3406,3687,-805,281,-524,-0.124436000949893
"57","57",3050,2913,2951,-137,38,-99,-0.0324590163934426
"60","60",866,695,662,-171,-33,-204,-0.235565819861432
"62","62",3345,2946,3344,-399,398,-1,-0.000298953662182362
"63","63",3451,3914,3725,463,-189,274,0.07939727615184
"69","69",3624,3834,3627,210,-207,3,0.000827814569536424
"73","73",9314,8822,9670,-492,848,356,0.0382220313506549
"75","75",12766,10961,11263,-1805,302,-1503,-0.117734607551308
"81","81",3088,2947,3270,-141,323,182,0.0589378238341969
"82","82",9023,8029,7325,-994,-704,-1698,-0.18818574753408
"83","83",6067,4688,4901,-1379,213,-1166,-0.192187242459206
"84","84",5872,5362,6166,-510,804,294,0.0500681198910082
"86","86",7000,6811,6674,-189,-137,-326,-0.0465714285714286
"87","87",1194,970,836,-224,-134,-358,-0.299832495812395
"89","89",8264,7120,8849,-1144,1729,585,0.0707889641819942
"90","90",6660,6474,5700,-186,-774,-960,-0.144144144144144
"100","100",6428,7071,8748,643,1677,2320,0.360920970752956
"104","104",2280,1715,1670,-565,-45,-610,-0.267543859649123
"105","105",10952,10802,11054,-150,252,102,0.00931336742147553
"106","106",12586,11927,9995,-659,-1932,-2591,-0.205863658032735
"108","108",14048,14708,13725,660,-983,-323,-0.0229925968109339
"116","116",7338,8362,7034,1024,-1328,-304,-0.041428182065958
"122","122",3480,3454,3409,-26,-45,-71,-0.0204022988505747
"128","128",1808,2203,2186,395,-17,378,0.209070796460177
"129","129",6356,6633,6593,277,-40,237,0.0372876022655758
"130","130",1371,2375,1778,1004,-597,407,0.296863603209336
"131","131",12264,12045,10820,-219,-1225,-1444,-0.117742987606001
"135","135",11852,11676,11607,-176,-69,-245,-0.0206716166047924
"137","137",2992,3950,3390,958,-560,398,0.133021390374332
"138","138",7169,7468,5922,299,-1546,-1247,-0.173943367275771
"139","139",4745,4344,4314,-401,-30,-431,-0.0908324552160169
"144","144",3419,3824,3633,405,-191,214,0.0625914009944428
"147","147",857,1005,921,148,-84,64,0.0746791131855309
"148","148",3801,3841,3841,40,0,40,0.0105235464351486
"149","149",10682,9504,10332,-1178,828,-350,-0.0327653997378768
"150","150",9507,10537,8136,1030,-2401,-1371,-0.144209529820133
"151","151",6649,6352,6056,-297,-296,-593,-0.0891863438110994
"157","157",6744,7514,8090,770,576,1346,0.199584816132859
"160","160",16313,17266,15972,953,-1294,-341,-0.0209035738368173
"162","162",6002,4836,5216,-1166,380,-786,-0.130956347884039
"169","169",10291,9130,9147,-1161,17,-1144,-0.111165095714702
"170","170",10557,9664,9569,-893,-95,-988,-0.0935871933314389
"175","175",3722,2623,2509,-1099,-114,-1213,-0.325900053734551
"176","176",12052,11520,12141,-532,621,89,0.00738466644540325
"184","184",9821,9753,10747,-68,994,926,0.094287750738214
"188","188",10145,10224,10879,79,655,734,0.0723509117792016
"190","190",6178,5045,5528,-1133,483,-650,-0.105212042732276
"191","191",13128,11740,13477,-1388,1737,349,0.0265843997562462
"192","192",11299,12539,10943,1240,-1596,-356,-0.0315072130277016
"193","193",12840,12396,14119,-444,1723,1279,0.0996105919003115
"194","194",7548,8064,7980,516,-84,432,0.0572337042925278
"200","200",3704,3853,4088,149,235,384,0.103671706263499
"201","201",8999,9791,9643,792,-148,644,0.0715635070563396
"202","202",6669,7418,7273,749,-145,604,0.0905683010946169
"211","211",2585,2769,3000,184,231,415,0.160541586073501
"214","214",5286,5146,4994,-140,-152,-292,-0.0552402572833901
"217","217",2204,1907,1920,-297,13,-284,-0.128856624319419
"218","218",7199,6992,6780,-207,-212,-419,-0.0582025281289068
"219","219",2530,3272,2277,742,-995,-253,-0.1
"223","223",5371,5014,6010,-357,996,639,0.118972258424874
"225","225",3962,4064,4802,102,738,840,0.212014134275618
"228","228",2698,2201,2286,-497,85,-412,-0.152705707931801
"229","229",7424,7847,8175,423,328,751,0.101158405172414
"232","232",4066,3507,3712,-559,205,-354,-0.0870634530250861
"233","233",9166,6994,8325,-2172,1331,-841,-0.0917521274274493
"235","235",7406,7258,6504,-148,-754,-902,-0.121793140696732
"240","240",2762,2803,2867,41,64,105,0.0380159304851557
"241","241",2660,2319,2141,-341,-178,-519,-0.195112781954887
"248","248",1357,1387,1506,30,119,149,0.109801031687546
"249","249",4337,3873,5240,-464,1367,903,0.208208439013143
"254","254",10891,8676,10045,-2215,1369,-846,-0.0776788173721421
"259","259",15269,15946,15376,677,-570,107,0.00700766258432117
"263","263",3928,4534,4829,606,295,901,0.229378818737271
"267","267",10830,12809,10904,1979,-1905,74,0.00683287165281625
"268","268",9051,9719,9769,668,50,718,0.0793282510219865
"269","269",4362,4068,3793,-294,-275,-569,-0.130444750114626
"274","274",5062,6082,4965,1020,-1117,-97,-0.0191623864085342
"275","275",3584,3723,3787,139,64,203,0.056640625
"280","280",3633,3357,3121,-276,-236,-512,-0.14093036058354
"283","283",8119,9227,9689,1108,462,1570,0.19337356817342
"285","285",8873,7632,6824,-1241,-808,-2049,-0.230925278936098
"288","288",1049,1196,956,147,-240,-93,-0.0886558627264061
"292","292",8698,7898,7404,-800,-494,-1294,-0.148769832145321
"295","295",7546,5142,8760,-2404,3618,1214,0.16087993639014
"296","296",5543,4433,4116,-1110,-317,-1427,-0.257441818509832
"297","297",4852,4677,4756,-175,79,-96,-0.0197856553998351
"301","301",10028,8521,8525,-1507,4,-1503,-0.149880335061827
"302","302",6975,8677,7240,1702,-1437,265,0.0379928315412186
"304","304",2811,2736,2918,-75,182,107,0.0380647456421202
"305","305",14139,11455,13569,-2684,2114,-570,-0.0403140250371313
"307","307",4415,4463,4706,48,243,291,0.065911664779162
"308","308",4375,4686,4372,311,-314,-3,-0.000685714285714286
"310","310",9261,9552,8622,291,-930,-639,-0.0689990281827016
"313","313",5375,5487,5603,112,116,228,0.0424186046511628
"317","317",10189,9835,9830,-354,-5,-359,-0.0352340759642752
"319","319",8577,7657,7549,-920,-108,-1028,-0.119855427305585
"321","321",4900,5688,5167,788,-521,267,0.0544897959183673
"322","322",8792,10135,10373,1343,238,1581,0.179822565969063
"325","325",2529,2198,2068,-331,-130,-461,-0.18228548833531
"329","329",9973,9999,9056,26,-943,-917,-0.0919482603028176
"330","330",2249,2098,2214,-151,116,-35,-0.0155624722098711
"332","332",4235,4350,4199,115,-151,-36,-0.00850059031877214
"333","333",7152,6665,6498,-487,-167,-654,-0.0914429530201342
"334","334",2260,2662,3179,402,517,919,0.406637168141593
"337","337",10973,9266,10281,-1707,1015,-692,-0.0630638840791033
"338","338",4247,4401,4114,154,-287,-133,-0.031316223216388
"340","340",6214,6464,6562,250,98,348,0.0560025748310267
"341","341",1849,1695,1537,-154,-158,-312,-0.168739859383451
"344","344",8440,9208,8890,768,-318,450,0.0533175355450237
"345","345",8677,9649,9578,972,-71,901,0.103837731935001
"348","348",4003,4258,4147,255,-111,144,0.0359730202348239
"350","350",7272,5824,5830,-1448,6,-1442,-0.198294829482948
"354","354",7358,6710,6515,-648,-195,-843,-0.114569176406632
"358","358",9567,8893,8930,-674,37,-637,-0.0665830458869029
"361","361",7770,8468,7618,698,-850,-152,-0.0195624195624196
"362","362",7323,6781,6806,-542,25,-517,-0.0705994810869862
"363","363",3454,2964,2682,-490,-282,-772,-0.223508975101332
"371","371",1848,1950,1931,102,-19,83,0.0449134199134199
"377","377",10746,11409,9389,663,-2020,-1357,-0.126279545877536
"378","378",6378,6450,5563,72,-887,-815,-0.127783004076513
"379","379",1051,614,940,-437,326,-111,-0.105613701236917
"383","383",13535,15077,13838,1542,-1239,303,0.022386405615072
"386","386",11731,10065,9488,-1666,-577,-2243,-0.19120279601057
"390","390",3039,3490,3916,451,426,877,0.288581770319184
"392","392",687,706,627,19,-79,-60,-0.0873362445414847
"397","397",3327,2835,3153,-492,318,-174,-0.0522993688007214
"399","399",6939,7892,7355,953,-537,416,0.0599510015852428
"402","402",9276,9154,9114,-122,-40,-162,-0.0174644243208279
"404","404",3340,4103,4050,763,-53,710,0.212574850299401
"408","408",7927,7162,7019,-765,-143,-908,-0.114545225179765
"410","410",2644,2170,2455,-474,285,-189,-0.071482602118003
"411","411",2890,3129,3336,239,207,446,0.154325259515571
"412","412",2303,2202,1994,-101,-208,-309,-0.134172818063396
"413","413",7443,7497,7699,54,202,256,0.0343947333064624
"414","414",1450,1411,1398,-39,-13,-52,-0.0358620689655172
"419","419",4406,4378,4289,-28,-89,-117,-0.0265546981389015
"422","422",9629,8542,8628,-1087,86,-1001,-0.1039567971752
"423","423",14163,14270,13541,107,-729,-622,-0.0439172491703735
"426","426",1253,1204,1200,-49,-4,-53,-0.0422984836392658
"427","427",2739,2676,2639,-63,-37,-100,-0.0365096750638919
"437","437",6550,5864,6961,-686,1097,411,0.0627480916030534
"438","438",12879,11850,12725,-1029,875,-154,-0.0119574501125864
"440","440",6502,6145,6179,-357,34,-323,-0.0496770224546293
"442","442",7206,7819,8412,613,593,1206,0.167360532889259
"443","443",4915,4057,2613,-858,-1444,-2302,-0.468362156663276
"445","445",9361,9588,8806,227,-782,-555,-0.0592885375494071
"447","447",10146,7383,6609,-2763,-774,-3537,-0.348610289769367
"449","449",4839,5074,4883,235,-191,44,0.00909278776606737
"453","453",14162,15202,14338,1040,-864,176,0.0124276232170597
"454","454",6902,6970,7393,68,423,491,0.0711388003477253
"455","455",4247,4652,4534,405,-118,287,0.0675771132564163
"458","458",6019,5686,6145,-333,459,126,0.0209337099185911
"459","459",6703,4904,5520,-1799,616,-1183,-0.176488139638968
"463","463",4791,5085,5259,294,174,468,0.097683155917345
"465","465",5113,5812,5811,699,-1,698,0.136514766282026
"467","467",8473,8745,9459,272,714,986,0.116369644753924
"468","468",1486,1895,2216,409,321,730,0.491251682368775
"470","470",6221,6593,6359,372,-234,138,0.0221829287895837
"477","477",4149,4341,4570,192,229,421,0.101470233791275
"479","479",4019,3426,4755,-593,1329,736,0.1831301318736
"480","480",9836,9618,9145,-218,-473,-691,-0.0702521350142334
"488","488",9410,7097,7812,-2313,715,-1598,-0.169819341126461
"496","496",1101,992,1134,-109,142,33,0.0299727520435967
"497","497",9194,7875,7908,-1319,33,-1286,-0.139873830759191
"499","499",3815,5135,4407,1320,-728,592,0.155176933158585
"500","500",8582,6937,6470,-1645,-467,-2112,-0.246096481006758
"502","502",6120,5996,6144,-124,148,24,0.00392156862745098
"503","503",1979,2035,2180,56,145,201,0.101566447700859
"504","504",6073,6256,7126,183,870,1053,0.173390416598057
"508","508",9695,8319,7733,-1376,-586,-1962,-0.202372356884992
"509","509",8508,7928,7914,-580,-14,-594,-0.0698166431593794
"511","511",1290,561,1360,-729,799,70,0.0542635658914729
"513","513",8736,7887,8033,-849,146,-703,-0.0804716117216117
"514","514",8715,9556,9058,841,-498,343,0.0393574297188755
"516","516",9215,10428,11578,1213,1150,2363,0.256429734129137
"517","517",6439,6194,6188,-245,-6,-251,-0.0389812082621525
"520","520",9429,10567,9799,1138,-768,370,0.0392406405769435
"523","523",7188,10911,8790,3723,-2121,1602,0.222871452420701
"524","524",2184,2219,2136,35,-83,-48,-0.021978021978022
"526","526",5610,5070,6084,-540,1014,474,0.0844919786096257
"528","528",3748,3582,3657,-166,75,-91,-0.0242796157950907
"530","530",10558,10902,10023,344,-879,-535,-0.0506724758476984
"534","534",1667,1451,2077,-216,626,410,0.245950809838032
